,namespace,grade,Número de exercícios por turma
651,hamiltondarocha,ef 6o ano,4.0
652,colegiobetelbrasileirosp,ef 8o ano,4.0
653,colegiouniverso,em 1a serie,3.0
654,overpontanegra,ef 7o ano,3.0
655,mesalva,em 3a serie,3.0
656,colegioglobal,em 1a serie,3.0
657,mariliamattoso,ef 6o ano,3.0
658,einsteinassis,ef 1o ano,3.0
659,albertocabral,ef 5o ano,3.0
660,invictus,ef 2o ano,3.0
661,universobarcarena,ef 8o ano,3.0
662,integra,ef 8o ano,3.0
663,mariliamattoso,ef 9o ano,3.0
664,albertocabral,ef 1o ano,3.0
665,integra,ef 6o ano,3.0
666,stellamarisaguaverde,ef 5o ano,3.0
667,ceprimeiromundo,ef 8o ano,2.6666666666666665
668,universobarcarena,ef 7o ano,2.5
669,colegiouniverso,em 2a serie,2.5
670,qescola,infantil ii,2.0
671,joaorosa,ef 8o ano,2.0
672,joaorosa,ef 9o ano,2.0
673,josesoares,ef 4o ano,2.0
674,isem,ef 8o ano,2.0
675,contemporaneocidadeverde,ef 8o ano,2.0
676,universobarcarena,ef 6o ano,2.0
677,eccos,ef 2o ano,2.0
678,sobral,outro,2.0
679,albertocabral,ef 2o ano,2.0
680,acessocampolargo,ef 6o ano,2.0
681,venceslauchaves,ef 4o ano,1.0
682,isem,ef 7o ano,1.0
683,overpontanegra,ef 9o ano,1.0
684,abiliomartins,ef 7o ano,1.0
685,abiliomartins,ef 6o ano,1.0
686,sasadapt,ef 6o ano,1.0
687,overmarciliofurtado,ef 7o ano,1.0
688,colegiointegral,ef 1o ano,1.0
689,josesoares,ef 5o ano,1.0
690,conexaosaber,ef 2o ano,1.0
691,overmarciliofurtado,ef 6o ano,1.0
692,overjoaopessoa,em 1a serie,1.0
693,pesenglish,outro,1.0
694,educamais,ef 8o ano,1.0
695,pioxi,ef 3o ano,1.0
696,sasadapt,outro,1.0
697,sasadapt,em 3a serie,1.0
698,psantagema,outro,1.0
