,namespace,grade,Número de exercícios por turma
151,physicsalcindocacela,em 2a serie,124.0
152,colegiobrasilia,ef 9o ano,123.33333333333333
153,colegiointegral,ef 5o ano,123.0
154,physicsbatistacampos,ef 9o ano,122.4
155,colegioensitec,ef 5o ano,121.0
156,stellamarisjuveve,ef 3o ano,120.5
157,integradaeducativa,em 2a serie,120.0
158,casdinhosjc,ef 8o ano,120.0
159,psantagema,ef 9o ano,119.0
160,jazzvestibular,outro,118.0
161,colegiobilac,ef 3o ano,118.0
162,colegioguilhermedealmeida,ef 2o ano,118.0
163,insa,em 1a serie,118.0
164,colegioecursodesafio,ef 7o ano,117.0
165,physicsaugustomontenegro,ef 9o ano,117.0
166,colegiocb,ef 5o ano,116.0
167,colegioeag,em 1a serie,116.0
168,stellamarisjuveve,ef 9o ano,115.5
169,physicscidadenova,ef 9o ano,115.0
170,colegioensitec,ef 9o ano,115.0
171,colegiocb,em 2a serie,114.0
172,cem,ef 1o ano,113.0
173,colegiobilac,ef 5o ano,113.0
174,physicsbatistacampos,ef 7o ano,112.625
175,colegiointegral,ef 4o ano,112.0
176,colegiocb,em 1a serie,111.0
177,colegiocb,em 3a serie,111.0
178,stellamarisjuveve,ef 6o ano,110.66666666666667
179,alpha,ef 5o ano,110.0
180,stellamarisxaxim,ef 3o ano,110.0
181,progressaodc,em 3a serie,110.0
182,aridesa,em 3a serie,109.0
183,acessocampolargo,em 2a serie,108.0
184,colegioensitec,em 3a serie,107.0
185,integradaeducativa,em 1a serie,107.0
186,colegiosete,em 1a serie,107.0
187,santoamerico,ef 9o ano,106.8
188,colegiosete,em 2a serie,106.0
189,cem,ef 2o ano,106.0
190,colegioecursoprogressao,em 3a serie,105.5
191,physicsalmirantebarroso,ef 9o ano,104.0
192,physicsalmirantebarroso,ef 8o ano,104.0
193,colegiobrasilia,ef 6o ano,103.57142857142857
194,spdacruz,em 3a serie,103.0
195,psantagema,em 3a serie,102.33333333333333
196,villalobos,ef 8o ano,102.0
197,alpha,ef 4o ano,102.0
198,villalobos,outro,101.25
199,colegiosete,em 3a serie,100.0
200,colegioiguatemy,em 2a serie,100.0
201,universitariolondrina,em 3a serie,99.0
202,villalobos,ef 9o ano,98.2
203,eacorcovado,ef 8o ano,97.5
204,stellamarisjuveve,em 1a serie,97.0
205,colegioeag,em 2a serie,96.0
206,cem,em 3a serie,96.0
207,informacao,em 2a serie,96.0
208,colegioecursoprogressao,ef 9o ano,95.5
209,amadeus,em 1a serie,94.0
210,amadeus,ef 8o ano,94.0
211,colegiobrasilia,ef 1o ano,94.0
212,acessosjpinhais,ef 3o ano,93.0
213,stellamarisjuveve,ef 8o ano,93.0
214,integradaeducativa,ef 9o ano,92.66666666666667
215,stellamarisjuveve,em 2a serie,92.0
216,colegioecursodesafio,ef 6o ano,91.66666666666667
217,stellamarisxaxim,ef 7o ano,91.0
218,stellamarisjuveve,ef 7o ano,91.0
219,physicsalmirantebarroso,em 1a serie,91.0
220,amadeus,ef 4o ano,91.0
221,psantagema,ef 8o ano,90.25
222,stellamarisjuveve,em 3a serie,90.0
223,stellamarisjuveve,outro,90.0
224,amadeus,ef 6o ano,89.0
225,physicsaugustomontenegro,ef 6o ano,89.0
226,alpha,ef 3o ano,89.0
227,amadeus,em 2a serie,88.0
228,colegioensitec,ef 6o ano,88.0
229,colegioecursoprogressao,em 2a serie,87.33333333333333
230,acessosjpinhais,ef 9o ano,86.5
231,acessocampolargo,ef 9o ano,86.0
232,overnascimentodecastro,outro,86.0
233,progressaodc,em 1a serie,84.0
234,psantagema,em 1a serie,83.5
235,physicsumarizal,ef 8o ano,83.0
236,physicsumarizal,ef 7o ano,83.0
237,colegioiguatemy,ef 8o ano,83.0
238,colegioiguatemy,ef 5o ano,83.0
239,amadeus,ef 5o ano,83.0
240,universitariolondrina,ef 8o ano,83.0
241,amadeus,ef 7o ano,82.0
242,physicsaugustomontenegro,infantil ii,82.0
243,eacorcovado,em 1a serie,81.8
244,spdacruz,em 2a serie,81.0
245,colegiobilac,ef 1o ano,81.0
246,progressaoig,em 3a serie,81.0
247,acessofazendariogrande,em 2a serie,81.0
248,cem,em 1a serie,80.0
249,stellamarisxaxim,ef 6o ano,79.66666666666667
250,colegioiguatemy,ef 7o ano,79.5
251,physicsaugustomontenegro,ef 7o ano,79.0
252,colegioecursoprogressao,em 1a serie,78.33333333333333
253,colegioguilhermedealmeida,ef 8o ano,77.66666666666667
254,acessocampolargo,em 1a serie,77.0
255,colegiouirapuru,ef 4o ano,77.0
256,villalobos,ef 5o ano,77.0
257,cem,ef 5o ano,77.0
258,villalobos,ef 7o ano,76.5
259,colegiobrasilia,ef 3o ano,76.0
260,eccos,ef 8o ano,75.0
261,colegioguilhermedealmeida,ef 5o ano,75.0
262,universitariolondrina,ef 7o ano,75.0
263,integradaeducativa,ef 8o ano,74.0
264,colegiosete,ef 8o ano,74.0
265,universitariolondrina,em 2a serie,74.0
266,pioxi,em 3a serie,74.0
267,colegioensitec,ef 7o ano,74.0
268,porto,ef 6o ano,74.0
269,universitariolondrina,ef 6o ano,73.0
270,stellamarisjuveve,ef 1o ano,73.0
271,cem,ef 4o ano,73.0
272,francobrasileiro,em 3a serie,72.33333333333333
273,acessoboqueirao,em 2a serie,72.0
274,portinari,em 1a serie,71.0
275,physicsumarizal,ef 6o ano,71.0
276,colegiodasamericas,em 2a serie,70.0
277,colegiobilac,ef 2o ano,70.0
278,acessoboqueirao,ef 8o ano,69.75
279,amadeus,ef 2o ano,69.0
280,cem,ef 6o ano,69.0
281,acessofazendariogrande,ef 9o ano,68.0
282,moaciralves,ef 6o ano,68.0
283,colegiosete,ef 7o ano,68.0
284,amadeus,ef 3o ano,67.0
285,universitariolondrina,outro,66.83333333333333
286,colegiodasamericas,ef 4o ano,66.66666666666667
287,colegioiguatemy,ef 4o ano,66.0
288,colegiosete,ef 4o ano,65.0
289,porto,ef 8o ano,65.0
290,stellamarisaguaverde,ef 6o ano,65.0
291,colegiointegral,ef 3o ano,64.6
292,colegiobilac,ef 8o ano,64.0
293,ceabb,ef 7o ano,64.0
294,acessoalmirantetamandare,em 2a serie,64.0
295,villalobos,ef 4o ano,64.0
296,physicsalmirantebarroso,em 2a serie,64.0
297,colegiosete,ef 5o ano,63.333333333333336
298,apogeustoantonio2,outro,63.0
299,colegiodasamericas,em 1a serie,63.0
300,colegioeag,ef 8o ano,62.5
301,colegiouirapuru,ef 5o ano,62.4
302,acessofazendariogrande,ef 6o ano,62.0
303,stellamarisaguaverde,ef 7o ano,62.0
