,namespace,grade,Porcentagem de visualização de relatórios de SE por alunos
188,porto,em 1a serie,0.1246376811594203
189,colegioiguatemy,ef 7o ano,0.12359550561797752
190,antoniomelo,ef 7o ano,0.12295081967213115
191,eccos,ef 5o ano,0.12152777777777778
192,portinari,ef 8o ano,0.12109862671660425
193,overmarciliofurtado,ef 9o ano,0.12037037037037036
194,alpha,ef 8o ano,0.12024456521739131
195,integra,ef 2o ano,0.11904761904761904
196,colegiocb,em 2a serie,0.11877394636015326
197,acessosantafelicidade,em 1a serie,0.11852704257767549
198,senhorbonfim,ef 7o ano,0.11764705882352941
199,overpontanegra,em 2a serie,0.1171875
200,colegiocb,ef 7o ano,0.11688311688311688
201,acessosantafelicidade,ef 4o ano,0.11666666666666667
202,amadeus,ef 4o ano,0.11570247933884298
203,acessosjpinhais,ef 6o ano,0.11550468262226847
204,villalobos,ef 4o ano,0.11547619047619048
205,integradaeducativa,ef 6o ano,0.11494252873563218
206,colegioguilhermedealmeida,ef 6o ano,0.1137855579868709
207,colegioiguatemy,ef 4o ano,0.11363636363636363
208,apogeustoantonio2,ef 9o ano,0.11363636363636363
209,colegioguilhermedealmeida,ef 8o ano,0.11303095752339813
210,porto,ef 9o ano,0.11274509803921569
211,acessosjpinhais,em 1a serie,0.11266846361185984
212,acessoalmirantetamandare,ef 9o ano,0.11224489795918367
213,alpha,ef 6o ano,0.11213235294117647
214,colegioguilhermedealmeida,ef 7o ano,0.11159420289855072
215,colegiodasamericas,ef 8o ano,0.1111111111111111
216,overpontanegra,ef 9o ano,0.1111111111111111
217,objetivolorena,em 1a serie,0.11044776119402985
218,acessoalmirantetamandare,ef 6o ano,0.11038961038961038
219,acessosantafelicidade,em 2a serie,0.1103448275862069
220,acessosjpinhais,ef 7o ano,0.1103202846975089
221,colegiocb,ef 5o ano,0.1099537037037037
222,colegioeag,em 2a serie,0.10950413223140495
223,objetivolorena,em 2a serie,0.1090146750524109
224,mariliamattoso,em 3a serie,0.10897435897435898
225,colegiojoaopaulo,em 3a serie,0.10810810810810811
226,colegiouirapuru,ef 9o ano,0.10734463276836158
227,acessocampolargo,ef 9o ano,0.10689655172413794
228,hamiltondarocha,ef 9o ano,0.10652920962199312
229,colegiosete,ef 6o ano,0.1059322033898305
230,colegioensitec,ef 5o ano,0.10515873015873016
231,acessofazendariogrande,ef 9o ano,0.10473457675753228
232,colegioguilhermedealmeida,ef 5o ano,0.10416666666666667
233,psantagema,em 1a serie,0.10404624277456648
234,stellamarisjuveve,ef 4o ano,0.10351966873706005
235,acessofazendariogrande,ef 7o ano,0.10256410256410256
236,acessosjpinhais,ef 9o ano,0.10238568588469185
237,stellamarisjuveve,ef 8o ano,0.10160427807486631
238,colegioguilhermedealmeida,outro,0.10135135135135136
239,colegioecursoprogressao,ef 7o ano,0.10119047619047619
240,colegioguilhermedealmeida,ef 1o ano,0.10084033613445378
241,eccos,ef 2o ano,0.1
242,acessofazendariogrande,ef 6o ano,0.1
243,senhorbonfim,ef 9o ano,0.1
244,integra,ef 4o ano,0.1
245,ceespacolivre,em 2a serie,0.1
246,cem,ef 3o ano,0.1
247,positivoon,em 3a serie,0.1
248,abdiasmartins,ef 9o ano,0.09848484848484848
249,francobrasileiro,em 3a serie,0.09843400447427293
250,colegiojoaopaulo,em 2a serie,0.09782608695652174
251,alpha,em 1a serie,0.0975
252,alpha,ef 2o ano,0.0967741935483871
253,universitariolondrina,ef 6o ano,0.09581263307310149
254,acessoboqueirao,ef 9o ano,0.09572784810126582
255,colegiosete,em 2a serie,0.09554730983302412
256,progressaodc,em 1a serie,0.09523809523809523
257,acessosjpinhais,ef 8o ano,0.09504132231404959
258,einsteinassis,em 2a serie,0.09233176838810642
259,alpha,ef 7o ano,0.09212121212121212
260,stellamarisxaxim,em 1a serie,0.09090909090909091
261,eccos,ef 6o ano,0.09071729957805907
262,colegioecursoprogressao,ef 9o ano,0.0905982905982906
263,physicsalcindocacela,em 1a serie,0.09009009009009009
264,einsteinassis,ef 6o ano,0.0900562851782364
265,colegioecursoprogressao,em 2a serie,0.08871915393654524
266,colegioeag,em 3a serie,0.08817204301075268
267,acessofazendariogrande,ef 8o ano,0.08791208791208792
268,colegiodasamericas,ef 2o ano,0.08780487804878048
269,alpha,em 2a serie,0.08779652726828076
270,stellamarisjuveve,ef 3o ano,0.08759689922480621
271,amadeus,ef 6o ano,0.08744038155802862
272,stellamarisjuveve,ef 5o ano,0.08740359897172237
273,abiliomartins,ef 7o ano,0.08695652173913043
274,santoamerico,em 2a serie,0.08677248677248678
275,colegiocb,ef 8o ano,0.08666666666666667
276,colegioecursoprogressao,em 1a serie,0.08653846153846154
277,stellamarisjuveve,ef 9o ano,0.0860655737704918
278,acessosantafelicidade,ef 9o ano,0.0851063829787234
279,overmarciliofurtado,ef 8o ano,0.0851063829787234
280,stellamarisjuveve,ef 7o ano,0.08409506398537477
281,amadeus,ef 3o ano,0.08333333333333333
282,colegiofuturageracao,ef 8o ano,0.08333333333333333
283,colegiocb,ef 9o ano,0.08333333333333333
284,physicsmacapa,em 1a serie,0.08333333333333333
285,overpontanegra,ef 7o ano,0.08333333333333333
286,colegioecursoprogressao,em 3a serie,0.08278457196613359
287,eacorcovado,em 2a serie,0.08242612752721618
288,elitecuritibaemilianoperneta,em 2a serie,0.08193548387096775
289,abdiasmartins,ef 6o ano,0.08163265306122448
290,colegioecursoprogressao,ef 8o ano,0.08058608058608059
291,colegiointegral,em 1a serie,0.08054226475279107
292,portinari,ef 5o ano,0.08035714285714286
293,physicscidadenova,ef 2o ano,0.08
294,santoamerico,em 1a serie,0.0794392523364486
295,acessoboqueirao,ef 8o ano,0.07940606843124597
296,colegioeag,ef 8o ano,0.07864077669902912
297,colegiouirapuru,em 1a serie,0.07716049382716049
298,mocinhagomes,ef 6o ano,0.07692307692307693
299,eccos,ef 9o ano,0.07692307692307693
300,moaciralves,ef 7o ano,0.07662835249042145
301,elitecuritibaemilianoperneta,em 1a serie,0.0761904761904762
302,colegiosete,ef 7o ano,0.07565511411665257
303,psantagema,ef 8o ano,0.07531380753138076
304,overpontanegra,ef 6o ano,0.07526881720430108
305,acessoboqueirao,em 1a serie,0.07511380880121396
306,overzonanorte,em 3a serie,0.075
307,moaciralves,ef 6o ano,0.075
308,colegioflamingo,em 1a serie,0.07493540051679587
309,colegioiguatemy,ef 6o ano,0.07433380084151472
310,ceabb,ef 6o ano,0.07407407407407407
311,ceabb,ef 7o ano,0.07407407407407407
312,senhorbonfim,ef 8o ano,0.07407407407407407
313,isem,ef 8o ano,0.07352941176470588
314,colegiosete,ef 9o ano,0.07265625
315,acessosjpinhais,em 2a serie,0.07217261904761904
316,stellamarisjuveve,ef 6o ano,0.07215836526181353
317,amadeus,ef 5o ano,0.07211538461538461
318,physicsmacapa,ef 7o ano,0.07142857142857142
319,acessosantafelicidade,ef 8o ano,0.07142857142857142
320,ceabb,ef 4o ano,0.07142857142857142
321,stellamarisaguaverde,ef 3o ano,0.07125307125307126
322,psantagema,ef 7o ano,0.07086614173228346
323,faculdadeflamingo,outro,0.07023705004389816
324,colegiointegral,ef 4o ano,0.06997219647822057
325,objetivolorena,em 3a serie,0.06986899563318777
326,acessofazendariogrande,outro,0.06944444444444445
327,psantagema,em 3a serie,0.06900878293601004
328,joaorosa,ef 9o ano,0.06896551724137931
329,colegiosete,ef 8o ano,0.0681551116333725
330,ciadosaber,ef 9o ano,0.06666666666666667
331,overabelcabral,ef 9o ano,0.06666666666666667
332,colegioeag,ef 7o ano,0.06654170571696345
333,colegioguilhermedealmeida,ef 4o ano,0.06571428571428571
334,alpha,ef 4o ano,0.06552706552706553
335,alpha,ef 5o ano,0.06504065040650407
336,stellamarisjuveve,em 1a serie,0.0645682001614205
337,colegiointegral,ef 2o ano,0.06435643564356436
338,physicsmacapa,em 2a serie,0.06382978723404255
339,moaciralves,ef 8o ano,0.06358381502890173
340,colegiointegral,ef 6o ano,0.0634861932938856
341,eacorcovado,em 3a serie,0.06317335945151811
342,santoamerico,ef 7o ano,0.062875751503006
343,abiliomartins,ef 6o ano,0.0625
344,villalobos,ef 5o ano,0.0625
345,qescola,outro,0.0625
346,integradaeducativa,ef 9o ano,0.06236559139784946
347,portinari,ef 4o ano,0.06198347107438017
348,objetivolorena,outro,0.06060606060606061
349,cem,em 3a serie,0.06060606060606061
350,stellamarisxaxim,em 2a serie,0.06015037593984962
351,stellamarisjuveve,outro,0.05982905982905983
352,integradaeducativa,em 3a serie,0.058823529411764705
353,cem,em 2a serie,0.05859375
354,universitariolondrina,ef 7o ano,0.05858585858585859
355,integradaeducativa,ef 8o ano,0.05851063829787234
356,colegiosete,em 3a serie,0.05844907407407408
357,overpontanegra,ef 8o ano,0.058333333333333334
358,amadeus,ef 9o ano,0.058284762697751874
359,stellamarisjuveve,ef 2o ano,0.05714285714285714
360,physicsalmirantebarroso,ef 5o ano,0.057004830917874394
361,overabelcabral,em 2a serie,0.05644402634054563
362,eldapereira,ef 4o ano,0.05555555555555555
363,stellamarisxaxim,ef 8o ano,0.054987212276214836
364,physicscidadenova,ef 4o ano,0.05458089668615984
365,casdinhosjc,ef 8o ano,0.05446853516657853
366,psantagema,ef 9o ano,0.05409153952843273
367,colegiointegral,ef 7o ano,0.053959091479482996
368,colegiouniverso,ef 7o ano,0.05365853658536585
369,qescola,ef 5o ano,0.05357142857142857
370,overjoaopessoa,em 2a serie,0.05357142857142857
371,physicsaugustomontenegro,ef 3o ano,0.05344202898550725
372,physicsalmirantebarroso,ef 3o ano,0.05339105339105339
373,physicsaugustomontenegro,ef 4o ano,0.052142857142857144
374,colegiouniverso,ef 8o ano,0.05172413793103448
375,colegiointegral,ef 5o ano,0.05152807391613362
376,progressaodc,em 3a serie,0.050699300699300696
377,ceabb,ef 5o ano,0.050505050505050504
378,einsteinassis,ef 8o ano,0.05033003300330033
379,colegioguilhermedealmeida,em 3a serie,0.050314465408805034
380,ceabb,ef 9o ano,0.05
381,insa,em 1a serie,0.05
382,progressaoig,em 3a serie,0.04957264957264957
383,pioxi,em 2a serie,0.04938271604938271
384,colegiointegral,ef 3o ano,0.049352750809061485
385,physicsaugustomontenegro,ef 9o ano,0.04926108374384237
386,physicsaugustomontenegro,ef 6o ano,0.04908835904628331
387,einsteinassis,ef 9o ano,0.048828125
388,litteratus,em 3a serie,0.04878048780487805
389,universitariolondrina,ef 5o ano,0.048115477145148355
390,physicsalmirantebarroso,ef 6o ano,0.04809437386569873
391,stellamarisaguaverde,ef 7o ano,0.04807692307692308
392,overpontanegra,em 3a serie,0.047619047619047616
393,colegiojoaopaulo,em 1a serie,0.047619047619047616
394,overjoaopessoa,em 1a serie,0.047619047619047616
395,overmarciliofurtado,ef 7o ano,0.047619047619047616
396,physicsmacapa,ef 9o ano,0.047619047619047616
397,colegiouniverso,ef 6o ano,0.047619047619047616
398,colegiointegral,ef 8o ano,0.047332185886402756
399,integradaeducativa,ef 7o ano,0.0472027972027972
400,physicsbatistacampos,ef 2o ano,0.04716981132075472
401,colegioecursodesafio,ef 7o ano,0.047139403706688156
402,colegioecursodesafio,em 3a serie,0.04694485842026826
403,colegiobrasilia,ef 2o ano,0.04685099846390169
404,antoniomelo,ef 9o ano,0.046511627906976744
405,physicsmacapa,outro,0.0455026455026455
406,physicsumarizal,ef 2o ano,0.04437564499484004
407,colegiobrasilia,ef 4o ano,0.04435483870967742
408,eccos,ef 3o ano,0.04426559356136821
409,cursoenfase,outro,0.04365904365904366
410,acessosjpinhais,ef 4o ano,0.042666666666666665
411,ceprimeiromundo,ef 7o ano,0.042662116040955635
412,santoamerico,ef 9o ano,0.042526964560862864
413,alpha,ef 3o ano,0.04201680672268908
414,acessosjpinhais,ef 5o ano,0.041952707856598014
415,physicsaugustomontenegro,ef 7o ano,0.041935483870967745
416,joaorosa,ef 8o ano,0.041666666666666664
417,alpha,em 3a serie,0.04112554112554113
418,colegioflamingo,em 2a serie,0.04054054054054054
419,amaisteste,ef 9o ano,0.04
420,colegiouirapuru,em 3a serie,0.04
421,amadeus,em 1a serie,0.03952991452991453
422,overabelcabral,em 1a serie,0.039473684210526314
423,colegiointegral,em 2a serie,0.03893759669932955
424,integradaeducativa,em 1a serie,0.03888888888888889
425,physicsalcindocacela,em 2a serie,0.03885135135135135
426,colegioecursodesafio,ef 9o ano,0.038630027877339705
427,acessoalmirantetamandare,ef 8o ano,0.038461538461538464
428,physicsumarizal,ef 6o ano,0.038461538461538464
429,stellamarisxaxim,em 3a serie,0.038461538461538464
430,acessohauer,ef 3o ano,0.038461538461538464
431,einsteinassis,em 1a serie,0.03823529411764706
432,physicsalmirantebarroso,ef 1o ano,0.03777777777777778
433,cem,em 1a serie,0.03747534516765286
434,villalobos,ef 9o ano,0.037226484796817276
435,physicsbatistacampos,ef 5o ano,0.03721488595438175
436,colegiouniverso,ef 9o ano,0.037142857142857144
437,overabelcabral,ef 7o ano,0.037082818294190356
438,physicsalmirantebarroso,ef 7o ano,0.03673163418290855
439,objetivolorena,ef 7o ano,0.036072144288577156
440,physicscidadenova,ef 7o ano,0.03602941176470588
441,overmarciliofurtado,em 1a serie,0.03594771241830065
442,physicsumarizal,ef 8o ano,0.03560371517027864
443,moaciralves,ef 9o ano,0.03508771929824561
444,physicsaugustomontenegro,em 1a serie,0.03492063492063492
445,stellamarisaguaverde,ef 6o ano,0.03461538461538462
446,universobarcarena,ef 7o ano,0.034482758620689655
447,physicscidadenova,ef 6o ano,0.0344644750795334
448,cats,outro,0.03409090909090909
449,colegioecursodesafio,em 2a serie,0.034013605442176874
450,universitariolondrina,ef 8o ano,0.033633633633633635
451,colegiointegral,ef 9o ano,0.03357460538937822
452,physicscidadenova,ef 9o ano,0.03357142857142857
453,einsteinassis,ef 7o ano,0.03333333333333333
454,physicsumarizal,ef 7o ano,0.03306878306878307
455,physicsumarizal,ef 1o ano,0.03298611111111111
456,universitariolondrina,ef 9o ano,0.03278688524590164
457,acessosantafelicidade,outro,0.03225806451612903
458,colegiodasamericas,ef 1o ano,0.03225806451612903
459,ceabb,ef 8o ano,0.031746031746031744
460,colegioarena,outro,0.03164556962025317
461,physicsconselheirofurtado,em 3a serie,0.031088082901554404
462,physicsconselheirofurtado,em 1a serie,0.03076923076923077
463,universobarcarena,em 2a serie,0.03070175438596491
464,portinari,em 3a serie,0.030456852791878174
465,physicsaugustomontenegro,ef 5o ano,0.030377668308702793
466,universitariolondrina,ef 2o ano,0.030312403340550572
467,ceespacolivre,ef 7o ano,0.030303030303030304
468,colegiobrasilia,infantil i,0.030303030303030304
469,physicsalmirantebarroso,ef 4o ano,0.030214424951267055
470,physicsaugustomontenegro,ef 2o ano,0.030193236714975844
471,universitariolondrina,ef 3o ano,0.03019193444037093
472,colegiobrasilia,em 2a serie,0.03018867924528302
473,colegiobrasilia,ef 5o ano,0.03008015087223008
474,ipdhsolucoes,outro,0.029748283752860413
475,apogeustoantonio2,outro,0.02908805031446541
476,colegioecursodesafio,ef 6o ano,0.029069767441860465
477,physicscidadenova,ef 5o ano,0.02905982905982906
478,universobarcarena,ef 9o ano,0.028985507246376812
479,institutoeurofarma,outro,0.02889063454656542
480,overpontanegra,em 1a serie,0.028846153846153848
481,integradaeducativa,em 2a serie,0.02882882882882883
482,amadeus,em 2a serie,0.028759736369083282
483,physicsbatistacampos,ef 8o ano,0.028611632270168854
484,pesenglish,outro,0.02857142857142857
485,stellamarisxaxim,ef 7o ano,0.02794022092267706
486,profederal,outro,0.027683997299122215
487,physicscidadenova,ef 8o ano,0.027616279069767442
488,physicsalmirantebarroso,em 1a serie,0.027517198248905566
489,overabelcabral,em 3a serie,0.027472527472527472
490,physicsmacapa,em 3a serie,0.027301587301587302
491,overzonanorte,ef 5o ano,0.02727272727272727
492,villalobos,em 1a serie,0.027204674091656018
493,aescobjetivo,em 1a serie,0.02702702702702703
494,universitariolondrina,ef 1o ano,0.026778577138289367
495,overabelcabral,ef 8o ano,0.026748971193415638
496,ceabb,ef 3o ano,0.026041666666666668
497,physicsaugustomontenegro,outro,0.025974025974025976
498,objetivolorena,ef 8o ano,0.025806451612903226
499,villalobos,ef 8o ano,0.0255359394703657
500,colegiobrasilia,ef 8o ano,0.025510204081632654
501,colegioecursodesafio,ef 8o ano,0.02510460251046025
502,universitariolondrina,em 1a serie,0.025059230909422272
503,physicsumarizal,ef 4o ano,0.02505446623093682
504,colegiopremium,ef 5o ano,0.025
505,ceprimeiromundo,ef 8o ano,0.025
506,overzonanorte,outro,0.025
507,stellamarisxaxim,ef 6o ano,0.024974515800203875
508,colegiointegral,em 3a serie,0.024670548574931044
509,physicsbatistacampos,ef 6o ano,0.024499654934437544
510,physicsaugustomontenegro,ef 8o ano,0.024324324324324326
511,universitariolondrina,em 2a serie,0.02399368587213891
512,eccos,ef 8o ano,0.023715415019762844
513,physicsaugustomontenegro,em 3a serie,0.0234375
514,overnascimentodecastro,outro,0.023255813953488372
515,physicsalmirantebarroso,ef 8o ano,0.023148148148148147
516,insa,em 3a serie,0.022988505747126436
517,eccos,ef 4o ano,0.022770398481973434
518,villalobos,em 2a serie,0.022292993630573247
519,physicsalcindocacela,em 3a serie,0.022222222222222223
520,stellamarisaguaverde,ef 5o ano,0.022222222222222223
521,amadeus,ef 7o ano,0.022004357298474945
522,physicsaugustomontenegro,ef 1o ano,0.021875
523,colegiobrasilia,ef 6o ano,0.02167242040659762
524,physicsbatistacampos,ef 4o ano,0.021379310344827585
525,colegioensitec,em 3a serie,0.021212121212121213
526,colegioflamingo,em 3a serie,0.02111801242236025
527,colegiouniverso,em 1a serie,0.020833333333333332
528,colegiobrasilia,em 1a serie,0.020698051948051948
529,physicsbatistacampos,ef 7o ano,0.020573108008817047
530,physicsumarizal,ef 3o ano,0.020224719101123594
531,nucleocriativo,ef 2o ano,0.02
532,acessopinhais,outro,0.0196078431372549
533,physicsalmirantebarroso,em 2a serie,0.019425019425019424
534,colegiobrasilia,ef 3o ano,0.019054878048780487
535,objetivolorena,ef 6o ano,0.01881720430107527
536,cem,ef 6o ano,0.018803418803418803
537,acessosjpinhais,ef 3o ano,0.018711018711018712
538,stellamarisxaxim,ef 5o ano,0.01859229747675963
539,spdacruz,outro,0.018518518518518517
540,physicsumarizal,ef 5o ano,0.017786561264822136
