,namespace,grade,Média de séries de exercícios por turma
546,objetivolorena,ef 5o ano,3.0
547,aescobjetivo,em 2a serie,3.0
548,mariliamattoso,ef 9o ano,3.0
549,colegiojoaopaulo,em 3a serie,3.0
550,colegioensitec,ef 4o ano,3.0
551,mariliamattoso,ef 6o ano,3.0
552,litteratus,em 3a serie,3.0
553,physicsconselheirofurtado,em 2a serie,3.0
554,albertocabral,ef 1o ano,3.0
555,escolaceciliameireles,ef 6o ano,3.0
556,escolaceciliameireles,ef 5o ano,3.0
557,escola,ef 4o ano,3.0
558,acessocampolargo,ef 7o ano,3.0
559,albertocabral,ef 5o ano,3.0
560,overmarciliofurtado,ef 9o ano,3.0
561,overmossoro,ef 7o ano,3.0
562,colegiojoaopaulo,ef 5o ano,3.0
563,overpontanegra,ef 6o ano,3.0
564,stellamarisaguaverde,ef 5o ano,3.0
565,acessosantafelicidade,ef 4o ano,3.0
566,faculdadeflamingo,outro,2.888888888888889
567,liessin,ef 8o ano,2.6666666666666665
568,ceprimeiromundo,ef 8o ano,2.6666666666666665
569,eacorcovado,ef 7o ano,2.5
570,universobarcarena,ef 7o ano,2.5
571,colegiouniverso,em 2a serie,2.5
572,rede,ef 9o ano,2.5
573,colegioguilhermedealmeida,outro,2.5
574,colegiouirapuru,ef 7o ano,2.4
575,colegiodasamericas,ef 1o ano,2.3333333333333335
576,joaorosa,ef 9o ano,2.0
577,cursoisfera,outro,2.0
578,colegioarena,outro,2.0
579,colegiojoaopaulo,ef 7o ano,2.0
580,josesoares,ef 4o ano,2.0
581,physicsaugustomontenegro,em 3a serie,2.0
582,colegiopremium,ef 4o ano,2.0
583,apogeustoantonio2,ef 9o ano,2.0
584,colegiosete,ef 1o ano,2.0
585,eccos,outro,2.0
586,colegiojoaopaulo,ef 4o ano,2.0
587,senhorbonfim,ef 6o ano,2.0
588,colegiosete,ef 2o ano,2.0
589,sasadapt,ef 1o ano,2.0
590,overpontanegra,em 3a serie,2.0
591,colegiopremium,ef 5o ano,2.0
592,aescobjetivo,em 1a serie,2.0
593,ciadosaber,ef 9o ano,2.0
594,albertocabral,ef 2o ano,2.0
595,herciliovilanova,ef 1o ano,2.0
596,hamiltondarocha,ef 7o ano,2.0
597,gamt,outro,2.0
598,universobarcarena,ef 6o ano,2.0
599,overabelcabral,ef 4o ano,2.0
600,colegioensitec,ef 2o ano,2.0
601,physicsaugustomontenegro,outro,2.0
602,acessohauer,ef 2o ano,2.0
603,overabelcabral,ef 9o ano,2.0
604,colegiofuturageracao,ef 7o ano,2.0
605,colegiofuturageracao,ef 8o ano,2.0
606,ceprimeiromundo,ef 4o ano,2.0
607,physicsconselheirofurtado,em 3a serie,2.0
608,acessocampolargo,ef 6o ano,2.0
609,pioxi,em 2a serie,2.0
610,acessohauer,ef 6o ano,2.0
611,integra,ef 6o ano,2.0
612,professoratalitha,outro,2.0
613,joaorosa,ef 8o ano,2.0
614,acessohauer,ef 4o ano,2.0
615,qescola,outro,2.0
616,integra,ef 8o ano,2.0
617,invictus,ef 2o ano,2.0
618,acessosantafelicidade,ef 2o ano,2.0
619,invictus,em 1a serie,2.0
620,pioxi,outro,2.0
621,herciliovilanova,ef 2o ano,2.0
622,overzonanorte,em 2a serie,2.0
623,overzonanorte,em 1a serie,2.0
624,isem,ef 8o ano,2.0
625,acessosantafelicidade,ef 6o ano,2.0
626,colegiouirapuru,em 2a serie,1.75
627,stellamarisjuveve,ef 2o ano,1.75
628,colegiojoaopaulo,em 1a serie,1.75
629,colegiojoaopaulo,em 2a serie,1.6666666666666667
630,portinari,ef 7o ano,1.6
631,eacorcovado,ef 5o ano,1.6
632,physicsconselheirofurtado,em 1a serie,1.5
633,ceprimeiromundo,ef 5o ano,1.5
634,portinari,em 3a serie,1.25
635,contemporaneocidadeverde,ef 8o ano,1.0
636,colegiouirapuru,ef 8o ano,1.0
637,overzonanorte,ef 7o ano,1.0
638,contemporaneocidadeverde,ef 9o ano,1.0
639,amaisteste,ef 9o ano,1.0
640,pioxi,ef 3o ano,1.0
641,educamais,ef 8o ano,1.0
642,overabelcabral,ef 3o ano,1.0
643,redeinspira,outro,1.0
644,contemporaneocidadeverde,ef 5o ano,1.0
645,colegiofuturageracao,ef 6o ano,1.0
646,conexaosaber,ef 5o ano,1.0
647,conexaosaber,ef 2o ano,1.0
648,acessosantafelicidade,ef 7o ano,1.0
649,hamiltondarocha,ef 6o ano,1.0
650,ciadosaber,ef 6o ano,1.0
651,amaisteste,ef 6o ano,1.0
652,isem,ef 7o ano,1.0
