,namespace,Semana,Número de AAs por turma
146,arena,37,1.0
147,arlindocavalcanti,25,1.0
148,beityaacov,32,1.0
149,beityaacov,33,1.0
150,bertelsmann,28,1.0
151,bertelsmann,31,1.0
152,bertelsmann,35,0.5
153,bertelsmann,37,0.5
154,brasilcursinhos,25,0.5
155,brasilcursinhos,27,0.5
156,brasilcursinhos,28,1.5
157,brasilcursinhos,29,1.6666666666666667
158,brasilcursinhos,30,1.0
159,brasilcursinhos,34,0.75
160,brasilcursinhos,35,1.1666666666666667
161,brasilcursinhos,37,1.0
162,calculo2,37,2.0
163,camerinocursos,29,0.14285714285714285
164,casdinhosjc,25,0.5
165,casdinhosjc,27,0.25
166,casdinhosjc,31,0.25
167,casdinhosjc,33,0.25
168,casdinhosjc,35,1.0
169,casdinhosjc,37,0.5
170,casdvest,25,1.0
171,casdvest,26,0.4
172,casdvest,27,0.4
173,casdvest,29,1.0
174,casdvest,30,0.2
175,casdvest,31,0.2
176,casdvest,32,0.2
177,casdvest,33,0.2
178,casdvest,36,0.2
179,castelobruxo,30,1.0
180,cats,29,1.0
181,cats,30,1.0
182,cats,34,1.0
183,cats,35,2.0
184,cats,37,1.0
185,cbpdigital,25,1.0
186,cbpdigital,26,0.25
187,cbpdigital,31,1.1666666666666667
188,cbpdigital,32,1.0
189,cbpdigital,33,1.0
190,cbpdigital,34,1.6875
191,cbpdigital,35,2.0
192,cbpdigital,36,1.0
193,ceabb,26,1.5
194,ceabb,27,1.7142857142857142
195,ceabb,31,2.0
196,ceabb,35,13.8
197,cecbdf,33,0.16666666666666666
198,cecbdf,34,0.3333333333333333
199,ceespacolivre,25,1.5555555555555556
200,ceespacolivre,26,1.0
201,ceespacolivre,27,1.4
202,ceespacolivre,28,1.0
203,ceespacolivre,32,2.5
204,ceespacolivre,33,1.2666666666666666
205,ceespacolivre,34,1.6666666666666667
206,ceespacolivre,35,1.0
207,ceespacolivre,36,2.090909090909091
208,ceespacolivre,37,0.9333333333333333
209,cem,25,1.0
210,cem,31,1.6666666666666667
211,cem,32,3.0
212,cem,33,4.454545454545454
213,cem,34,1.4
214,cem,35,2.3333333333333335
215,cem,36,1.0
216,ceprimeiromundo,25,0.8571428571428571
217,ceprimeiromundo,26,2.0
218,ceprimeiromundo,27,1.0
219,ceprimeiromundo,28,0.5416666666666666
220,ceprimeiromundo,29,1.0
221,ceprimeiromundo,30,0.5
222,ceprimeiromundo,31,1.7
223,ceprimeiromundo,32,2.857142857142857
224,ceprimeiromundo,33,1.696969696969697
225,ceprimeiromundo,34,1.4583333333333333
226,ceprimeiromundo,35,2.1875
227,ceprimeiromundo,36,1.0
228,charlesdarwin,27,1.0
229,ciadosaber,25,2.8333333333333335
230,ciadosaber,30,1.75
231,ciadosaber,31,1.0
232,ciadosaber,32,1.4444444444444444
233,ciadosaber,33,2.1
234,ciadosaber,34,2.4166666666666665
235,ciadosaber,36,1.0
236,ciadosaber,37,0.7142857142857143
237,cmdpii,33,3.0
238,cmdpii,34,6.0
239,cnslpb,25,1.0
240,cnslpb,26,1.6666666666666667
241,cnslpb,28,0.5
242,cnslpb,30,0.3181818181818182
243,cnslpb,31,1.75
244,cnslpb,32,1.3
245,cnslpb,33,1.0
246,cnslpb,34,2.0
247,cnslpb,35,1.25
248,cnslpb,36,1.3333333333333333
249,cnslpb,37,0.3333333333333333
250,cognitivo,32,1.0
251,colegioalphaunis,25,2.4545454545454546
252,colegioalphaunis,26,2.125
253,colegioalphaunis,27,1.2
254,colegioalphaunis,33,2.4
255,colegioalphaunis,34,1.1428571428571428
256,colegioanchietai,33,0.75
257,colegioanchietai,34,1.5
258,colegioanchietaii,33,0.6
259,colegioanchietaii,34,1.5
260,colegioarena,25,1.0
261,colegioarena,31,0.5
262,colegioarena,32,1.125
263,colegioarena,33,3.3333333333333335
264,colegioarena,34,2.6666666666666665
265,colegioarena,35,1.125
266,colegioarena,36,4.0
267,colegioarena,37,3.0
268,colegiobatistaindependente,25,5.0
269,colegiobatistaindependente,26,2.95
270,colegiobatistaindependente,27,2.5
271,colegiobatistaindependente,28,1.1428571428571428
272,colegiobatistaindependente,32,1.0
273,colegiobatistaindependente,33,2.1666666666666665
274,colegiobatistaindependente,34,4.769230769230769
275,colegiobatistaindependente,35,1.0
276,colegiobatistaindependente,36,1.0
277,colegiobatistaindependente,37,1.5
278,colegiobetelbrasileirosp,25,1.0
279,colegiobetelbrasileirosp,31,1.0
280,colegiobetelbrasileirosp,32,3.727272727272727
281,colegiobetelbrasileirosp,33,1.588235294117647
282,colegiobetelbrasileirosp,34,1.5714285714285714
283,colegiobetelbrasileirosp,35,1.0
284,colegiobianguloiv,33,0.2727272727272727
285,colegiobianguloiv,34,0.6666666666666666
286,colegiobilac,29,1.3333333333333333
287,colegiobilac,30,4.0
288,colegiobilac,31,2.0
289,colegiobilac,32,1.2
290,colegiobilac,33,1.25
291,colegiobilac,34,2.4285714285714284
292,colegiobilac,35,2.1666666666666665
293,colegiobilac,36,3.9
294,colegiobilac,37,2.6666666666666665
295,colegiobrasilia,25,1.2142857142857142
296,colegiobrasilia,26,0.6
297,colegiobrasilia,27,0.3333333333333333
298,colegiobrasilia,30,0.2857142857142857
299,colegiobrasilia,31,1.7222222222222223
300,colegiobrasilia,32,1.7708333333333333
301,colegiobrasilia,33,2.142857142857143
302,colegiobrasilia,34,2.037037037037037
303,colegiobrasilia,35,1.8085106382978724
304,colegiobrasilia,36,1.2195121951219512
305,colegiobrasilia,37,1.15625
306,colegiocb,25,1.0
307,colegiocb,26,1.0
308,colegiocb,27,0.5
309,colegiocb,30,0.6666666666666666
310,colegiocb,31,1.15
311,colegiocb,32,1.375
312,colegiocb,33,0.6666666666666666
313,colegiocb,34,2.8
314,colegiocb,35,2.9375
315,colegiocb,36,1.6
316,colegiocb,37,1.0
317,colegiocognos,33,0.5
318,colegiodasamericas,25,1.0
319,colegiodasamericas,26,2.8333333333333335
320,colegiodasamericas,27,1.3333333333333333
321,colegiodasamericas,30,1.0
322,colegiodasamericas,31,0.9047619047619048
323,colegiodasamericas,33,1.0
324,colegiodasamericas,34,1.1428571428571428
325,colegiodasamericas,35,3.0
326,colegiodasamericas,36,4.714285714285714
327,colegiodasamericas,37,2.0
328,colegiodompedrosegundo,28,0.5
329,colegioeag,27,1.0
330,colegioeag,30,1.0
331,colegioeag,33,1.0
332,colegioeag,34,1.5
333,colegioeag,35,0.3333333333333333
334,colegioeag,36,1.0
335,colegioeag,37,0.3333333333333333
336,colegioecursodesafio,25,1.9166666666666667
337,colegioecursodesafio,33,1.0
338,colegioecursodesafio,35,2.3846153846153846
339,colegioecursodesafio,36,2.2916666666666665
340,colegioecursodesafio,37,3.1538461538461537
341,colegioecursoprogressao,25,4.461538461538462
342,colegioecursoprogressao,26,1.736842105263158
343,colegioecursoprogressao,27,3.1538461538461537
344,colegioecursoprogressao,28,3.0
345,colegioecursoprogressao,30,1.25
346,colegioecursoprogressao,31,3.769230769230769
347,colegioecursoprogressao,32,6.769230769230769
348,colegioecursoprogressao,33,11.076923076923077
349,colegioecursoprogressao,34,1.4285714285714286
350,colegioecursoprogressao,35,1.0
351,colegioecursoprogressao,36,1.0
352,colegioecursoprogressao,37,1.0
