,namespace,Semana,numero_ex
552,crescercampinas,33,69.73584905660377
590,cursosazambuja,35,69.25
945,physicsbatistacampos,35,69.0909090909091
11,acessoboqueirao,25,68.93333333333334
433,colegiojoaopaulo,34,68.88888888888889
975,physicsumarizal,37,68.66666666666667
818,nucleocriativo,25,68.625
26,acessocampolargo,27,68.25
967,physicsmacapa,36,67.83333333333333
1130,santamariacn,29,67.5
360,colegioeducallis,37,67.33333333333333
500,colegioup,25,66.66666666666667
725,invictus,33,66.14285714285714
912,overzonanorte,33,66.1
954,physicscidadenova,37,66.0
1222,universitariolondrina,31,65.87096774193549
961,physicsconselheirofurtado,36,65.44444444444444
927,physicsalmirantebarroso,25,65.28571428571429
1235,universobarcarena,31,65.22727272727273
636,elitecuritibaemilianoperneta,27,65.0
563,cursoenfase,36,65.0
75,acessopinhais,37,65.0
886,overmossoro,33,64.53333333333333
952,physicscidadenova,35,64.44444444444444
973,physicsumarizal,35,64.41666666666667
545,crb,36,64.4074074074074
340,colegioecursodesafio,37,64.3076923076923
914,overzonanorte,35,63.888888888888886
50,acessofazendariogrande,33,63.72727272727273
467,colegiopremium,36,63.666666666666664
77,acessosantafelicidade,26,63.333333333333336
989,pioxiicolegio,37,63.05263157894737
191,cbpdigital,35,63.0
788,master,27,62.75352112676056
156,brasilcursinhos,28,62.5
431,colegiojoaopaulo,32,62.45
503,colegioup,28,62.3
44,acessofazendariogrande,25,61.55555555555556
347,colegioecursoprogressao,32,61.53846153846154
838,overabelcabral,25,61.5
1085,provaspoliedro,26,61.35
903,overpontanegra,35,61.333333333333336
115,aescobjetivo,32,61.2
101,adrianochan,26,61.0
576,cursoisfera,37,61.0
1000,poliedropv,28,60.75
1004,poliedropv,32,60.75
541,crb,32,60.63809523809524
506,colegioup,35,60.6
502,colegioup,27,60.55555555555556
877,overmarciliofurtado,34,60.5
895,overpontanegra,25,60.46153846153846
1031,portoseguro,35,60.23809523809524
1036,primeirodemaio,32,60.0
1035,primeirodemaio,31,60.0
1005,poliedropv,34,60.0
166,casdinhosjc,31,60.0
1003,poliedropv,31,60.0
1174,souhabilis,35,60.0
1170,souhabilis,31,60.0
1169,souhabilis,30,60.0
1002,poliedropv,30,60.0
1001,poliedropv,29,60.0
999,poliedropv,26,60.0
168,casdinhosjc,35,60.0
958,physicsconselheirofurtado,32,60.0
746,jazzvestibular,37,60.0
949,physicscidadenova,26,60.0
744,jazzvestibular,35,60.0
21,acessoboqueirao,35,59.75
265,colegioarena,35,59.75
931,physicsalmirantebarroso,35,59.27272727272727
0,acessoalmirantetamandare,25,59.125
938,physicsaugustomontenegro,35,58.75
953,physicscidadenova,36,58.7
887,overmossoro,34,58.4375
157,brasilcursinhos,29,58.333333333333336
1078,progressaoig,32,58.333333333333336
274,colegiobatistaindependente,34,57.69230769230769
781,mariliamattoso,33,57.25
739,isem,35,57.0
20,acessoboqueirao,34,56.705882352941174
913,overzonanorte,34,56.529411764705884
774,mariliamattoso,26,56.5
1,acessoalmirantetamandare,26,56.142857142857146
598,deltaeducacional,35,56.0
51,acessofazendariogrande,34,55.81818181818182
782,mariliamattoso,34,55.083333333333336
131,amais,33,55.0
143,apogeustoantonio2,35,55.0
76,acessosantafelicidade,25,54.81818181818182
1230,universobarcarena,26,54.76923076923077
926,physicsalcindocacela,36,54.5
46,acessofazendariogrande,27,54.36363636363637
1097,psantagema,26,54.357142857142854
585,cursosazambuja,29,54.283018867924525
1037,prismapatrocinio,25,54.19047619047619
254,colegioalphaunis,33,54.0
510,conexaosaber,25,54.0
172,casdvest,27,54.0
29,acessocampolargo,32,53.5
71,acessopinhais,32,53.0
414,colegiointegral,28,53.0
1045,prismapatrocinio,34,52.80952380952381
122,amadeus,29,52.666666666666664
31,acessocampolargo,34,52.5
1223,universitariolondrina,32,51.93939393939394
588,cursosazambuja,33,51.44444444444444
167,casdinhosjc,33,51.0
136,apogeustoantonio2,25,51.0
870,overmarciliofurtado,27,51.0
165,casdinhosjc,27,51.0
145,aprovest,27,51.0
1061,progressaodc,25,51.0
87,acessosjpinhais,25,50.833333333333336
1062,progressaodc,26,50.666666666666664
1164,simuladoita,26,50.5
1203,stellamarisxaxim,26,50.5
852,overjoaopessoa,26,50.333333333333336
650,escolaceciliameireles,27,50.25
119,aescobjetivo,36,50.18181818181818
586,cursosazambuja,30,50.142857142857146
424,colegiojoaopaulo,25,50.083333333333336
755,macvest,32,50.0
557,cursinhoeach,25,50.0
757,macvest,36,50.0
942,physicsbatistacampos,26,50.0
741,ismart,37,50.0
507,colegioup,36,50.0
558,cursobase,25,50.0
679,fleming,33,50.0
678,fleming,31,50.0
1025,porto,33,49.43478260869565
570,cursoisfera,31,49.333333333333336
443,colegiomundial,29,49.333333333333336
78,acessosantafelicidade,27,49.285714285714285
639,elitecuritibaemilianoperneta,31,49.0
464,colegiopremium,31,49.0
1047,prismapatrocinio,36,48.94736842105263
378,colegioflamingo,36,48.8
583,cursosazambuja,27,48.666666666666664
118,aescobjetivo,35,48.35294117647059
783,mariliamattoso,35,48.25
907,overzonanorte,26,48.23076923076923
1227,universitariolondrina,36,48.214285714285715
301,colegiobrasilia,33,48.204081632653065
1098,psantagema,30,48.0
847,overabelcabral,34,47.30769230769231
293,colegiobilac,36,47.3
1192,stellamarisjuveve,26,47.04347826086956
320,colegiodasamericas,27,47.0
1066,progressaodc,31,47.0
52,acessofazendariogrande,35,46.857142857142854
339,colegioecursodesafio,36,46.666666666666664
376,colegioflamingo,34,46.5
24,acessocampolargo,25,46.375
564,cursoisfera,25,46.25
34,acessocampolargo,37,45.833333333333336
833,objetivolorena,37,45.77777777777778
998,poliedropv,25,45.75
817,novotempo,37,45.666666666666664
540,crb,31,45.627450980392155
482,colegiosete,35,45.6
120,aescobjetivo,37,45.526315789473685
251,colegioalphaunis,25,45.45454545454545
1044,prismapatrocinio,33,45.31578947368421
425,colegiojoaopaulo,26,45.1578947368421
82,acessosantafelicidade,33,45.142857142857146
1166,souhabilis,25,45.0
560,cursoenfase,25,45.0
577,cursoleopoldo,32,45.0
1172,souhabilis,33,45.0
1168,souhabilis,29,45.0
578,cursoleopoldo,34,45.0
579,cursoleopoldo,36,45.0
987,pioxiicolegio,35,44.92307692307692
988,pioxiicolegio,36,44.833333333333336
287,colegiobilac,30,44.8
1179,spdacruz,32,44.78378378378378
463,colegiopremium,26,44.57142857142857
1077,progressaoig,31,44.5
99,acessosjpinhais,37,44.48
114,aescobjetivo,31,44.47826086956522
481,colegiosete,34,44.411764705882355
6,acessoalmirantetamandare,33,44.25
369,colegioensitec,35,44.0
241,cnslpb,28,44.0
647,equipe,34,44.0
660,escoladinamicaiturama,33,44.0
1226,universitariolondrina,35,43.91111111111111
1202,stellamarisxaxim,25,43.75
2,acessoalmirantetamandare,27,43.666666666666664
932,physicsalmirantebarroso,36,43.55555555555556
543,crb,34,43.42857142857143
995,poliedro,32,43.0
1024,porto,32,42.904761904761905
102,adrianochan,31,42.8955223880597
1220,universitariolondrina,29,42.6
1131,santamariacn,30,42.5
388,colegioglobal,25,42.5
1048,prismapatrocinio,37,42.421052631578945
418,colegiointegral,32,42.388888888888886
415,colegiointegral,29,42.282051282051285
341,colegioecursoprogressao,25,42.15384615384615
902,overpontanegra,34,42.05882352941177
970,physicsumarizal,26,42.0
27,acessocampolargo,30,42.0
1191,stellamarisjuveve,25,41.9
1014,portinari,33,41.78378378378378
793,master,32,41.67619047619048
792,master,31,41.183673469387756
869,overmarciliofurtado,26,41.142857142857146
921,physicsalcindocacela,25,41.0
466,colegiopremium,35,41.0
474,colegioser,34,40.666666666666664
205,ceespacolivre,34,40.666666666666664
593,deltaeducacional,25,40.5
104,adrianochan,33,40.19211822660098
107,adrianochan,36,40.0
753,macvest,26,40.0
16,acessoboqueirao,30,40.0
997,poliedro,35,40.0
994,poliedro,29,40.0
705,institutoeurofarma,37,40.0
169,casdinhosjc,37,40.0
634,elitecuritibaemilianoperneta,25,40.0
1052,profederal,29,40.0
140,apogeustoantonio2,31,40.0
266,colegioarena,36,40.0
54,acessofazendariogrande,37,39.666666666666664
372,colegioflamingo,25,39.5
302,colegiobrasilia,34,39.407407407407405
1210,stellamarisxaxim,35,39.166666666666664
252,colegioalphaunis,26,39.125
1199,stellamarisjuveve,35,38.92857142857143
1228,universitariolondrina,37,38.861111111111114
519,contemporaneocidadeverde,31,38.857142857142854
86,acessosantafelicidade,37,38.666666666666664
83,acessosantafelicidade,34,38.53846153846154
224,ceprimeiromundo,33,38.515151515151516
1063,progressaodc,27,38.333333333333336
974,physicsumarizal,36,38.1
1015,portinari,34,37.926829268292686
501,colegioup,26,37.851851851851855
733,isem,27,37.833333333333336
1237,universobarcarena,35,37.75
784,mariliamattoso,36,37.583333333333336
97,acessosjpinhais,35,37.411764705882355
18,acessoboqueirao,32,37.357142857142854
935,physicsaugustomontenegro,26,37.142857142857146
699,institutocristao,25,37.0
7,acessoalmirantetamandare,34,36.9
846,overabelcabral,33,36.86363636363637
1043,prismapatrocinio,32,36.8421052631579
537,crb,25,36.666666666666664
773,mariliamattoso,25,36.666666666666664
591,cursosazambuja,37,36.666666666666664
89,acessosjpinhais,27,36.42424242424242
3,acessoalmirantetamandare,30,36.333333333333336
821,nucleocriativo,35,36.2
10,acessoalmirantetamandare,37,36.2
1020,porto,26,36.18181818181818
828,objetivolorena,32,36.1764705882353
402,colegioiguatemy,25,36.0
573,cursoisfera,34,36.0
296,colegiobrasilia,26,36.0
830,objetivolorena,34,35.76
1196,stellamarisjuveve,32,35.6
129,amadeus,36,35.59090909090909
410,colegioiguatemy,36,35.583333333333336
527,contemporaneolagoanova,32,35.46666666666667
839,overabelcabral,26,35.45
417,colegiointegral,31,35.351351351351354
84,acessosantafelicidade,35,35.333333333333336
567,cursoisfera,28,35.333333333333336
763,maplebearslz,25,35.2
1056,profederal,33,35.142857142857146
526,contemporaneolagoanova,31,35.0
654,escolaceciliameireles,32,35.0
574,cursoisfera,35,35.0
1133,santamariacn,32,35.0
230,ciadosaber,30,35.0
423,colegiointegral,37,34.97222222222222
980,pioxi,36,34.921052631578945
624,educandarioterciocorreia,33,34.857142857142854
375,colegioflamingo,33,34.833333333333336
985,pioxiicolegio,33,34.6
786,master,25,34.37864077669903
984,pioxiicolegio,32,34.3
499,colegiouniverso,33,34.125
1109,qescola,30,34.05555555555556
223,ceprimeiromundo,32,34.0
802,minhalista,32,34.0
420,colegiointegral,34,33.925
127,amadeus,34,33.37931034482759
421,colegiointegral,35,33.361111111111114
836,oficinadoestudante,26,33.333333333333336
263,colegioarena,33,33.333333333333336
693,implantacao,26,33.0
354,colegioeducallis,31,33.0
299,colegiobrasilia,31,32.888888888888886
212,cem,33,32.81818181818182
1090,provaspoliedro,32,32.77173913043478
700,institutocristao,26,32.5
946,physicsbatistacampos,36,32.5
571,cursoisfera,32,32.42857142857143
407,colegioiguatemy,33,32.30769230769231
326,colegiodasamericas,36,32.285714285714285
1241,villalobos,26,32.27272727272727
32,acessocampolargo,35,32.166666666666664
1026,porto,34,32.16
795,master,34,32.13513513513514
1186,stellamarisaguaverde,26,32.111111111111114
357,colegioeducallis,34,32.03846153846154
96,acessosjpinhais,34,32.0
939,physicsaugustomontenegro,36,32.0
88,acessosjpinhais,26,31.7
735,isem,30,31.666666666666668
901,overpontanegra,33,31.642857142857142
269,colegiobatistaindependente,26,31.55
876,overmarciliofurtado,33,31.545454545454547
123,amadeus,30,31.5
358,colegioeducallis,35,31.435897435897434
382,colegiofuturageracao,31,31.333333333333332
300,colegiobrasilia,32,31.229166666666668
225,ceprimeiromundo,34,31.208333333333332
798,master,37,31.030837004405285
450,colegionovopatio,36,31.0
703,institutoeurofarma,32,31.0
1180,spdacruz,33,30.795454545454547
483,colegiosete,36,30.75
551,crescercampinas,32,30.74074074074074
589,cursosazambuja,34,30.555555555555557
203,ceespacolivre,32,30.5
1028,porto,36,30.470588235294116
314,colegiocb,35,30.25
780,mariliamattoso,32,30.25
1019,porto,25,30.137931034482758
520,contemporaneocidadeverde,32,30.076923076923077
