,namespace,Semana,numero_ex
801,minhalista,25,16.0
516,contemporaneo,31,16.0
413,colegiointegral,27,15.909090909090908
190,cbpdigital,34,15.5
479,colegiosete,32,15.454545454545455
874,overmarciliofurtado,31,15.454545454545455
477,colegiosete,30,15.428571428571429
1080,progressaoig,34,15.411764705882353
910,overzonanorte,31,15.4
204,ceespacolivre,33,15.333333333333334
772,maplebearslz,37,15.238095238095237
1009,portinari,28,15.205882352941176
1027,porto,35,15.2
889,overmossoro,36,15.0
791,master,30,15.0
569,cursoisfera,30,15.0
280,colegiobetelbrasileirosp,32,15.0
568,cursoisfera,29,15.0
1165,sobral,29,15.0
404,colegioiguatemy,27,15.0
645,eluneonline,26,15.0
652,escolaceciliameireles,30,15.0
623,educandarioterciocorreia,32,15.0
387,colegiofuturageracao,37,15.0
701,institutocristao,32,15.0
193,ceabb,26,15.0
332,colegioeag,34,15.0
653,escolaceciliameireles,31,15.0
1072,progressaoig,25,15.0
820,nucleocriativo,34,15.0
491,colegiouirapuru,33,14.842105263157896
860,overlimaesilva,26,14.833333333333334
1101,psantagema,34,14.7
1064,progressaodc,28,14.666666666666666
494,colegiouirapuru,36,14.666666666666666
554,crescercampinas,35,14.518518518518519
113,aescobjetivo,30,14.466666666666667
1040,prismapatrocinio,28,14.4375
394,colegioglobal,35,14.428571428571429
201,ceespacolivre,27,14.4
490,colegiouirapuru,32,14.375
863,overlimaesilva,33,14.285714285714286
766,maplebearslz,31,14.064516129032258
290,colegiobilac,33,14.0
595,deltaeducacional,32,14.0
286,colegiobilac,29,14.0
616,eccos,35,14.0
390,colegioglobal,30,14.0
338,colegioecursodesafio,35,14.0
447,colegionovageracao,36,14.0
408,colegioiguatemy,34,14.0
9,acessoalmirantetamandare,36,13.857142857142858
762,magister,33,13.857142857142858
349,colegioecursoprogressao,34,13.803571428571429
1011,portinari,30,13.647058823529411
845,overabelcabral,32,13.636363636363637
171,casdvest,26,13.6
111,aescobjetivo,28,13.5
722,invictus,27,13.4
853,overjoaopessoa,32,13.333333333333334
866,overlimaesilva,36,13.333333333333334
1143,santoamerico,30,13.307692307692308
457,colegioplanck,33,13.268292682926829
662,escolamaster,25,13.2
454,colegioplanck,30,13.125
210,cem,31,13.11111111111111
1132,santamariacn,31,13.0
1053,profederal,30,13.0
811,murilorocha,32,13.0
311,colegiocb,32,13.0
461,colegioplanck,37,12.88888888888889
675,faculdadeflamingo,34,12.8
289,colegiobilac,32,12.8
1039,prismapatrocinio,27,12.75
57,acessohauer,27,12.75
55,acessohauer,25,12.75
327,colegiodasamericas,37,12.666666666666666
720,invictus,25,12.5
656,escolaceciliameireles,35,12.5
760,magister,30,12.4
244,cnslpb,32,12.4
321,colegiodasamericas,30,12.38888888888889
618,eccos,37,12.333333333333334
514,conexaosaber,35,12.272727272727273
771,maplebearslz,36,12.076923076923077
401,colegioguilhermedealmeida,35,12.0
1069,progressaodc,34,12.0
617,eccos,36,12.0
147,arlindocavalcanti,25,12.0
1033,prevest,32,12.0
176,casdvest,32,12.0
222,ceprimeiromundo,31,12.0
476,colegiosete,29,12.0
800,meta,37,12.0
715,integradaeducativa,31,11.833333333333334
112,aescobjetivo,29,11.666666666666666
200,ceespacolivre,26,11.6
322,colegiodasamericas,31,11.523809523809524
60,acessohauer,32,11.5
1116,qescola,37,11.5
676,faculdadeflamingo,35,11.454545454545455
367,colegioensitec,33,11.333333333333334
249,cnslpb,37,11.333333333333334
1029,porto,37,11.266666666666667
243,cnslpb,31,11.166666666666666
1187,stellamarisaguaverde,33,11.153846153846153
216,ceprimeiromundo,25,11.142857142857142
544,crb,35,11.0
177,casdvest,33,11.0
56,acessohauer,26,11.0
195,ceabb,31,11.0
1145,santoamerico,32,10.96875
977,pioxi,26,10.964285714285714
1246,villalobos,33,10.857142857142858
513,conexaosaber,34,10.857142857142858
770,maplebearslz,35,10.833333333333334
978,pioxi,34,10.833333333333334
94,acessosjpinhais,32,10.827586206896552
368,colegioensitec,34,10.714285714285714
736,isem,31,10.666666666666666
240,cnslpb,26,10.666666666666666
359,colegioeducallis,36,10.666666666666666
1042,prismapatrocinio,31,10.666666666666666
1070,progressaodc,35,10.666666666666666
732,isem,26,10.666666666666666
365,colegioensitec,31,10.625
614,eccos,33,10.625
1190,stellamarisaguaverde,37,10.615384615384615
724,invictus,32,10.571428571428571
379,colegioflamingo,37,10.4
36,acessocampolargokids,26,10.4
312,colegiocb,33,10.333333333333334
779,mariliamattoso,31,10.285714285714286
271,colegiobatistaindependente,28,10.285714285714286
615,eccos,34,10.214285714285714
1096,psantagema,25,10.166666666666666
900,overpontanegra,32,10.142857142857142
1245,villalobos,32,10.117647058823529
1247,villalobos,34,10.1
785,mariliamattoso,37,10.1
1087,provaspoliedro,28,10.066666666666666
714,integradaeducativa,30,10.066666666666666
1188,stellamarisaguaverde,34,10.0
298,colegiobrasilia,30,10.0
1006,poliedrotreinamento,34,10.0
272,colegiobatistaindependente,32,10.0
308,colegiocb,27,10.0
14,acessoboqueirao,28,10.0
331,colegioeag,33,10.0
956,physicsconselheirofurtado,26,10.0
40,acessocampolargokids,33,10.0
1195,stellamarisjuveve,31,10.0
260,colegioarena,25,10.0
943,physicsbatistacampos,32,10.0
412,colegiointegral,26,10.0
884,overmossoro,31,10.0
1122,sagradafamilia,33,10.0
883,overmossoro,30,10.0
1231,universobarcarena,27,10.0
1232,universobarcarena,28,10.0
689,gerabixo,33,10.0
704,institutoeurofarma,36,10.0
1233,universobarcarena,29,10.0
862,overlimaesilva,32,10.0
861,overlimaesilva,31,10.0
859,overlimaesilva,25,10.0
381,colegiofuturageracao,26,10.0
712,integradaeducativa,27,10.0
827,objetivolorena,31,10.0
747,joaobelem,25,10.0
398,colegioguilhermedealmeida,32,10.0
749,liessinbarra,25,10.0
805,monsenhorgoncalo,37,10.0
429,colegiojoaopaulo,30,10.0
370,colegioensitec,36,10.0
472,colegiosantamaria,34,10.0
475,colegiosete,25,10.0
580,cursoprogressao,32,10.0
206,ceespacolivre,35,10.0
549,crescercampinas,30,10.0
928,physicsalmirantebarroso,26,10.0
531,contemporaneolagoanova,37,10.0
530,contemporaneolagoanova,36,10.0
525,contemporaneolagoanova,30,10.0
524,contemporaneocidadeverde,37,10.0
523,contemporaneocidadeverde,36,10.0
511,conexaosaber,26,10.0
163,camerinocursos,29,10.0
1151,santoantonio,27,10.0
1075,progressaoig,28,10.0
492,colegiouirapuru,34,10.0
486,colegiouirapuru,25,10.0
1136,santamariacn,35,10.0
1076,progressaoig,30,10.0
485,colegioshalomoficial,37,10.0
664,escolamaster,31,10.0
428,colegiojoaopaulo,29,10.0
1177,spdacruz,26,9.909090909090908
247,cnslpb,35,9.875
765,maplebearslz,30,9.818181818181818
1108,qescola,29,9.8
871,overmarciliofurtado,28,9.75
38,acessocampolargokids,31,9.714285714285714
1182,spdacruz,35,9.714285714285714
37,acessocampolargokids,27,9.714285714285714
672,faculdadeflamingo,31,9.666666666666666
897,overpontanegra,28,9.666666666666666
248,cnslpb,36,9.666666666666666
726,invictus,34,9.625
93,acessosjpinhais,31,9.6
350,colegioecursoprogressao,35,9.55
1094,provaspoliedro,36,9.53125
277,colegiobatistaindependente,37,9.5
316,colegiocb,37,9.5
310,colegiocb,31,9.45
39,acessocampolargokids,32,9.428571428571429
213,cem,34,9.4
610,eccos,25,9.363636363636363
777,mariliamattoso,29,9.333333333333334
1115,qescola,36,9.3
352,colegioecursoprogressao,37,9.25
462,colegiopremium,25,9.0
215,cem,36,9.0
677,faculdadeflamingo,36,9.0
329,colegioeag,27,9.0
803,moaciralves,33,9.0
539,crb,29,9.0
245,cnslpb,33,9.0
1081,progressaoig,35,9.0
1238,universobarcarena,37,9.0
1114,qescola,35,9.0
737,isem,32,9.0
61,acessohauer,33,8.833333333333334
43,acessocampolargokids,37,8.8
460,colegioplanck,36,8.789473684210526
59,acessohauer,31,8.75
399,colegioguilhermedealmeida,33,8.714285714285714
41,acessocampolargokids,34,8.666666666666666
622,educandarioterciocorreia,31,8.666666666666666
279,colegiobetelbrasileirosp,31,8.666666666666666
345,colegioecursoprogressao,30,8.5
743,itamarati,34,8.5
333,colegioeag,35,8.5
307,colegiocb,26,8.5
711,integradaeducativa,26,8.5
1178,spdacruz,31,8.470588235294118
542,crb,33,8.461538461538462
550,crescercampinas,31,8.409090909090908
309,colegiocb,30,8.333333333333334
220,ceprimeiromundo,29,8.333333333333334
214,cem,35,8.333333333333334
493,colegiouirapuru,35,8.333333333333334
377,colegioflamingo,35,8.333333333333334
612,eccos,31,8.2
4,acessoalmirantetamandare,31,8.181818181818182
1181,spdacruz,34,8.181818181818182
976,pioxi,25,8.166666666666666
1149,santoamerico,36,8.133333333333333
553,crescercampinas,34,8.133333333333333
48,acessofazendariogrande,31,8.1
80,acessosantafelicidade,31,8.083333333333334
1248,villalobos,35,8.071428571428571
1153,sas,29,8.0
1158,sasadapt,25,8.0
1134,santamariacn,33,8.0
1252,wilsondeandradebarreto,35,8.0
592,dante,33,8.0
150,bertelsmann,28,8.0
843,overabelcabral,30,8.0
318,colegiodasamericas,25,8.0
170,casdvest,25,8.0
702,institutocristao,34,8.0
334,colegioeag,36,8.0
189,cbpdigital,33,8.0
917,pauloviana,31,8.0
192,cbpdigital,36,8.0
920,pesenglish,35,8.0
742,itamarati,25,8.0
63,acessohauer,35,8.0
62,acessohauer,34,8.0
35,acessocampolargokids,25,8.0
734,isem,28,8.0
209,cem,25,8.0
1110,qescola,31,7.875
611,eccos,26,7.8
239,cnslpb,25,7.714285714285714
1184,spdacruz,37,7.6875
898,overpontanegra,29,7.666666666666667
842,overabelcabral,29,7.666666666666667
281,colegiobetelbrasileirosp,33,7.647058823529412
566,cursoisfera,27,7.6
1139,santoamerico,25,7.555555555555555
17,acessoboqueirao,31,7.416666666666667
1102,psantagema,35,7.333333333333333
982,pioxiicolegio,30,7.25
872,overmarciliofurtado,29,7.25
1183,spdacruz,36,7.125
822,nucleocriativo,36,7.0
174,casdvest,30,7.0
606,eacorcovado,32,7.0
337,colegioecursodesafio,33,7.0
1138,santamariacn,37,7.0
440,colegiomodelo,32,7.0
28,acessocampolargo,31,7.0
278,colegiobetelbrasileirosp,25,6.869565217391305
512,conexaosaber,33,6.857142857142857
275,colegiobatistaindependente,35,6.8
674,faculdadeflamingo,33,6.666666666666667
695,insa,33,6.666666666666667
231,ciadosaber,31,6.666666666666667
873,overmarciliofurtado,30,6.666666666666667
282,colegiobetelbrasileirosp,34,6.642857142857143
411,colegioiguatemy,37,6.5
306,colegiocb,25,6.5
813,murilorocha,37,6.5
323,colegiodasamericas,33,6.428571428571429
324,colegiodasamericas,34,6.428571428571429
1242,villalobos,27,6.4
1111,qescola,32,6.333333333333333
1065,progressaodc,30,6.333333333333333
1137,santamariacn,36,6.333333333333333
330,colegioeag,30,6.25
673,faculdadeflamingo,32,6.25
740,isem,36,6.2
646,eluneonline,27,6.0
918,pearson,31,6.0
70,acessopinhais,31,6.0
487,colegiouirapuru,26,6.0
488,colegiouirapuru,29,6.0
1021,porto,27,6.0
283,colegiobetelbrasileirosp,35,6.0
152,bertelsmann,35,6.0
276,colegiobatistaindependente,36,6.0
1219,universitariolondrina,28,6.0
713,integradaeducativa,29,6.0
716,integradaeducativa,32,6.0
738,isem,34,6.0
400,colegioguilhermedealmeida,34,6.0
489,colegiouirapuru,31,5.833333333333333
1103,psantagema,36,5.777777777777778
717,integradaeducativa,33,5.714285714285714
1250,villalobos,37,5.6
718,integradaeducativa,34,5.538461538461538
227,ceprimeiromundo,36,5.5
663,escolamaster,26,5.5
236,ciadosaber,37,5.285714285714286
361,colegioensitec,25,5.142857142857143
1244,villalobos,31,5.076923076923077
108,adrianochan,37,5.0
133,amaisteste,28,5.0
134,amaisteste,33,5.0
148,beityaacov,32,5.0
149,beityaacov,33,5.0
182,cats,34,5.0
1049,profederal,25,5.0
235,ciadosaber,36,5.0
1051,profederal,27,5.0
548,crescercampinas,26,5.0
1118,rede,35,5.0
1135,santamariacn,34,5.0
651,escolaceciliameireles,28,5.0
669,esperanza,34,5.0
809,mundialfranciscobeltrao,36,5.0
750,litteratus,33,5.0
680,forumcultural,37,5.0
909,overzonanorte,30,5.0
719,integradaeducativa,35,5.0
1147,santoamerico,34,5.0
1022,porto,28,5.0
684,galois,28,5.0
1146,santoamerico,33,5.0
619,educamais,33,5.0
826,objetivolorena,26,4.882352941176471
627,educandarioterciocorreia,37,4.666666666666667
1107,qescola,28,4.526315789473684
1041,prismapatrocinio,30,4.4
983,pioxiicolegio,31,4.285714285714286
1200,stellamarisjuveve,36,4.0
1206,stellamarisxaxim,31,4.0
1071,progressaodc,36,4.0
162,calculo2,37,4.0
158,brasilcursinhos,30,4.0
151,bertelsmann,31,4.0
1152,sas,25,4.0
1032,positivoon,28,4.0
1150,santoamerico,37,4.0
441,colegiomodelo,35,4.0
444,colegionobre,30,4.0
630,eduqo,32,4.0
608,eacorcovado,35,4.0
535,cparaiso,32,4.0
351,colegioecursoprogressao,36,3.6666666666666665
694,implantacao,37,3.4
1127,santamariacn,26,3.2
237,cmdpii,33,3.0
996,poliedro,33,3.0
228,charlesdarwin,27,3.0
121,alfacembilingue,25,3.0
438,colegiomodelo,29,3.0
536,cparaiso,34,3.0
469,colegioradar,33,3.0
15,acessoboqueirao,29,3.0
153,bertelsmann,37,3.0
814,navegasas,27,3.0
812,murilorocha,35,3.0
250,cognitivo,32,3.0
834,objetivoteresina,28,3.0
648,escola,34,3.0
661,escoladofuturo,36,3.0
1120,saea,33,3.0
1121,saea,35,3.0
90,acessosjpinhais,28,3.0
992,poliedro,25,3.0
106,adrianochan,35,3.0
993,poliedro,27,3.0
683,fundacaobradesco,29,3.0
1112,qescola,33,2.6
1106,qescola,27,2.6
666,escolamaster,36,2.3333333333333335
1104,qescola,25,2.2
470,colegioriobranco,27,2.0
799,meta,30,2.0
1215,testevictorhugo,37,2.0
317,colegiocognos,33,2.0
1212,studos,30,2.0
468,colegioprogresso,28,2.0
471,colegiosantamaria,33,2.0
607,eacorcovado,33,2.0
1239,universos,37,2.0
1082,progressaoig,36,1.6666666666666667
919,pesenglish,34,1.0
146,arena,37,1.0
1083,progressaoig,37,1.0
100,adrianochan,25,1.0
1023,porto,31,1.0
1236,universobarcarena,34,1.0
258,colegioanchietaii,33,1.0
810,murilorocha,31,1.0
179,castelobruxo,30,1.0
609,eacorcovado,37,1.0
534,cotemig,37,1.0
533,coopermundi,37,1.0
532,coopermundi,36,1.0
508,colegioup,37,1.0
504,colegioup,31,1.0
453,colegioplanck,29,1.0
445,colegionobre,34,1.0
439,colegiomodelo,30,1.0
633,einsteinassis,35,1.0
335,colegioeag,37,1.0
1129,santamariacn,28,1.0
1124,santadoroteia,33,1.0
284,colegiobianguloiv,33,1.0
1117,qescola.qmagico.com.br,25,1.0
256,colegioanchietai,33,1.0
730,iracemarufino,31,1.0
197,cecbdf,33,1.0
804,moaciralves,34,1.0
626,educandarioterciocorreia,35,1.0
