,namespace,Semana,Tempo médio entre publicação e ínicio de AA
538,crb,24,12 days 21:28:25.592674133
539,crb,25,4 days 19:00:32.361553106
540,crb,26,1 days 09:04:19.144935185
541,crb,29,6 days 01:37:24.127927
542,crb,31,11 days 05:25:24.933400545
543,crb,32,14 days 23:58:11.389231198
544,crb,33,2 days 21:42:54.653758857
545,crb,34,2 days 17:23:30.607941931
546,crb,35,0 days 06:29:32.122598090
547,crescercampinas,23,3 days 01:00:03.224519833
548,crescercampinas,24,0 days 16:48:34.715027866
549,crescercampinas,25,1 days 00:37:12.120292625
550,crescercampinas,26,0 days 00:02:30.141857
551,crescercampinas,30,8 days 12:23:34.596297
552,crescercampinas,31,1 days 21:49:50.826690866
553,crescercampinas,32,5 days 09:56:58.780400612
554,crescercampinas,33,1 days 15:08:35.634550759
555,crescercampinas,34,0 days 14:44:01.176255500
556,crescercampinas,35,0 days 00:32:53.498823444
557,cursinhoeach,25,0 days 07:18:51.289571
558,cursobase,24,0 days 11:26:10.995638
559,cursobase,25,2 days 11:23:19.060734
560,cursobase,34,4 days 20:42:06.028106
561,cursoenfase,23,1 days 20:33:50.936132
562,cursoenfase,24,0 days 02:09:26.597665
563,cursoenfase,25,0 days 20:25:20.203382
564,cursoenfase,33,2 days 00:18:03.149787
565,cursoenfase,34,1 days 22:42:39.660646
566,cursoisfera,23,1 days 06:34:46.523945625
567,cursoisfera,24,1 days 03:04:39.854969
568,cursoisfera,25,3 days 03:23:52.473432823
569,cursoisfera,26,1 days 23:21:42.928533200
570,cursoisfera,27,1 days 18:55:09.260493600
571,cursoisfera,28,0 days 07:57:14.742164800
572,cursoisfera,29,2 days 05:46:05.888978
573,cursoisfera,30,2 days 09:28:43.026715
574,cursoisfera,31,1 days 00:14:10.782889777
575,cursoisfera,32,0 days 21:26:29.077130
576,cursoisfera,33,1 days 00:08:08.597513153
577,cursoisfera,34,1 days 15:41:27.839412900
578,cursoleopoldo,32,0 days 22:30:53.405913
579,cursoleopoldo,34,0 days 11:41:29.506379
580,cursoprogressao,32,0 days 00:01:38.445883
581,cursosazambuja,23,6 days 21:19:38.918108500
582,cursosazambuja,24,7 days 18:45:46.455423
583,cursosazambuja,25,2 days 22:39:18.913472666
584,cursosazambuja,26,0 days 08:03:30.403386
585,cursosazambuja,27,0 days 11:38:32.395938500
586,cursosazambuja,28,3 days 21:07:22.442296500
587,cursosazambuja,29,1 days 18:47:35.817635454
588,cursosazambuja,30,1 days 19:35:51.680032500
589,cursosazambuja,31,0 days 00:01:33.160098
590,cursosazambuja,33,4 days 06:16:40.523249200
591,cursosazambuja,34,0 days 11:04:09.982872
592,cursosazambuja,35,0 days 16:38:16.954635333
593,dante,33,0 days 00:00:36.883197
594,deltaeducacional,23,0 days 14:39:51.607496250
595,deltaeducacional,24,0 days 19:41:29.590003200
596,deltaeducacional,25,1 days 01:27:01.123556250
597,deltaeducacional,26,0 days 17:48:38.538808900
598,deltaeducacional,32,0 days 11:21:19.575684500
599,deltaeducacional,33,1 days 00:01:15.681031
600,deltaeducacional,34,1 days 19:21:13.321196600
601,deltaeducacional,35,0 days 04:49:45.380962200
602,dommga,25,4 days 13:30:46.085988750
603,domus,23,1 days 20:32:32.152386
604,domus,33,1 days 02:56:01.354519
605,domus,34,1 days 22:41:51.598296
606,eacorcovado,23,3 days 01:03:27.404802200
607,eacorcovado,24,1 days 07:43:47.899901833
608,eacorcovado,25,1 days 16:10:06.963167333
609,eacorcovado,31,2 days 19:29:51.641928
610,eacorcovado,32,0 days 15:50:32.929571
611,eacorcovado,33,2 days 04:05:30.867700
612,eacorcovado,35,-1 days +23:57:30.470645
613,eccos,24,3 days 19:15:44.336271833
614,eccos,25,1 days 08:52:11.237325615
615,eccos,26,1 days 12:49:33.008653
616,eccos,31,3 days 14:42:01.463422
617,eccos,32,3 days 03:43:47.014417937
618,eccos,33,0 days 19:42:53.186773555
619,eccos,34,1 days 19:24:15.979119782
620,eccos,35,0 days 11:08:25.211558666
621,educamais,24,0 days 16:10:47.589593
622,educamais,33,3 days 11:04:23.796811
623,educandarioterciocorreia,23,0 days 12:51:24.799844666
624,educandarioterciocorreia,24,0 days 19:16:54.294372035
625,educandarioterciocorreia,25,2 days 01:16:00.175616062
626,educandarioterciocorreia,26,0 days 14:03:46.746470
627,educandarioterciocorreia,31,0 days 15:00:45.300858333
628,educandarioterciocorreia,32,11 days 15:46:25.778843333
629,educandarioterciocorreia,33,0 days 16:44:11.029387521
630,educandarioterciocorreia,34,0 days 14:10:35.541296050
631,educandarioterciocorreia,35,0 days 00:43:28.604429
632,educarse,32,1 days 17:38:21.177967
633,educarse,33,1 days 04:30:37.660394
634,eduqo,32,0 days 00:03:46.860193
635,einsteinassis,23,2 days 07:43:04.694919258
636,einsteinassis,24,0 days 23:07:15.350323500
637,einsteinassis,25,0 days 13:18:30.188382227
638,einsteinassis,32,9 days 10:57:49.156854250
639,einsteinassis,35,0 days 00:02:31.696531
640,elitecuritiba,23,1 days 19:56:27.143229
641,elitecuritibaemilianoperneta,23,2 days 19:36:30.114762666
642,elitecuritibaemilianoperneta,24,5 days 11:11:26.798523555
643,elitecuritibaemilianoperneta,25,4 days 12:45:08.575248875
644,elitecuritibaemilianoperneta,26,1 days 23:18:48.854583428
645,elitecuritibaemilianoperneta,27,2 days 23:37:41.842121
646,elitecuritibaemilianoperneta,29,5 days 03:59:27.483502
647,elitecuritibaemilianoperneta,30,0 days 01:29:17.494129666
648,elitecuritibaemilianoperneta,31,0 days 05:03:01.945654
649,elitecuritibaemilianoperneta,32,2 days 03:54:31.272755750
650,elitecuritibaemilianoperneta,33,1 days 01:31:28.240165
651,elitecuritibaemilianoperneta,34,2 days 15:53:32.759785833
652,eluneonline,26,-1 days +23:58:41.937334
653,eluneonline,27,0 days 00:02:45.586399
654,equipe,34,-1 days +23:58:55.106812
655,escola,34,0 days 00:00:12.129114
656,escolaceciliameireles,23,0 days 19:31:38.114961500
657,escolaceciliameireles,24,0 days 00:03:24.075758
658,escolaceciliameireles,26,6 days 10:30:03.729788833
659,escolaceciliameireles,27,2 days 14:11:47.076590230
660,escolaceciliameireles,28,6 days 02:22:39.587426
661,escolaceciliameireles,30,4 days 01:58:43.275500
662,escolaceciliameireles,31,2 days 02:42:37.027079333
663,escolaceciliameireles,32,3 days 07:28:50.958539888
664,escolaceciliameireles,33,1 days 14:55:54.285306
665,escolaceciliameireles,35,0 days 02:02:15.924502
666,escoladeimpacto,28,0 days 14:48:18.253636500
667,escolajardimdasnacoes,24,0 days 00:27:58.226797500
668,escolamaster,23,2 days 17:36:18.888661444
669,escolamaster,24,2 days 01:57:56.045115
670,escolamaster,25,0 days 04:04:37.273391714
671,escolamaster,26,0 days 00:03:05.134630666
672,escolamaster,31,0 days 15:22:40.018435
673,escolamaster,33,0 days 15:27:32.034639
674,esperanza,34,0 days 00:01:56.085156
675,estantemagica,27,-1 days +23:59:19.480294
676,faculdadeflamingo,30,0 days 00:01:01.987059500
677,faculdadeflamingo,31,7 days 00:44:35.685124333
678,faculdadeflamingo,32,1 days 00:10:38.079811250
679,faculdadeflamingo,33,2 days 21:47:57.156233666
680,faculdadeflamingo,34,3 days 21:02:05.972800
681,faculdadeflamingo,35,0 days 12:03:06.205130666
682,fleming,31,0 days 00:03:13.777662
683,fleming,33,0 days 00:00:40.308653
684,francobrasileiro,28,0 days 00:21:30.175768
685,francobrasileiro,30,0 days 00:11:20.810857333
686,fundacaobradesco,29,-1 days +23:59:15.082807
687,galois,28,0 days 00:00:36.527135
688,garra,23,-1 days +23:48:52.071173
689,garra,24,0 days 06:42:20.169582500
690,garra,30,0 days 10:32:20.749172500
691,garra,31,0 days 14:06:29.243029
692,gerabixo,24,0 days 00:01:58.385859
693,gerabixo,33,0 days 22:53:24.611728
694,idaam,23,1 days 01:42:18.636392500
695,idaam,33,1 days 02:50:30.008391
696,idaam,34,0 days 23:19:55.191700500
697,implantacao,26,0 days 18:05:59.809212
698,insa,34,4 days 21:02:37.666188500
699,institutoauxiliadoradf,34,-1 days +23:56:56.450497445
700,institutocristao,23,1 days 21:59:01.674101400
701,institutocristao,24,1 days 02:01:01.652276425
702,institutocristao,25,0 days 15:23:44.047664142
703,institutocristao,26,0 days 06:05:59.389920
704,institutocristao,32,0 days 00:00:36.932352
705,institutocristao,34,1 days 08:34:08.103895500
706,institutoeurofarma,32,0 days 04:18:52.720088
707,institutosaojose,33,0 days 11:01:54.921307750
708,institutosaojose,34,-1 days +23:56:10.791501
709,integra,23,6 days 03:39:32.251727400
710,integra,24,8 days 12:48:45.896683600
711,integra,25,6 days 06:21:08.326688500
712,integra,34,5 days 03:52:35.399362777
713,integradaeducativa,23,1 days 08:59:36.277259025
714,integradaeducativa,24,2 days 05:30:28.311953371
715,integradaeducativa,25,2 days 00:27:52.266591463
716,integradaeducativa,26,0 days 10:27:17.847173666
717,integradaeducativa,27,27 days 19:03:13.776691500
718,integradaeducativa,29,12 days 09:07:53.437639333
719,integradaeducativa,30,1 days 19:57:19.883973111
720,integradaeducativa,31,0 days 00:07:42.432598555
721,integradaeducativa,32,0 days 08:26:34.547845375
722,integradaeducativa,33,0 days 06:55:00.994127906
723,integradaeducativa,34,0 days 18:20:46.839630214
724,integradaeducativa,35,0 days 01:13:46.485773
725,invictus,23,0 days 17:58:33.182385
726,invictus,24,2 days 07:32:31.826661
727,invictus,25,0 days 09:50:01.952980400
728,invictus,26,0 days 17:31:26.784474250
729,invictus,27,0 days 21:17:02.592265100
730,invictus,28,1 days 00:22:35.319241214
731,invictus,32,0 days 14:21:36.949233
732,invictus,33,0 days 13:54:50.464679368
733,invictus,34,1 days 09:00:49.942309428
734,invictus,35,0 days 14:14:04.349380
735,iracemarufino,31,0 days 00:01:40.250139
736,isem,23,2 days 02:43:22.318958
737,isem,24,0 days 21:00:17.932056600
738,isem,25,0 days 14:03:03.006838941
739,isem,26,5 days 19:40:45.387475444
740,isem,27,7 days 02:40:13.317515595
741,isem,28,1 days 21:16:08.712796583
742,isem,30,10 days 09:01:23.257759904
743,isem,31,3 days 22:01:17.082020666
744,isem,32,1 days 12:46:18.836839
745,itamarati,25,0 days 18:36:24.878048500
746,itamarati,34,0 days 10:58:08.202729
747,jardimsaopaulo,23,0 days 20:57:49.038860333
748,jardimsaopaulo,24,0 days 13:50:36.229237
749,jazzvestibular,35,0 days 00:29:23.562648
750,joaobelem,25,1 days 07:00:09.851319
751,lasalleaguasclaras,34,-1 days +23:57:11.932951778
752,liessinbarra,25,0 days 07:14:32.877180
753,litteratus,33,1 days 00:01:29.128659
754,macvest,23,0 days 04:45:42.158609500
755,macvest,26,0 days 06:37:54.277074
756,macvest,27,0 days 07:28:39.959112
757,macvest,32,0 days 14:42:26.777063
758,macvest,33,0 days 08:15:09.441175
759,magister,24,0 days 00:01:32.215494500
760,magister,25,1 days 21:08:13.048535
761,magister,29,0 days 06:43:23.590099666
762,magister,30,11 days 18:45:14.423406166
763,magister,32,4 days 12:31:37.085695769
764,magister,33,1 days 00:46:26.628179428
765,maplebearslz,23,1 days 04:26:27.195677653
766,maplebearslz,24,1 days 02:20:48.178952090
767,maplebearslz,25,1 days 14:50:08.650848521
768,maplebearslz,26,1 days 02:42:52.642712750
769,maplebearslz,30,2 days 15:46:48.025116777
770,maplebearslz,31,1 days 07:21:57.741234615
771,maplebearslz,32,0 days 16:22:30.415046200
772,maplebearslz,33,0 days 14:11:04.275509979
773,maplebearslz,34,0 days 23:56:59.017598630
774,maplebearslz,35,0 days 05:36:23.909038333
775,mariliamattoso,23,2 days 03:50:27.853608416
776,mariliamattoso,24,1 days 17:54:40.520232555
777,mariliamattoso,25,1 days 21:34:05.788923269
778,mariliamattoso,26,1 days 04:12:00.301266
779,mariliamattoso,27,0 days 13:34:31.846172
780,mariliamattoso,28,11 days 08:00:55.750286600
781,mariliamattoso,29,8 days 11:24:45.646199714
782,mariliamattoso,30,2 days 08:38:11.509041304
783,mariliamattoso,31,1 days 11:59:43.596062428
784,mariliamattoso,32,5 days 11:45:25.038147181
785,mariliamattoso,33,2 days 19:06:50.733572129
786,mariliamattoso,34,1 days 20:07:56.329898037
787,mariliamattoso,35,1 days 04:14:19.597729300
788,master,23,4 days 01:08:50.436964785
789,master,24,3 days 02:10:53.791344813
790,master,25,2 days 23:16:17.858606981
791,master,26,2 days 05:33:17.279044103
792,master,27,6 days 08:34:53.586272870
793,master,28,5 days 00:56:32.253235636
794,master,29,7 days 20:40:54.625595333
795,master,31,4 days 17:57:17.373589509
796,master,32,4 days 07:44:56.492433772
797,master,33,3 days 18:07:47.294923250
798,master,34,1 days 15:17:22.667004714
799,master,35,1 days 09:33:18.434508461
800,meta,30,0 days 00:01:22.373888
801,minhalista,24,0 days 00:01:27.075128750
802,minhalista,25,-1 days +23:59:20.648053400
803,minhalista,32,0 days 00:00:43.501605500
804,moaciralves,33,0 days 09:33:20.848180
805,moaciralves,34,0 days 19:13:14.770481
806,montessori,23,1 days 01:32:36.129373
807,montessori,33,1 days 02:45:48.276773
808,montessori,34,1 days 22:34:23.886153
809,murilorocha,31,0 days 05:11:25.525411
810,murilorocha,32,0 days 12:12:46.514371
811,murilorocha,35,-1 days +23:56:47.214720
812,navegasas,27,0 days 00:03:55.196909
813,novotempo,23,1 days 01:30:56.928541
814,novotempo,24,0 days 00:02:42.589468
815,novotempo,33,1 days 02:42:07.932291
816,novotempo,34,1 days 22:32:57.209019
817,nucleocriativo,23,1 days 22:00:38.589680976
818,nucleocriativo,24,1 days 11:21:19.663095458
819,nucleocriativo,25,0 days 15:53:01.977305870
820,nucleocriativo,32,8 days 09:51:52.624975
821,nucleocriativo,34,0 days 23:08:29.877132105
822,nucleocriativo,35,0 days 09:03:22.474481048
823,nucleopva,28,14 days 15:50:20.183023
824,objetivolorena,23,2 days 02:13:00.914738554
825,objetivolorena,24,1 days 01:14:17.292906305
826,objetivolorena,25,1 days 23:58:59.892753928
827,objetivolorena,26,1 days 08:55:55.367134163
828,objetivolorena,31,4 days 23:03:02.109622
829,objetivolorena,32,5 days 23:24:18.609284907
830,objetivolorena,33,3 days 15:28:06.877913406
831,objetivolorena,34,2 days 13:29:20.250224603
832,objetivolorena,35,0 days 22:49:09.184937433
833,objetivoteresina,24,-1 days +23:57:43.906372
834,objetivoteresina,28,0 days 00:01:15.621606
835,oficinadoestudante,23,5 days 01:54:39.985859076
836,oficinadoestudante,24,1 days 23:36:06.549440
837,oficinadoestudante,25,0 days 16:09:09.442887
838,oficinadoestudante,26,5 days 00:04:32.885129250
839,osequim,34,0 days 08:23:41.930912333
840,overabelcabral,23,3 days 23:04:32.312141461
841,overabelcabral,24,2 days 12:39:21.726347623
842,overabelcabral,25,1 days 20:07:35.774331099
843,overabelcabral,26,1 days 05:38:34.181985200
844,overabelcabral,27,5 days 16:52:28.906695
845,overabelcabral,28,36 days 11:50:35.160862666
846,overabelcabral,29,34 days 06:54:00.365956333
847,overabelcabral,30,4 days 20:06:55.803740250
848,overabelcabral,31,5 days 00:02:53.148074913
849,overabelcabral,32,1 days 20:57:28.347722727
850,overabelcabral,33,2 days 00:35:11.150227638
851,overabelcabral,34,1 days 20:39:31.962650220
852,overabelcabral,35,0 days 18:06:02.857638050
853,overjoaopessoa,23,1 days 03:36:30.178351
854,overjoaopessoa,24,4 days 05:59:11.471931538
855,overjoaopessoa,25,2 days 05:41:32.822170578
856,overjoaopessoa,26,0 days 21:11:08.575297562
857,overjoaopessoa,32,0 days 18:00:44.382758833
858,overjoaopessoa,33,1 days 23:22:43.428835833
859,overjoaopessoa,34,1 days 13:38:22.659000
860,overjoaopessoa,35,0 days 11:19:48.192901
861,overlimaesilva,23,1 days 02:56:42.929127666
862,overlimaesilva,24,0 days 12:41:22.294799
863,overlimaesilva,25,0 days 01:58:52.308536200
864,overlimaesilva,26,0 days 07:49:41.136715250
865,overlimaesilva,31,0 days 08:20:25.010438
866,overlimaesilva,32,0 days 05:04:17.280534
867,overlimaesilva,33,3 days 17:55:44.599305300
868,overlimaesilva,34,0 days 16:25:35.546263391
869,overlimaesilva,35,0 days 10:53:16.258892285
870,overmarciliofurtado,23,5 days 21:00:48.483408900
871,overmarciliofurtado,24,3 days 12:53:04.280627102
872,overmarciliofurtado,25,2 days 08:19:12.130286701
873,overmarciliofurtado,26,1 days 05:26:27.981023709
874,overmarciliofurtado,27,2 days 02:03:20.021643705
875,overmarciliofurtado,28,36 days 09:43:26.133487333
876,overmarciliofurtado,29,34 days 05:18:35.182571666
877,overmarciliofurtado,30,6 days 05:41:19.290529666
878,overmarciliofurtado,31,3 days 11:09:11.999948157
879,overmarciliofurtado,32,2 days 07:07:28.056317294
880,overmarciliofurtado,33,1 days 21:55:57.688713243
881,overmarciliofurtado,34,2 days 12:48:29.745903937
882,overmarciliofurtado,35,0 days 21:41:52.104033500
883,overmossoro,23,4 days 17:14:37.700294888
884,overmossoro,24,2 days 04:15:42.427047153
885,overmossoro,25,0 days 20:24:09.135715944
886,overmossoro,26,0 days 16:33:53.631400410
887,overmossoro,30,4 days 06:59:38.592412
888,overmossoro,31,0 days 23:43:54.395095
889,overmossoro,32,1 days 15:21:48.131904900
890,overmossoro,33,2 days 20:56:41.214294333
891,overmossoro,34,1 days 10:48:08.009431071
892,overmossoro,35,0 days 22:45:27.667153538
893,overnascimentodecastro,23,1 days 00:49:30.345877
894,overnascimentodecastro,25,1 days 06:17:36.931481
895,overnascimentodecastro,27,0 days 00:01:59.587671
896,overnascimentodecastro,33,1 days 02:27:59.504080
897,overnascimentodecastro,34,1 days 22:15:38.610431
898,overpontanegra,23,3 days 00:44:57.093423243
899,overpontanegra,24,3 days 09:35:05.810731777
900,overpontanegra,25,2 days 00:42:43.705865784
901,overpontanegra,26,1 days 01:14:38.358454117
902,overpontanegra,28,36 days 10:10:37.709093333
903,overpontanegra,29,34 days 06:12:19.585265333
904,overpontanegra,31,5 days 00:57:29.842848366
905,overpontanegra,32,3 days 04:02:25.048736125
906,overpontanegra,33,3 days 04:20:05.867310260
907,overpontanegra,34,1 days 13:42:07.108702305
908,overpontanegra,35,0 days 20:04:58.173538904
909,overzonanorte,23,4 days 07:24:23.734874541
910,overzonanorte,24,3 days 21:51:03.249478328
911,overzonanorte,25,1 days 11:56:01.888228430
912,overzonanorte,26,1 days 01:00:58.955246229
913,overzonanorte,27,-1 days +23:58:06.904629
914,overzonanorte,30,5 days 19:51:45.721561500
915,overzonanorte,31,2 days 18:13:04.891248
916,overzonanorte,32,4 days 16:26:40.051949846
917,overzonanorte,33,4 days 08:32:31.472355384
918,overzonanorte,34,1 days 05:19:59.867118833
919,overzonanorte,35,0 days 17:21:39.128646222
920,pauloviana,31,7 days 20:56:06.387878
921,pearson,31,-1 days +23:59:04.160353
922,pesenglish,34,0 days 00:00:33.915790
923,physicsalcindocacela,23,7 days 17:35:58.053042400
924,physicsalcindocacela,24,1 days 02:50:45.550362
925,physicsalcindocacela,25,2 days 12:49:00.157833757
926,physicsalcindocacela,27,0 days 02:57:32.140542
927,physicsalcindocacela,33,0 days 15:56:38.277601500
928,physicsalcindocacela,34,0 days 19:02:09.330402666
929,physicsalmirantebarroso,23,0 days 19:33:32.291983636
930,physicsalmirantebarroso,24,5 days 11:15:21.573532461
931,physicsalmirantebarroso,25,4 days 14:34:49.403738389
932,physicsalmirantebarroso,26,1 days 13:48:20.341565
933,physicsalmirantebarroso,33,0 days 09:37:02.218262400
934,physicsalmirantebarroso,34,1 days 21:56:26.914179
935,physicsaugustomontenegro,23,1 days 07:38:27.595710529
936,physicsaugustomontenegro,24,7 days 15:19:28.367941888
937,physicsaugustomontenegro,25,4 days 18:07:22.349723
938,physicsaugustomontenegro,26,0 days 22:46:11.814376538
939,physicsaugustomontenegro,33,0 days 09:47:23.305052
940,physicsaugustomontenegro,34,1 days 22:02:34.851009
941,physicsbatistacampos,23,2 days 03:52:53.986455111
942,physicsbatistacampos,24,1 days 01:58:31.922698166
943,physicsbatistacampos,25,5 days 10:57:00.273010615
944,physicsbatistacampos,26,0 days 22:49:04.341318100
945,physicsbatistacampos,32,3 days 00:24:58.983484
946,physicsbatistacampos,33,0 days 08:44:26.714715750
947,physicscidadenova,23,1 days 11:15:08.642407692
948,physicscidadenova,24,1 days 20:33:42.838444833
949,physicscidadenova,25,4 days 16:03:49.842744326
950,physicscidadenova,26,1 days 00:12:20.534337800
951,physicscidadenova,33,0 days 09:43:38.011511400
952,physicscidadenova,34,1 days 18:50:16.459518
953,physicsconselheirofurtado,23,1 days 00:25:11.883851555
954,physicsconselheirofurtado,25,4 days 06:48:52.998452625
955,physicsconselheirofurtado,26,0 days 06:51:40.107580500
956,physicsconselheirofurtado,31,0 days 07:08:17.691927
957,physicsconselheirofurtado,32,0 days 12:21:38.487022
958,physicsconselheirofurtado,33,1 days 02:14:03.588677
959,physicsconselheirofurtado,34,1 days 21:53:28.484252
960,physicsmacapa,23,1 days 04:22:14.907642
961,physicsmacapa,25,4 days 09:19:10.121843519
962,physicsmacapa,33,0 days 09:40:39.257366800
963,physicsmacapa,34,1 days 21:52:12.579607
964,physicsumarizal,23,1 days 05:06:19.953369538
965,physicsumarizal,24,2 days 21:21:43.773925960
966,physicsumarizal,25,4 days 12:40:42.625715672
967,physicsumarizal,26,0 days 21:22:48.397333095
968,physicsumarizal,33,0 days 09:35:10.248617800
969,physicsumarizal,34,1 days 21:46:23.659128
970,pioxi,23,3 days 12:47:32.436621446
971,pioxi,24,2 days 18:20:52.513085513
972,pioxi,25,1 days 18:05:37.082953333
973,pioxi,26,0 days 16:16:31.497310583
974,pioxi,34,0 days 16:13:44.831757750
975,pioxi,35,0 days 15:22:06.680349500
976,pioxiicolegio,23,2 days 04:08:36.903181200
977,pioxiicolegio,30,3 days 16:47:52.010382600
978,pioxiicolegio,31,5 days 02:59:48.826161
979,pioxiicolegio,32,2 days 07:17:18.666767687
980,pioxiicolegio,33,1 days 15:52:05.483958
981,pioxiicolegio,34,2 days 01:55:44.040503250
982,pioxiicolegio,35,0 days 14:20:26.607436
983,plannetaosasco,27,4 days 18:15:58.242572
984,plannetataboao,28,14 days 16:54:17.843338109
985,poliedro,24,4 days 01:04:37.015202333
986,poliedro,25,1 days 17:19:46.024705
987,poliedro,27,13 days 20:23:23.912251
988,poliedro,29,2 days 14:30:19.814533
989,poliedro,32,0 days 07:44:59.166804750
990,poliedro,33,12 days 21:48:53.898841
991,poliedro,35,1 days 15:27:36.879235250
992,poliedropv,23,1 days 23:55:28.432013
993,poliedropv,24,1 days 02:28:12.721714250
994,poliedropv,25,0 days 13:01:29.538764500
995,poliedropv,26,1 days 08:29:18.525013
996,poliedropv,28,1 days 23:18:10.493812666
997,poliedropv,29,1 days 23:47:08.780909
998,poliedropv,30,1 days 06:07:25.186095
999,poliedropv,31,2 days 00:10:16.318765
1000,poliedropv,32,0 days 15:30:22.634921666
1001,poliedropv,34,1 days 00:00:33.533217
1002,poliedrotreinamento,34,0 days 00:02:22.565116
1003,portinari,23,1 days 14:44:18.878785
1004,portinari,24,1 days 18:49:21.161056800
1005,portinari,26,19 days 06:50:37.427613900
1006,portinari,27,3 days 15:03:03.444936400
1007,portinari,28,2 days 15:47:05.058709529
1008,portinari,29,4 days 19:39:15.370680470
1009,portinari,30,2 days 21:59:40.449261117
1010,portinari,31,2 days 13:20:19.131559800
1011,portinari,32,2 days 00:29:53.311417666
1012,portinari,33,2 days 21:13:43.031474555
1013,portinari,34,1 days 18:46:30.568365750
1014,portinari,35,1 days 12:24:36.704628857
1015,porto,23,2 days 19:17:43.320807588
1016,porto,24,3 days 14:42:29.527647750
1017,porto,25,1 days 04:22:55.450440309
1018,porto,26,0 days 19:06:33.405527363
1019,porto,27,0 days 00:00:41.683333
1020,porto,28,1 days 00:27:58.391708
1021,porto,31,-1 days +23:58:27.187366
1022,porto,32,2 days 07:05:53.021857105
1023,porto,33,1 days 21:10:40.681119297
1024,porto,34,1 days 21:48:52.835600266
1025,porto,35,0 days 09:53:42.954554578
1026,portoseguro,34,-1 days +23:55:05.709101
1027,portoseguro,35,0 days 14:25:48.560302
1028,positivoon,28,0 days 00:00:46.474698
1029,prevest,32,0 days 00:00:07.012195
1030,prevest,34,1 days 00:34:07.217267
1031,primeirodemaio,31,0 days 00:24:31.892623
1032,primeirodemaio,32,0 days 00:04:05.721938
1033,prismapatrocinio,23,3 days 20:34:02.979803414
1034,prismapatrocinio,24,4 days 14:28:46.290252327
1035,prismapatrocinio,25,3 days 00:09:36.907934333
1036,prismapatrocinio,26,3 days 09:49:15.683718485
1037,prismapatrocinio,27,3 days 00:43:02.972883380
1038,prismapatrocinio,28,1 days 00:26:45.817005562
1039,prismapatrocinio,30,1 days 00:01:28.953175500
1040,prismapatrocinio,31,8 days 22:51:02.295376500
1041,prismapatrocinio,32,5 days 16:15:33.175370781
1042,prismapatrocinio,33,3 days 09:33:47.462797200
1043,prismapatrocinio,34,2 days 22:12:57.688646232
1044,prismapatrocinio,35,1 days 17:22:31.620845333
1045,profederal,23,1 days 11:57:10.439968833
1046,profederal,24,2 days 21:36:32.551297
1047,profederal,25,2 days 23:22:46.083344
1048,profederal,26,2 days 04:59:24.586266250
1049,profederal,27,1 days 22:27:50.819075666
1050,profederal,29,7 days 03:49:29.264431
1051,profederal,30,5 days 07:45:14.851231
1052,profederal,31,0 days 20:40:12.995550416
1053,profederal,32,1 days 14:18:32.566922363
1054,profederal,33,1 days 03:01:06.087150937
1055,profederal,34,1 days 03:56:22.530478066
1056,profederal,35,1 days 04:29:46.349167166
1057,progressaodc,23,1 days 22:56:43.174483346
1058,progressaodc,24,2 days 00:09:33.452517833
1059,progressaodc,25,3 days 16:33:55.131451250
1060,progressaodc,26,9 days 02:16:21.546617
1061,progressaodc,27,16 days 09:19:16.727337181
1062,progressaodc,28,0 days 07:58:30.790701800
1063,progressaodc,30,12 days 11:28:43.048843333
1064,progressaodc,31,3 days 08:08:57.524259555
1065,progressaodc,32,3 days 20:35:03.141416500
1066,progressaodc,33,6 days 01:36:51.183190935
1067,progressaodc,34,3 days 02:26:35.526568666
1068,progressaodc,35,0 days 22:13:25.801206812
1069,progressaoig,23,5 days 20:43:26.193543133
1070,progressaoig,24,1 days 19:33:03.625867600
1071,progressaoig,25,5 days 06:06:06.741068111
1072,progressaoig,26,1 days 17:51:29.115894545
1073,progressaoig,27,3 days 08:25:40.832524615
1074,progressaoig,28,1 days 04:00:32.670863666
1075,progressaoig,30,8 days 23:14:55.716974
1076,progressaoig,31,3 days 18:04:14.516162769
1077,progressaoig,32,4 days 12:06:31.289868400
1078,progressaoig,33,4 days 01:32:16.201790666
1079,progressaoig,34,2 days 11:33:42.916042736
1080,progressaoig,35,0 days 20:09:25.149208500
1081,provaspoliedro,23,2 days 21:26:59.217119040
1082,provaspoliedro,24,2 days 06:38:42.912794440
1083,provaspoliedro,25,7 days 09:27:37.694430509
1084,provaspoliedro,26,18 days 14:01:54.081309722
1085,provaspoliedro,27,2 days 09:51:51.999527230
1086,provaspoliedro,28,5 days 08:34:02.666032500
1087,provaspoliedro,30,2 days 11:23:17.499778093
1088,provaspoliedro,31,2 days 12:26:23.522701313
1089,provaspoliedro,32,1 days 04:54:47.558044512
1090,provaspoliedro,33,1 days 04:53:05.316360819
1091,provaspoliedro,34,1 days 07:23:34.804922422
1092,provaspoliedro,35,1 days 00:47:36.611981666
1093,psantagema,23,13 days 16:12:43.759703250
1094,psantagema,24,5 days 02:47:34.394985882
1095,psantagema,25,4 days 06:40:54.205298769
1096,psantagema,26,1 days 08:54:05.975412500
1097,psantagema,30,0 days 00:03:11.829486333
1098,psantagema,32,6 days 11:27:39.537381642
1099,psantagema,33,1 days 23:32:40.732222096
1100,psantagema,34,0 days 16:28:40.276171
1101,psantagema,35,0 days 13:40:10.589956666
