,namespace,Semana,Porcentagem de engajamento em AAs
421,colegiointegral,36,0.947148288973384
190,cbpdigital,35,0.9469081823860087
974,pioxiicolegio,30,0.9463692453725676
126,amadeus,33,0.9463055912221314
252,colegioalphaunis,27,0.9461936437546193
972,pioxi,36,0.9456306178690087
303,colegiobrasilia,36,0.9452535416390838
717,invictus,26,0.9444655762647395
282,colegiobetelbrasileirosp,35,0.9444444444444444
368,colegioensitec,35,0.9444169960474308
189,cbpdigital,34,0.9443742098609356
546,crescercampinas,25,0.9438162956055485
1059,progressaodc,33,0.9434984520123839
347,colegioecursoprogressao,33,0.9423076923076923
834,overabelcabral,29,0.9422694094226941
506,colegioup,36,0.9422110552763819
936,physicsbatistacampos,33,0.9412165745019316
1111,sagradafamilia,33,0.9411764705882353
505,colegioup,35,0.9409425093407255
1001,portinari,28,0.9400453839722919
973,pioxi,37,0.9384401845669055
446,colegionovageracao,36,0.9375
1183,stellamarisjuveve,32,0.9370529327610873
903,overzonanorte,32,0.9366197183098591
394,colegioglobal,36,0.9357499457347515
320,colegiodasamericas,30,0.9345156889495225
840,overabelcabral,35,0.9344549499443826
835,overabelcabral,30,0.9343065693430657
977,pioxiicolegio,33,0.9342012941451625
279,colegiobetelbrasileirosp,32,0.9333528208126279
391,colegioglobal,33,0.9330021077988557
1088,psantagema,26,0.9318071115440818
459,colegioplanck,36,0.9314285714285714
37,acessocampolargokids,27,0.9311531841652324
36,acessocampolargokids,26,0.9307692307692308
971,pioxi,35,0.927536231884058
200,ceespacolivre,27,0.9262899262899262
624,educandarioterciocorreia,34,0.9260385005065856
305,colegiocb,25,0.9255014326647565
1000,portinari,27,0.924552896397101
292,colegiobilac,36,0.9230514535461227
837,overabelcabral,32,0.9228971962616822
1128,santoamerico,25,0.9226804123711341
729,isem,27,0.9221704576596328
476,colegiosete,30,0.9215792320173066
325,colegiodasamericas,36,0.9213992352358022
293,colegiobilac,37,0.9197292069632496
276,colegiobatistaindependente,37,0.9196428571428571
315,colegiocb,37,0.9190871369294605
526,contemporaneolagoanova,32,0.9185372005044136
210,cem,32,0.9180977542932629
958,physicsmacapa,35,0.9180887372013652
202,ceespacolivre,32,0.9180327868852459
211,cem,33,0.9179177545691906
75,acessopinhais,37,0.9177718832891246
145,aprovest,27,0.9176470588235294
203,ceespacolivre,33,0.9166029074215761
130,amadeus,37,0.9159186763274576
56,acessohauer,26,0.9157088122605364
71,acessopinhais,32,0.9153354632587859
1198,stellamarisxaxim,37,0.9143730886850153
720,invictus,32,0.9140989729225023
530,contemporaneolagoanova,37,0.9140893470790378
324,colegiodasamericas,35,0.9140511830033801
340,colegioecursoprogressao,25,0.9136733716475096
311,colegiocb,33,0.9136253041362531
859,overlimaesilva,37,0.9123376623376623
1118,santamariacn,28,0.9122807017543859
1058,progressaodc,32,0.9121856329025984
906,overzonanorte,35,0.9121236777868186
728,isem,26,0.9120932491500728
836,overabelcabral,31,0.9116227255848496
40,acessocampolargokids,33,0.9113712374581939
341,colegioecursoprogressao,26,0.9101613093135523
730,isem,28,0.9100274725274725
643,elitecuritibaemilianoperneta,37,0.9099378881987578
864,overmarciliofurtado,29,0.9095528455284553
1002,portinari,29,0.9082142605757725
342,colegioecursoprogressao,27,0.9081504702194357
418,colegiointegral,33,0.9081453985151982
810,novotempo,37,0.9080585280628958
866,overmarciliofurtado,31,0.9076396807297605
524,contemporaneolagoanova,30,0.9072847682119205
1165,spdacruz,31,0.906441717791411
1092,psantagema,35,0.9064327485380117
610,eccos,26,0.9037328094302554
870,overmarciliofurtado,35,0.9036688247989013
478,colegiosete,32,0.9025440313111546
15,acessoboqueirao,29,0.9024390243902439
346,colegioecursoprogressao,32,0.9023050369325564
488,colegiouirapuru,31,0.9019823788546255
876,overmossoro,31,0.9010989010989011
480,colegiosete,34,0.9006566241792198
344,colegioecursoprogressao,30,0.9001766784452296
625,educandarioterciocorreia,35,0.9
1115,santamariacn,25,0.8996752075063154
479,colegiosete,33,0.8996562097120756
389,colegioglobal,30,0.8990228013029316
399,colegioguilhermedealmeida,34,0.8987566607460036
417,colegiointegral,32,0.8985223353063918
330,colegioeag,33,0.896551724137931
475,colegiosete,29,0.8958333333333334
727,isem,25,0.8953261062733251
937,physicsbatistacampos,35,0.8950858034321373
944,physicscidadenova,35,0.8948863636363636
718,invictus,27,0.8939597315436242
867,overmarciliofurtado,32,0.893569844789357
477,colegiosete,31,0.8933908045977011
1139,santoamerico,37,0.8931297709923665
281,colegiobetelbrasileirosp,34,0.8923469387755102
525,contemporaneolagoanova,31,0.8906347424865944
621,educandarioterciocorreia,31,0.8904109589041096
304,colegiobrasilia,37,0.8899164487531093
845,overjoaopessoa,32,0.8888888888888888
191,cbpdigital,36,0.8888888888888888
604,eacorcovado,31,0.8888888888888888
1054,progressaodc,27,0.8877906976744186
769,mariliamattoso,27,0.887546468401487
113,aescobjetivo,30,0.8869778869778869
921,physicsalmirantebarroso,33,0.8861450590063417
923,physicsalmirantebarroso,35,0.8858002187386074
499,colegioup,25,0.8807201800450113
738,itamarati,25,0.88
1230,villalobos,30,0.88
841,overabelcabral,36,0.8775775288196136
963,physicsumarizal,33,0.8769960282078301
842,overabelcabral,37,0.876410998552822
877,overmossoro,32,0.875
1071,progressaoig,34,0.8743872549019608
545,crb,37,0.8737727910238429
81,acessosantafelicidade,32,0.8735851052575901
38,acessocampolargokids,31,0.8730434782608696
1020,porto,36,0.8729955782856534
1003,portinari,30,0.8727727605565048
762,maplebearslz,33,0.8726937269372693
1008,portinari,35,0.8726744186046511
763,maplebearslz,34,0.8724137931034482
1023,portoseguro,35,0.8709761994931103
86,acessosantafelicidade,37,0.8696460670675014
529,contemporaneolagoanova,36,0.8694158075601375
965,physicsumarizal,35,0.8691900075700227
280,colegiobetelbrasileirosp,33,0.8686167575607338
485,colegiouirapuru,25,0.865546218487395
1004,portinari,31,0.8649241244013617
