,namespace,grade,Porcentagem de visualização de relatórios de AA
268,cmdpii,em 1a serie,0.0
269,cmdpii,em 2a serie,0.0
270,cnslpb,ef 6o ano,0.3568627450980392
271,cnslpb,ef 7o ano,0.13432835820895522
272,cnslpb,ef 8o ano,0.3161290322580645
273,cnslpb,ef 9o ano,0.173109243697479
274,cnslpb,em 1a serie,0.22916666666666666
275,cnslpb,em 2a serie,0.16228070175438597
276,cnslpb,em 3a serie,0.11731493099121706
277,cognita,em 1a serie,0.0
278,cognitivo,em 1a serie,0.0
279,colcardealarcoverde,em 1a serie,0.0
280,colcognicao,em 1a serie,0.0
281,colegio15,em 1a serie,0.0
282,colegioagnes,em 1a serie,0.0
283,colegioalbertsabin,em 1a serie,0.0
284,colegioalphaunis,ef 6o ano,0.8084795321637427
285,colegioalphaunis,ef 7o ano,0.7346938775510204
286,colegioalphaunis,ef 8o ano,0.8881118881118881
287,colegioalphaunis,ef 9o ano,0.8777777777777778
288,colegioalphaunis,em 1a serie,0.14807692307692308
289,colegioalphaunis,em 2a serie,0.10079575596816977
290,colegioalphaunis,em 3a serie,0.1138996138996139
291,colegioanchietai,em 1a serie,0.0
292,colegioanchietai,em 2a serie,0.0
293,colegioanchietai,em 3a serie,0.0
294,colegioanchietaii,em 1a serie,0.13333333333333333
295,colegioanchietaii,em 2a serie,0.0
296,colegioanchietaii,em 3a serie,0.0
297,colegioarena,ef 6o ano,0.0
298,colegioarena,em 1a serie,0.5154333201424615
299,colegioarena,em 2a serie,0.4670781893004115
300,colegioarena,em 3a serie,0.25418196654426767
301,colegioarena,outro,0.11619718309859155
302,colegiobatistaindependente,ef 5o ano,0.45454545454545453
303,colegiobatistaindependente,ef 6o ano,0.7534883720930232
304,colegiobatistaindependente,ef 7o ano,0.7268518518518519
305,colegiobatistaindependente,ef 8o ano,0.6831683168316832
306,colegiobatistaindependente,ef 9o ano,0.7955390334572491
307,colegiobatistaindependente,em 1a serie,0.6956521739130435
308,colegiobatistaindependente,em 2a serie,0.575
309,colegiobatistaindependente,em 3a serie,0.5894988066825776
310,colegiobatistaindependente,outro,0.6666666666666666
311,colegiobetelbrasileirosp,ef 6o ano,0.8191489361702128
312,colegiobetelbrasileirosp,ef 7o ano,0.7538461538461538
313,colegiobetelbrasileirosp,ef 8o ano,0.7971014492753623
314,colegiobetelbrasileirosp,ef 9o ano,0.760655737704918
315,colegiobetelbrasileirosp,em 1a serie,0.7866666666666666
316,colegiobetelbrasileirosp,em 2a serie,0.7641921397379913
317,colegiobetelbrasileirosp,em 3a serie,0.7073170731707317
318,colegiobianguloiv,em 1a serie,0.0
319,colegiobianguloiv,em 2a serie,0.03333333333333333
320,colegiobianguloiv,em 3a serie,0.0
321,colegiobilac,ef 1o ano,0.06111111111111111
322,colegiobilac,ef 2o ano,0.06481481481481481
323,colegiobilac,ef 3o ano,0.12549019607843137
324,colegiobilac,ef 4o ano,0.09752321981424149
325,colegiobilac,ef 5o ano,0.07341269841269842
326,colegiobilac,ef 6o ano,0.30175077239958803
327,colegiobilac,ef 7o ano,0.17316017316017315
328,colegiobilac,ef 8o ano,0.34054834054834054
329,colegiobilac,ef 9o ano,0.2288329519450801
330,colegiobrasilia,ef 2o ano,0.315136476426799
331,colegiobrasilia,ef 3o ano,0.29208371246587805
332,colegiobrasilia,ef 4o ano,0.42196531791907516
333,colegiobrasilia,ef 5o ano,0.5
334,colegiobrasilia,ef 6o ano,0.3992449268522888
335,colegiobrasilia,ef 7o ano,0.42166344294003866
336,colegiobrasilia,ef 8o ano,0.44680851063829785
337,colegiobrasilia,ef 9o ano,0.33768815677364383
338,colegiobrasilia,em 1a serie,0.40578034682080927
339,colegiobrasilia,em 2a serie,0.43533523991102635
340,colegiobrasilia,em 3a serie,0.4102941176470588
341,colegiobrasilia,outro,0.0
342,colegiocb,ef 3o ano,0.46551724137931033
343,colegiocb,ef 4o ano,0.20253164556962025
344,colegiocb,ef 5o ano,0.24
345,colegiocb,ef 6o ano,0.7958762886597938
346,colegiocb,ef 7o ano,0.7272727272727273
347,colegiocb,ef 8o ano,0.828
348,colegiocb,ef 9o ano,0.7151162790697675
349,colegiocb,em 1a serie,0.5583126550868487
350,colegiocb,em 2a serie,0.6373390557939914
351,colegiocb,em 3a serie,0.5609756097560976
352,colegiocfi,em 1a serie,0.0
353,colegiocognos,em 1a serie,0.0
354,colegiodasamericas,ef 6o ano,0.7154150197628458
355,colegiodasamericas,ef 7o ano,0.8137651821862348
356,colegiodasamericas,ef 8o ano,0.7299270072992701
357,colegiodasamericas,ef 9o ano,0.6459459459459459
358,colegiodasamericas,em 1a serie,0.6986301369863014
359,colegiodasamericas,em 2a serie,0.6398305084745762
360,colegiodasamericas,em 3a serie,0.5821917808219178
361,colegiodasamericas,outro,0.6111111111111112
362,colegiodelta,ef 6o ano,0.0
363,colegiodompe,em 1a serie,0.0
364,colegiodosjesuitas,em 1a serie,0.0
365,colegiodourado,em 1a serie,0.0
366,colegioeag,ef 1o ano,0.5989010989010989
367,colegioeag,ef 3o ano,0.47619047619047616
368,colegioeag,ef 4o ano,0.5952380952380952
369,colegioeag,ef 5o ano,0.5
370,colegioeag,ef 6o ano,0.16129032258064516
371,colegioeag,ef 7o ano,0.32098765432098764
372,colegioeag,outro,0.0
373,colegioeccos,em 1a serie,0.0
374,colegioecursodesafio,ef 1o ano,0.01904761904761905
375,colegioecursodesafio,ef 2o ano,0.013953488372093023
376,colegioecursodesafio,ef 3o ano,0.14903846153846154
377,colegioecursodesafio,ef 4o ano,0.10649350649350649
378,colegioecursodesafio,ef 5o ano,0.10040160642570281
379,colegioecursodesafio,ef 6o ano,0.6428571428571429
380,colegioecursodesafio,ef 7o ano,0.6825396825396826
381,colegioecursodesafio,ef 8o ano,0.627906976744186
382,colegioecursodesafio,ef 9o ano,0.5851703406813628
383,colegioecursodesafio,em 1a serie,0.19140989729225025
384,colegioecursodesafio,em 2a serie,0.10701754385964912
385,colegioecursodesafio,em 3a serie,0.150354609929078
386,colegioecursodesafio,outro,0.0
387,colegioecursoover,em 1a serie,0.0
388,colegioecursoprogressao,ef 1o ano,0.0
389,colegioecursoprogressao,ef 6o ano,0.8121387283236994
390,colegioecursoprogressao,ef 7o ano,0.8483221476510067
391,colegioecursoprogressao,ef 8o ano,0.8294930875576036
392,colegioecursoprogressao,ef 9o ano,0.800910125142207
393,colegioecursoprogressao,em 1a serie,0.701667154138637
394,colegioecursoprogressao,em 2a serie,0.5297599473857284
395,colegioecursoprogressao,em 3a serie,0.5288461538461539
396,colegioecursoviver,em 1a serie,0.0
397,colegioeducallis,ef 2o ano,0.4793388429752066
398,colegioeducallis,ef 3o ano,0.27611940298507465
399,colegioeducallis,ef 4o ano,0.42934782608695654
400,colegioeducallis,ef 5o ano,0.47126436781609193
401,colegioeducallis,ef 6o ano,0.5983086680761099
402,colegioeducallis,ef 7o ano,0.504950495049505
403,colegioeducallis,ef 8o ano,0.6273712737127372
404,colegioeducallis,ef 9o ano,0.6872536136662286
405,colegioeducallis,em 1a serie,0.7373737373737373
406,colegioeducallis,em 2a serie,0.59
407,colegioeducallis,em 3a serie,0.5094339622641509
408,colegioensitec,ef 2o ano,0.6111111111111112
409,colegioensitec,ef 3o ano,0.3717948717948718
410,colegioensitec,ef 4o ano,0.6329113924050633
411,colegioensitec,ef 5o ano,0.8388888888888889
412,colegioensitec,ef 6o ano,0.7253218884120172
413,colegioensitec,ef 7o ano,0.7337278106508875
414,colegioensitec,ef 8o ano,0.6807511737089202
415,colegioensitec,ef 9o ano,0.6271551724137931
416,colegioensitec,em 1a serie,0.6636155606407322
417,colegioensitec,em 2a serie,0.48642533936651583
418,colegioensitec,em 3a serie,0.648936170212766
419,colegioexatus,em 1a serie,0.0
420,colegioeximius,em 1a serie,0.0
421,colegiofera,em 1a serie,0.0
422,colegioflamingo,ef 3o ano,0.0
423,colegioflamingo,ef 7o ano,0.0
424,colegioflamingo,ef 9o ano,0.0
425,colegioflamingo,em 1a serie,0.4360655737704918
426,colegioflamingo,em 2a serie,0.5088852988691438
427,colegioflamingo,em 3a serie,0.3956043956043956
428,colegioflamingo,outro,0.0
429,colegiofuturageracao,ef 3o ano,0.1388888888888889
430,colegiofuturageracao,ef 4o ano,0.95
431,colegiofuturageracao,ef 5o ano,1.0
432,colegiofuturageracao,ef 6o ano,0.8141025641025641
433,colegiofuturageracao,ef 7o ano,0.65
434,colegiofuturageracao,ef 8o ano,0.4523809523809524
435,colegiofuturageracao,ef 9o ano,0.6666666666666666
436,colegioglobal,ef 2o ano,0.6629213483146067
437,colegioglobal,ef 3o ano,0.6586021505376344
438,colegioglobal,ef 4o ano,0.6142857142857143
439,colegioglobal,ef 5o ano,0.7096774193548387
440,colegioglobal,ef 6o ano,0.7934426229508197
441,colegioglobal,ef 7o ano,0.7947368421052632
442,colegioglobal,ef 8o ano,0.8842592592592593
443,colegioglobal,ef 9o ano,0.6468253968253969
444,colegioglobal,em 1a serie,0.7156862745098039
445,colegioglobal,em 2a serie,0.6282051282051282
446,colegioglobal,em 3a serie,0.5245535714285714
447,colegioguilhermedealmeida,ef 6o ano,0.655
448,colegioguilhermedealmeida,ef 7o ano,0.7012987012987013
449,colegioguilhermedealmeida,ef 8o ano,0.4823008849557522
450,colegioguilhermedealmeida,ef 9o ano,0.47368421052631576
451,colegioguilhermedealmeida,em 1a serie,0.5660377358490566
452,colegioguilhermedealmeida,em 2a serie,0.5517241379310345
453,colegioguilhermedealmeida,em 3a serie,0.09433962264150944
454,colegioiguatemy,ef 3o ano,0.25142857142857145
455,colegioiguatemy,ef 4o ano,0.6180904522613065
456,colegioiguatemy,ef 5o ano,0.6011904761904762
457,colegioiguatemy,ef 6o ano,0.6059322033898306
458,colegioiguatemy,ef 7o ano,0.3953488372093023
459,colegioiguatemy,ef 8o ano,0.6206896551724138
460,colegioiguatemy,ef 9o ano,0.5051282051282051
461,colegioiguatemy,em 1a serie,0.16307277628032346
462,colegioiguatemy,em 2a serie,0.3031609195402299
463,colegioiguatemy,em 3a serie,0.2134387351778656
464,colegiointegral,ef 2o ano,0.7088888888888889
465,colegiointegral,ef 3o ano,0.8066666666666666
466,colegiointegral,ef 4o ano,0.8387096774193549
467,colegiointegral,ef 5o ano,0.8420091324200913
468,colegiointegral,ef 6o ano,0.864561403508772
469,colegiointegral,ef 7o ano,0.9406360424028268
470,colegiointegral,ef 8o ano,0.9772209567198178
471,colegiointegral,ef 9o ano,0.8283450704225352
472,colegiointegral,em 1a serie,0.5436382754994742
473,colegiointegral,em 2a serie,0.5041666666666667
474,colegiointegral,em 3a serie,0.512280701754386
475,colegiointegral,outro,0.7745098039215687
476,colegioitamarati,em 2a serie,0.0
477,colegiojoaopaulo,ef 4o ano,0.25139664804469275
478,colegiojoaopaulo,ef 5o ano,0.3813813813813814
479,colegiojoaopaulo,ef 6o ano,0.38095238095238093
480,colegiojoaopaulo,ef 7o ano,0.5073684210526316
481,colegiojoaopaulo,ef 8o ano,0.5401234567901234
482,colegiojoaopaulo,ef 9o ano,0.48427672955974843
483,colegiojoaopaulo,em 1a serie,0.7581365666879387
484,colegiojoaopaulo,em 2a serie,0.6585365853658537
485,colegiojoaopaulo,em 3a serie,0.6138032305433186
486,colegioliceu,em 1a serie,0.13821138211382114
487,colegioliceu,em 2a serie,0.0
488,colegioliceu,em 3a serie,0.08943089430894309
489,colegiomagnum,em 1a serie,0.07432432432432433
490,colegiomagnum,em 2a serie,0.11202185792349727
491,colegiomagnum,em 3a serie,0.6005586592178771
492,colegiomarilia,em 2a serie,0.0
493,colegiomartinus,em 1a serie,0.0
494,colegiomodelo,em 1a serie,0.0
495,colegiomundial,ef 6o ano,0.48148148148148145
496,colegiomundial,ef 9o ano,0.4
497,colegiomundial,em 1a serie,0.2903225806451613
498,colegiomundial,em 2a serie,0.391304347826087
499,colegiomundial,em 3a serie,0.2608695652173913
500,colegionobre,ef 6o ano,0.0
501,colegionobre,em 1a serie,0.0
502,colegionovageracao,ef 2o ano,0.038461538461538464
503,colegionovageracao,ef 3o ano,0.05
504,colegionovageracao,ef 4o ano,0.45
505,colegionovageracao,ef 5o ano,0.4583333333333333
506,colegionovageracao,ef 8o ano,0.6875
507,colegionovageracao,ef 9o ano,0.05
508,colegionovageracao,em 1a serie,0.125
509,colegionovageracao,em 2a serie,0.5833333333333334
510,colegionovageracao,em 3a serie,0.15384615384615385
511,colegionovopatio,em 1a serie,0.25609756097560976
512,colegiopadreeustaquio,em 1a serie,0.0
513,colegiopassionista,ef 3o ano,0.0
514,colegiopassionista,ef 7o ano,0.0
515,colegiopassionista,ef 9o ano,0.0
516,colegiopassionista,em 1a serie,0.0
517,colegiopassionista,em 2a serie,0.0
518,colegiopassionista,em 3a serie,0.0
519,colegiopassionista,outro,0.0
520,colegiopioxii,ef 6o ano,0.0
521,colegioplanck,ef 6o ano,0.5908163265306122
522,colegioplanck,ef 7o ano,0.5365005793742758
523,colegioplanck,ef 8o ano,0.5696465696465697
524,colegioplanck,ef 9o ano,0.7510121457489879
525,colegioplanck,em 1a serie,0.562111801242236
526,colegioplanck,em 2a serie,0.6825688073394496
527,colegioplanck,em 3a serie,0.2598752598752599
528,colegioplanck,outro,0.1
529,colegiopontualrecife,em 1a serie,0.0
530,colegiopremium,ef 1o ano,0.16923076923076924
531,colegiopremium,ef 2o ano,0.018518518518518517
532,colegiopremium,ef 3o ano,0.1
533,colegiopremium,ef 4o ano,0.2222222222222222
534,colegiopremium,ef 5o ano,0.4
535,colegiopremium,ef 6o ano,0.5833333333333334
536,colegiopremium,ef 7o ano,0.4642857142857143
537,colegiopremium,ef 8o ano,0.48314606741573035
538,colegiopremium,ef 9o ano,0.5492957746478874
539,colegiopremium,em 1a serie,0.5289855072463768
540,colegiopremium,em 2a serie,0.5
541,colegiopremium,em 3a serie,0.41964285714285715
542,colegioprogresso,em 1a serie,0.0
543,colegioradar,em 1a serie,0.0
544,colegioreacao,em 1a serie,0.0
545,colegioriobranco,em 1a serie,0.0
546,colegiosaberviver,em 1a serie,0.0
547,colegiosalesianorn,em 1a serie,0.0
548,colegiosantadoroteia,em 1a serie,0.0
549,colegiosantamaria,em 1a serie,0.0
550,colegiosaojudas,em 1a serie,0.0
551,colegiosaoluis,ef 1o ano,0.0
552,colegiosaoluis,em 1a serie,0.0
553,colegioser,ef 6o ano,0.0
554,colegioser,outro,0.0
555,colegiosete,ef 1o ano,0.34065934065934067
556,colegiosete,ef 2o ano,0.5508474576271186
557,colegiosete,ef 3o ano,0.34523809523809523
558,colegiosete,ef 4o ano,0.5350877192982456
559,colegiosete,ef 5o ano,0.5017182130584192
560,colegiosete,ef 6o ano,0.45118898623279097
561,colegiosete,ef 7o ano,0.45942519019442096
562,colegiosete,ef 8o ano,0.47245322245322247
563,colegiosete,ef 9o ano,0.47716346153846156
564,colegiosete,em 1a serie,0.414580588493632
565,colegiosete,em 2a serie,0.4069264069264069
566,colegiosete,em 3a serie,0.27946127946127947
567,colegiosoma,em 1a serie,0.0
568,colegiosuperacao,em 1a serie,0.0
569,colegiouirapuru,ef 3o ano,0.12379421221864952
570,colegiouirapuru,ef 4o ano,0.13043478260869565
571,colegiouirapuru,ef 5o ano,0.29812981298129815
572,colegiouirapuru,ef 6o ano,0.525
573,colegiouirapuru,ef 7o ano,0.06569343065693431
574,colegiouirapuru,ef 8o ano,0.21673003802281368
575,colegiouirapuru,ef 9o ano,0.15384615384615385
