,namespace,grade,numero_ex
641,master,ef 8o ano,117.84
642,master,ef 9o ano,180.56
643,master,em 1a serie,269.2631578947368
644,master,em 2a serie,226.33333333333334
645,master,em 3a serie,1580.6666666666667
646,master,outro,265.72727272727275
647,meta,outro,12.0
648,minhalista,outro,16.0
649,moaciralves,ef 8o ano,15.0
650,moaciralves,ef 9o ano,5.0
651,monsenhorgoncalo,outro,10.0
652,montessori,em 1a serie,186.0
653,montessori,em 2a serie,186.0
654,montessori,em 3a serie,372.0
655,mundialfranciscobeltrao,ef 6o ano,5.0
656,navegasas,ef 5o ano,3.0
657,novotempo,ef 7o ano,66.0
658,novotempo,ef 9o ano,186.0
659,novotempo,em 1a serie,186.0
660,novotempo,em 2a serie,186.0
661,novotempo,em 3a serie,186.0
662,nucleocriativo,ef 1o ano,47.0
663,nucleocriativo,ef 2o ano,63.0
664,nucleocriativo,ef 3o ano,49.0
665,nucleocriativo,ef 4o ano,98.0
666,nucleocriativo,ef 5o ano,108.0
667,nucleocriativo,ef 6o ano,156.0
668,nucleocriativo,ef 7o ano,137.0
669,nucleocriativo,ef 8o ano,135.0
670,nucleocriativo,ef 9o ano,143.0
671,nucleocriativo,em 1a serie,168.0
672,objetivolorena,ef 4o ano,90.0
673,objetivolorena,ef 5o ano,101.0
674,objetivolorena,ef 6o ano,58.333333333333336
675,objetivolorena,ef 7o ano,39.888888888888886
676,objetivolorena,ef 8o ano,65.6
677,objetivolorena,ef 9o ano,43.111111111111114
678,objetivolorena,em 1a serie,30.2
679,objetivolorena,em 2a serie,71.0
680,objetivolorena,em 3a serie,470.0
681,objetivolorena,outro,18.0
682,oficinadoestudante,outro,50.0
683,overabelcabral,ef 1o ano,30.0
684,overabelcabral,ef 2o ano,20.0
685,overabelcabral,ef 3o ano,35.0
686,overabelcabral,ef 4o ano,28.0
687,overabelcabral,ef 5o ano,83.66666666666667
688,overabelcabral,ef 6o ano,81.66666666666667
689,overabelcabral,ef 7o ano,112.0
690,overabelcabral,ef 8o ano,106.71428571428571
691,overabelcabral,ef 9o ano,213.75
692,overabelcabral,em 1a serie,643.0
693,overabelcabral,em 2a serie,670.0
694,overabelcabral,em 3a serie,395.0
695,overjoaopessoa,ef 9o ano,311.0
696,overjoaopessoa,em 1a serie,562.0
697,overjoaopessoa,em 2a serie,573.0
698,overjoaopessoa,em 3a serie,372.0
699,overjoaopessoa,outro,163.5
700,overlimaesilva,ef 1o ano,70.0
701,overlimaesilva,ef 2o ano,60.0
702,overlimaesilva,ef 3o ano,120.0
703,overlimaesilva,ef 4o ano,97.5
704,overlimaesilva,ef 5o ano,86.66666666666667
705,overmarciliofurtado,ef 6o ano,38.75
706,overmarciliofurtado,ef 7o ano,83.75
707,overmarciliofurtado,ef 8o ano,160.0
708,overmarciliofurtado,ef 9o ano,397.0
709,overmarciliofurtado,em 1a serie,653.0
710,overmarciliofurtado,em 2a serie,669.0
711,overmarciliofurtado,em 3a serie,395.0
712,overmossoro,ef 1o ano,20.0
713,overmossoro,ef 2o ano,120.0
714,overmossoro,ef 4o ano,120.0
715,overmossoro,ef 5o ano,110.0
716,overmossoro,ef 6o ano,245.0
717,overmossoro,ef 7o ano,275.0
718,overmossoro,ef 8o ano,290.0
719,overmossoro,ef 9o ano,350.0
720,overmossoro,em 1a serie,626.0
721,overmossoro,em 2a serie,90.0
722,overmossoro,em 3a serie,372.0
723,overmossoro,outro,186.0
724,overnascimentodecastro,outro,201.0
725,overpontanegra,ef 1o ano,80.0
726,overpontanegra,ef 2o ano,40.0
727,overpontanegra,ef 3o ano,25.166666666666668
728,overpontanegra,ef 4o ano,90.0
729,overpontanegra,ef 5o ano,43.333333333333336
730,overpontanegra,ef 6o ano,88.25
731,overpontanegra,ef 7o ano,115.66666666666667
732,overpontanegra,ef 8o ano,310.0
733,overpontanegra,ef 9o ano,99.2
734,overpontanegra,em 1a serie,658.0
735,overpontanegra,em 2a serie,656.0
736,overpontanegra,em 3a serie,374.0
737,overzonanorte,ef 1o ano,90.0
738,overzonanorte,ef 2o ano,110.0
739,overzonanorte,ef 3o ano,20.0
740,overzonanorte,ef 4o ano,170.0
741,overzonanorte,ef 5o ano,95.0
742,overzonanorte,ef 6o ano,296.0
743,overzonanorte,ef 7o ano,282.0
744,overzonanorte,ef 8o ano,305.0
745,overzonanorte,ef 9o ano,433.0
746,overzonanorte,em 1a serie,667.0
747,overzonanorte,em 2a serie,667.0
748,overzonanorte,em 3a serie,432.0
749,overzonanorte,outro,188.25
750,pauloviana,ef 9o ano,8.0
751,pearson,em 3a serie,6.0
752,physicsalcindocacela,ef 9o ano,271.0
753,physicsalcindocacela,em 1a serie,136.0
754,physicsalcindocacela,em 2a serie,242.0
755,physicsalcindocacela,em 3a serie,171.0
756,physicsalcindocacela,outro,210.77777777777777
757,physicsalmirantebarroso,ef 2o ano,50.0
758,physicsalmirantebarroso,ef 3o ano,100.0
759,physicsalmirantebarroso,ef 4o ano,120.0
760,physicsalmirantebarroso,ef 5o ano,90.0
761,physicsalmirantebarroso,ef 6o ano,222.0
762,physicsalmirantebarroso,ef 7o ano,173.0
763,physicsalmirantebarroso,ef 8o ano,178.0
764,physicsalmirantebarroso,ef 9o ano,168.0
765,physicsalmirantebarroso,em 1a serie,393.0
766,physicsalmirantebarroso,em 2a serie,393.0
767,physicsalmirantebarroso,em 3a serie,246.4
768,physicsaugustomontenegro,ef 2o ano,90.0
769,physicsaugustomontenegro,ef 3o ano,100.0
770,physicsaugustomontenegro,ef 4o ano,130.0
771,physicsaugustomontenegro,ef 5o ano,100.0
772,physicsaugustomontenegro,ef 6o ano,212.0
773,physicsaugustomontenegro,ef 7o ano,253.0
774,physicsaugustomontenegro,ef 8o ano,248.0
775,physicsaugustomontenegro,ef 9o ano,268.0
776,physicsaugustomontenegro,em 1a serie,393.0
777,physicsaugustomontenegro,em 2a serie,328.0
778,physicsaugustomontenegro,em 3a serie,569.0
779,physicsaugustomontenegro,outro,251.0
780,physicsbatistacampos,ef 2o ano,100.0
781,physicsbatistacampos,ef 3o ano,100.0
782,physicsbatistacampos,ef 4o ano,100.0
783,physicsbatistacampos,ef 5o ano,110.0
784,physicsbatistacampos,ef 6o ano,234.0
785,physicsbatistacampos,ef 7o ano,255.0
786,physicsbatistacampos,ef 8o ano,260.0
787,physicsbatistacampos,ef 9o ano,290.0
788,physicscidadenova,ef 2o ano,100.0
789,physicscidadenova,ef 3o ano,100.0
790,physicscidadenova,ef 4o ano,130.0
791,physicscidadenova,ef 5o ano,95.0
792,physicscidadenova,ef 6o ano,234.0
793,physicscidadenova,ef 7o ano,255.0
794,physicscidadenova,ef 8o ano,260.0
795,physicscidadenova,ef 9o ano,280.0
796,physicscidadenova,em 1a serie,297.25
797,physicscidadenova,em 2a serie,265.3333333333333
798,physicscidadenova,em 3a serie,569.0
799,physicscidadenova,outro,251.0
800,physicsconselheirofurtado,em 1a serie,344.3333333333333
801,physicsconselheirofurtado,em 2a serie,302.0
802,physicsconselheirofurtado,em 3a serie,418.8
803,physicsmacapa,ef 7o ano,157.5
804,physicsmacapa,ef 8o ano,266.0
805,physicsmacapa,ef 9o ano,261.0
806,physicsmacapa,em 1a serie,173.0
807,physicsmacapa,em 2a serie,383.0
808,physicsmacapa,em 3a serie,568.0
809,physicsmacapa,outro,344.0
810,physicsumarizal,ef 2o ano,53.333333333333336
811,physicsumarizal,ef 3o ano,70.0
812,physicsumarizal,ef 4o ano,130.0
813,physicsumarizal,ef 5o ano,38.0
814,physicsumarizal,ef 6o ano,191.0
815,physicsumarizal,ef 7o ano,263.0
816,physicsumarizal,ef 8o ano,209.0
817,physicsumarizal,ef 9o ano,268.0
818,physicsumarizal,em 1a serie,393.0
819,physicsumarizal,em 2a serie,393.0
820,physicsumarizal,em 3a serie,629.0
821,pioxi,ef 1o ano,10.0
822,pioxi,ef 2o ano,28.75
823,pioxi,ef 3o ano,27.77777777777778
824,pioxi,ef 4o ano,24.545454545454547
825,pioxi,ef 5o ano,34.0
826,pioxi,ef 6o ano,26.23076923076923
827,pioxi,ef 7o ano,27.363636363636363
828,pioxi,ef 8o ano,26.692307692307693
829,pioxi,ef 9o ano,19.57894736842105
830,pioxi,em 1a serie,188.0
831,pioxi,em 2a serie,203.0
832,pioxi,em 3a serie,34.1875
833,pioxi,outro,11.5
834,pioxiicolegio,ef 6o ano,60.0
835,pioxiicolegio,ef 7o ano,60.0
836,pioxiicolegio,ef 8o ano,80.0
837,pioxiicolegio,ef 9o ano,180.6
838,pioxiicolegio,em 1a serie,134.5
839,pioxiicolegio,em 2a serie,149.8
840,pioxiicolegio,em 3a serie,149.25
841,pioxiicolegio,outro,3.0
842,plannetaosasco,ef 2o ano,26.0
843,plannetaosasco,ef 3o ano,26.0
844,plannetataboao,ef 1o ano,26.0
845,plannetataboao,ef 2o ano,26.0
846,plannetataboao,ef 3o ano,26.0
847,plannetataboao,ef 4o ano,26.0
848,plannetataboao,ef 5o ano,26.0
849,portinari,ef 2o ano,13.0
850,portinari,ef 3o ano,98.0
851,portinari,ef 4o ano,110.0
852,portinari,ef 5o ano,100.0
853,portinari,ef 6o ano,118.0
854,portinari,ef 7o ano,106.33333333333333
855,portinari,ef 8o ano,152.8
856,portinari,ef 9o ano,134.66666666666666
857,portinari,em 1a serie,54.193548387096776
858,portinari,em 2a serie,52.28125
859,portinari,em 3a serie,246.0
860,porto,ef 6o ano,77.0
861,porto,ef 7o ano,43.0
862,porto,ef 8o ano,74.66666666666667
863,porto,ef 9o ano,125.0
864,porto,em 1a serie,194.0
865,porto,em 2a serie,130.1
866,porto,em 3a serie,160.83333333333334
867,portoseguro,ef 4o ano,60.23809523809524
868,positivoon,em 3a serie,4.0
869,prevest,outro,20.0
870,prismapatrocinio,ef 2o ano,427.0
871,prismapatrocinio,ef 4o ano,190.0
872,prismapatrocinio,ef 5o ano,230.0
873,prismapatrocinio,ef 6o ano,329.0
874,prismapatrocinio,ef 7o ano,306.5
875,prismapatrocinio,ef 8o ano,304.6666666666667
876,prismapatrocinio,ef 9o ano,305.0
877,prismapatrocinio,em 1a serie,441.0
878,prismapatrocinio,em 2a serie,426.0
879,prismapatrocinio,em 3a serie,435.6666666666667
880,prismapatrocinio,outro,176.5
881,profederal,outro,227.88888888888889
882,progressaodc,em 1a serie,162.5
883,progressaodc,em 2a serie,351.0
884,progressaodc,em 3a serie,269.0
885,progressaoig,ef 6o ano,116.0
886,progressaoig,ef 7o ano,76.33333333333333
887,progressaoig,ef 9o ano,133.5
888,progressaoig,em 1a serie,73.25
889,progressaoig,em 2a serie,11.0
890,progressaoig,em 3a serie,219.5
891,progressaoig,outro,10.0
892,provaspoliedro,ef 1o ano,12.0
893,provaspoliedro,ef 6o ano,12.0
894,provaspoliedro,ef 7o ano,10.428571428571429
895,provaspoliedro,ef 8o ano,10.558823529411764
896,provaspoliedro,ef 9o ano,9.0
897,provaspoliedro,em 1a serie,66.12068965517241
898,provaspoliedro,em 2a serie,66.59375
899,provaspoliedro,em 3a serie,124.84313725490196
900,provaspoliedro,outro,67.70967741935483
901,psantagema,ef 2o ano,48.0
902,psantagema,ef 6o ano,64.66666666666667
903,psantagema,ef 7o ano,59.0
904,psantagema,ef 8o ano,79.0
905,psantagema,ef 9o ano,70.5
906,psantagema,em 1a serie,50.666666666666664
907,psantagema,em 2a serie,70.0
908,psantagema,em 3a serie,34.0
909,psantagema,outro,9.5
910,qescola,ef 1o ano,4.0
911,qescola,ef 5o ano,2.0
912,qescola,ef 6o ano,22.0
913,qescola,ef 7o ano,95.0
914,qescola,em 1a serie,45.333333333333336
915,qescola,em 2a serie,15.0
916,qescola,em 3a serie,56.5
917,qescola,outro,8.333333333333334
918,rede,ef 9o ano,5.0
919,saberviver,ef 4o ano,20.0
920,saberviver,ef 5o ano,20.0
921,sagradafamilia,em 1a serie,201.0
922,sagradafamilia,em 2a serie,235.0
923,sagradafamilia,em 3a serie,253.5
924,santadoroteia,em 1a serie,201.0
925,santadoroteia,em 2a serie,221.0
926,santadoroteia,em 3a serie,241.0
927,santamariacn,em 2a serie,171.5
928,santamariacn,em 3a serie,259.5
929,santoamerico,ef 6o ano,8.0
930,santoamerico,ef 7o ano,17.4
931,santoamerico,ef 8o ano,19.333333333333332
932,santoamerico,ef 9o ano,15.2
933,santoamerico,em 1a serie,1136.0
934,santoamerico,em 2a serie,642.4285714285714
935,santoamerico,em 3a serie,1232.5
936,santoamerico,outro,253.13888888888889
937,santoantonio,em 3a serie,10.0
938,sas,em 1a serie,12.0
939,sasadapt,ef 1o ano,8.0
940,seletivoeducallis,ef 5o ano,20.0
941,seletivoeducallis,em 1a serie,20.0
942,seletivoeducallis,em 2a serie,40.0
943,simbios,outro,186.0
944,simuladoita,outro,50.5
945,sobral,outro,15.0
946,souhabilis,em 3a serie,805.0
947,souhabilis,outro,730.0
948,spdacruz,ef 6o ano,43.888888888888886
949,spdacruz,ef 7o ano,36.785714285714285
950,spdacruz,ef 8o ano,41.357142857142854
951,spdacruz,ef 9o ano,58.07692307692308
952,spdacruz,em 1a serie,52.0
953,spdacruz,em 2a serie,68.33333333333333
954,spdacruz,em 3a serie,48.411764705882355
955,stellamarisaguaverde,ef 2o ano,60.0
956,stellamarisaguaverde,ef 3o ano,62.0
957,stellamarisaguaverde,ef 4o ano,76.66666666666667
958,stellamarisaguaverde,ef 5o ano,98.0
959,stellamarisaguaverde,ef 6o ano,140.0
960,stellamarisaguaverde,ef 7o ano,149.0
961,stellamarisjuveve,ef 2o ano,49.0
962,stellamarisjuveve,ef 3o ano,101.5
963,stellamarisjuveve,ef 4o ano,122.66666666666667
964,stellamarisjuveve,ef 5o ano,136.0
965,stellamarisjuveve,ef 6o ano,149.66666666666666
966,stellamarisjuveve,ef 7o ano,149.0
967,stellamarisjuveve,ef 8o ano,178.0
968,stellamarisjuveve,ef 9o ano,229.5
969,stellamarisjuveve,em 1a serie,538.0
970,stellamarisjuveve,em 2a serie,526.0
971,stellamarisjuveve,em 3a serie,510.0
972,stellamarisjuveve,outro,510.0
973,stellamarisxaxim,ef 2o ano,94.0
974,stellamarisxaxim,ef 3o ano,90.0
975,stellamarisxaxim,ef 4o ano,126.0
976,stellamarisxaxim,ef 5o ano,100.0
977,stellamarisxaxim,ef 6o ano,176.0
978,stellamarisxaxim,ef 7o ano,180.0
979,stellamarisxaxim,ef 8o ano,202.0
980,stellamarisxaxim,ef 9o ano,212.0
981,stellamarisxaxim,em 1a serie,510.0
982,stellamarisxaxim,em 2a serie,504.0
983,stellamarisxaxim,em 3a serie,396.0
984,studos,em 1a serie,2.0
985,testevictorhugo,ef 7o ano,11.0
986,testevictorhugo,em 1a serie,90.0
987,universitariolondrina,ef 2o ano,7.0
988,universitariolondrina,ef 3o ano,20.0
989,universitariolondrina,ef 4o ano,60.0
990,universitariolondrina,ef 5o ano,70.0
991,universitariolondrina,ef 6o ano,403.0
992,universitariolondrina,ef 7o ano,394.6666666666667
993,universitariolondrina,ef 8o ano,380.75
994,universitariolondrina,ef 9o ano,577.0
995,universitariolondrina,em 1a serie,1135.0
996,universitariolondrina,em 2a serie,1274.0
997,universitariolondrina,em 3a serie,368.5
998,universitariolondrina,outro,197.4
999,universobarcarena,ef 1o ano,124.0
1000,universobarcarena,ef 2o ano,112.0
1001,universobarcarena,ef 3o ano,135.0
1002,universobarcarena,ef 4o ano,130.0
1003,universobarcarena,ef 5o ano,190.0
1004,universobarcarena,ef 6o ano,112.0
1005,universobarcarena,ef 7o ano,109.33333333333333
1006,universobarcarena,ef 8o ano,118.0
1007,universobarcarena,ef 9o ano,142.0
1008,universobarcarena,em 1a serie,307.5
1009,universobarcarena,em 2a serie,360.0
1010,universobarcarena,em 3a serie,308.75
1011,universos,ef 9o ano,2.0
1012,villalobos,ef 4o ano,13.0
1013,villalobos,ef 5o ano,18.75
1014,villalobos,ef 6o ano,75.5
1015,villalobos,ef 7o ano,73.5
1016,villalobos,ef 8o ano,94.0
1017,villalobos,ef 9o ano,59.0
1018,villalobos,em 1a serie,60.4
1019,villalobos,em 2a serie,185.5
1020,villalobos,em 3a serie,199.0
1021,villalobos,outro,72.0
1022,vitae,ef 2o ano,130.0
1023,wilsondeandradebarreto,em 1a serie,8.0
