,namespace,grade,numero_ex
149,cem,em 1a serie,98.0
150,cem,em 2a serie,87.0
151,cem,em 3a serie,81.0
152,ceprimeiromundo,ef 1o ano,10.0
153,ceprimeiromundo,ef 2o ano,1.0
154,ceprimeiromundo,ef 3o ano,10.0
155,ceprimeiromundo,ef 4o ano,31.333333333333332
156,ceprimeiromundo,ef 5o ano,24.0
157,ceprimeiromundo,ef 6o ano,86.83333333333333
158,ceprimeiromundo,ef 7o ano,84.83333333333333
159,ceprimeiromundo,ef 8o ano,82.85714285714286
160,ceprimeiromundo,ef 9o ano,96.0
161,ceprimeiromundo,em 1a serie,172.4
162,ceprimeiromundo,em 2a serie,208.8
163,ceprimeiromundo,em 3a serie,207.0
164,ceprimeiromundo,outro,1679.0
165,ciadosaber,ef 2o ano,5.0
166,ciadosaber,ef 3o ano,62.0
167,ciadosaber,ef 4o ano,27.75
168,ciadosaber,ef 5o ano,76.0
169,ciadosaber,ef 6o ano,43.8
170,ciadosaber,ef 7o ano,58.666666666666664
171,ciadosaber,ef 8o ano,22.0
172,ciadosaber,ef 9o ano,46.5
173,cmdpii,em 2a serie,663.0
174,cnslpb,ef 6o ano,34.0
175,cnslpb,ef 7o ano,23.0
176,cnslpb,ef 8o ano,30.0
177,cnslpb,ef 9o ano,55.333333333333336
178,cnslpb,em 1a serie,70.0
179,cnslpb,em 2a serie,73.66666666666667
180,cnslpb,em 3a serie,110.0
181,colegioalphaunis,ef 6o ano,123.0
182,colegioalphaunis,ef 7o ano,124.0
183,colegioalphaunis,ef 8o ano,111.0
184,colegioalphaunis,ef 9o ano,148.0
185,colegioalphaunis,em 1a serie,258.0
186,colegioalphaunis,em 2a serie,260.0
187,colegioalphaunis,em 3a serie,296.0
188,colegioanchietai,em 1a serie,201.0
189,colegioanchietai,em 2a serie,221.0
190,colegioanchietai,em 3a serie,241.0
191,colegioanchietaii,em 1a serie,134.33333333333334
192,colegioanchietaii,em 2a serie,221.0
193,colegioanchietaii,em 3a serie,241.0
194,colegioarena,em 1a serie,210.0
195,colegioarena,em 2a serie,200.0
196,colegioarena,em 3a serie,448.0
197,colegioarena,outro,298.0
198,colegiobatistaindependente,ef 5o ano,64.0
199,colegiobatistaindependente,ef 6o ano,384.0
200,colegiobatistaindependente,ef 7o ano,353.0
201,colegiobatistaindependente,ef 8o ano,193.0
202,colegiobatistaindependente,ef 9o ano,277.0
203,colegiobatistaindependente,em 1a serie,161.5
204,colegiobatistaindependente,em 2a serie,230.0
205,colegiobatistaindependente,em 3a serie,137.0
206,colegiobatistaindependente,outro,25.0
207,colegiobetelbrasileirosp,ef 6o ano,14.666666666666666
208,colegiobetelbrasileirosp,ef 7o ano,13.857142857142858
209,colegiobetelbrasileirosp,ef 8o ano,13.142857142857142
210,colegiobetelbrasileirosp,ef 9o ano,13.375
211,colegiobetelbrasileirosp,em 1a serie,11.857142857142858
212,colegiobetelbrasileirosp,em 2a serie,12.0
213,colegiobetelbrasileirosp,em 3a serie,17.0
214,colegiobianguloiv,em 1a serie,121.0
215,colegiobianguloiv,em 2a serie,221.0
216,colegiobianguloiv,em 3a serie,241.0
217,colegiobilac,ef 1o ano,123.0
218,colegiobilac,ef 2o ano,120.0
219,colegiobilac,ef 3o ano,152.0
220,colegiobilac,ef 4o ano,172.0
221,colegiobilac,ef 5o ano,182.0
222,colegiobilac,ef 6o ano,267.0
223,colegiobilac,ef 7o ano,264.0
224,colegiobilac,ef 8o ano,263.0
225,colegiobilac,ef 9o ano,289.0
226,colegiobrasilia,ef 2o ano,127.5
227,colegiobrasilia,ef 3o ano,135.0
228,colegiobrasilia,ef 4o ano,243.33333333333334
229,colegiobrasilia,ef 5o ano,230.0
230,colegiobrasilia,ef 6o ano,103.75
231,colegiobrasilia,ef 7o ano,121.66666666666667
232,colegiobrasilia,ef 8o ano,146.5
233,colegiobrasilia,ef 9o ano,208.66666666666666
234,colegiobrasilia,em 1a serie,169.44444444444446
235,colegiobrasilia,em 2a serie,184.0
236,colegiobrasilia,em 3a serie,384.0
237,colegiobrasilia,outro,36.0
238,colegiocb,ef 3o ano,40.0
239,colegiocb,ef 4o ano,40.0
240,colegiocb,ef 5o ano,55.0
241,colegiocb,ef 6o ano,29.5
242,colegiocb,ef 7o ano,27.142857142857142
243,colegiocb,ef 8o ano,29.333333333333332
244,colegiocb,ef 9o ano,40.333333333333336
245,colegiocb,em 1a serie,40.4
246,colegiocb,em 2a serie,40.8
247,colegiocb,em 3a serie,79.5
248,colegiodasamericas,ef 6o ano,16.0
249,colegiodasamericas,ef 7o ano,16.555555555555557
250,colegiodasamericas,ef 8o ano,17.125
251,colegiodasamericas,ef 9o ano,15.666666666666666
252,colegiodasamericas,em 1a serie,18.928571428571427
253,colegiodasamericas,em 2a serie,17.76923076923077
254,colegiodasamericas,em 3a serie,15.529411764705882
255,colegiodasamericas,outro,14.777777777777779
256,colegioeag,ef 1o ano,29.0
257,colegioeag,ef 3o ano,5.0
258,colegioeag,ef 4o ano,5.0
259,colegioeag,ef 5o ano,8.0
260,colegioeag,ef 6o ano,11.0
261,colegioeag,ef 7o ano,7.0
262,colegioecursodesafio,ef 1o ano,45.0
263,colegioecursodesafio,ef 2o ano,42.0
264,colegioecursodesafio,ef 3o ano,50.0
265,colegioecursodesafio,ef 4o ano,70.0
266,colegioecursodesafio,ef 5o ano,60.0
267,colegioecursodesafio,ef 6o ano,120.0
268,colegioecursodesafio,ef 7o ano,130.0
269,colegioecursodesafio,ef 8o ano,123.33333333333333
