,namespace,grade,Porcentagem de engajamento em AAs
254,colegiobrasilia,ef 4o ano,0.9494219653179191
923,pioxi,ef 7o ano,0.9492192459058018
1066,spdacruz,em 2a serie,0.9487693188322839
471,colegiouirapuru,ef 9o ano,0.9487179487179487
317,colegioeducallis,ef 5o ano,0.9483146067415731
250,colegiobilac,ef 9o ano,0.9477326534328901
520,contemporaneolagoanova,em 3a serie,0.9474143302180685
638,integra,ef 1o ano,0.9464285714285714
924,pioxi,ef 8o ano,0.9454789985516242
247,colegiobilac,ef 6o ano,0.945285784074255
989,progressaodc,em 3a serie,0.9446915776986952
385,colegiointegral,em 1a serie,0.9446207991166932
523,coopermundi,ef 8o ano,0.9444444444444444
953,portinari,ef 6o ano,0.94374185136897
926,pioxi,em 1a serie,0.9434840425531915
928,pioxi,em 3a serie,0.9434762492288711
992,progressaoig,ef 7o ano,0.9433443344334433
246,colegiobilac,ef 5o ano,0.9430926216640503
270,colegiocb,ef 8o ano,0.9428179322964318
787,overlimaesilva,ef 3o ano,0.9420289855072463
204,colegioalphaunis,ef 6o ano,0.9415204678362573
165,cem,ef 7o ano,0.9404659188955996
357,colegioglobal,em 2a serie,0.9404520917678812
252,colegiobrasilia,ef 2o ano,0.9396195202646815
1010,psantagema,ef 7o ano,0.9389048991354467
927,pioxi,em 2a serie,0.9378458918688803
234,colegiobetelbrasileirosp,ef 8o ano,0.9376601195559351
417,colegionovageracao,ef 8o ano,0.9375
205,colegioalphaunis,ef 7o ano,0.9374588545095458
769,overabelcabral,ef 4o ano,0.93717277486911
284,colegiodasamericas,outro,0.9371069182389937
236,colegiobetelbrasileirosp,em 1a serie,0.9354207436399217
994,progressaoig,em 1a serie,0.9350663595480969
336,colegioensitec,em 3a serie,0.9323076923076923
167,cem,ef 9o ano,0.9314404432132964
624,insa,em 2a serie,0.9313413858868405
10,acessoalmirantetamandare,em 3a serie,0.9297658862876255
453,colegiosete,ef 2o ano,0.9293785310734464
477,colegiouniverso,ef 7o ano,0.9288617886178862
925,pioxi,ef 9o ano,0.9282096733350216
273,colegiocb,em 2a serie,0.92625250501002
1036,santamariacn,em 2a serie,0.9260123911286702
45,acessohauer,ef 3o ano,0.9230769230769231
160,cem,ef 2o ano,0.9230769230769231
168,cem,em 1a serie,0.9230769230769231
235,colegiobetelbrasileirosp,ef 9o ano,0.9227373068432672
691,maplebearslz,ef 5o ano,0.9196230598669624
666,isem,ef 5o ano,0.9188311688311688
117,aprovest,outro,0.9176470588235294
478,colegiouniverso,ef 8o ano,0.9173850574712644
253,colegiobrasilia,ef 3o ano,0.9171974522292994
348,colegioglobal,ef 2o ano,0.9164926931106472
352,colegioglobal,ef 6o ano,0.9160975609756098
1084,stellamarisjuveve,em 3a serie,0.9160272804774083
309,colegioecursoprogressao,ef 9o ano,0.9134768740031898
409,colegiomundial,em 2a serie,0.9130434782608695
735,novotempo,ef 7o ano,0.9130434782608695
955,portinari,ef 8o ano,0.9126168004883317
936,pioxiicolegio,em 3a serie,0.9122135799873871
956,portinari,ef 9o ano,0.9120087535333272
161,cem,ef 3o ano,0.9107142857142857
25,acessocampolargo,em 3a serie,0.9102564102564102
1009,psantagema,ef 6o ano,0.9094567404426559
269,colegiocb,ef 7o ano,0.9091721262656343
476,colegiouniverso,ef 6o ano,0.9087301587301587
577,educandarioterciocorreia,ef 5o ano,0.9077777777777778
515,contemporaneolagoanova,ef 7o ano,0.9067567567567567
922,pioxi,ef 6o ano,0.9054360892213169
404,colegiomagnum,em 3a serie,0.90538835826275
919,pioxi,ef 3o ano,0.9052863436123348
514,contemporaneolagoanova,ef 6o ano,0.9051948051948052
560,domus,em 3a serie,0.9021505376344086
815,overpontanegra,ef 3o ano,0.9016269390843739
856,physicsalmirantebarroso,ef 9o ano,0.9001984126984127
767,overabelcabral,ef 2o ano,0.9
415,colegionovageracao,ef 4o ano,0.9
414,colegionovageracao,ef 3o ano,0.9
279,colegiodasamericas,ef 8o ano,0.8992395437262357
311,colegioecursoprogressao,em 2a serie,0.8985465769946238
277,colegiodasamericas,ef 6o ano,0.8966704936854191
82,aescobjetivo,ef 1o ano,0.8965201465201466
238,colegiobetelbrasileirosp,em 3a serie,0.8961201501877347
692,maplebearslz,ef 6o ano,0.8960526315789473
929,pioxi,outro,0.8958333333333334
52,acessopinhais,em 3a serie,0.8958295392460389
263,colegiobrasilia,outro,0.8948751642575559
278,colegiodasamericas,ef 7o ano,0.8946102021174206
349,colegioglobal,ef 3o ano,0.8935281837160751
789,overlimaesilva,ef 5o ano,0.8933901918976546
770,overabelcabral,ef 5o ano,0.8931064572425829
355,colegioglobal,ef 9o ano,0.8927931158121191
265,colegiocb,ef 3o ano,0.8922413793103449
233,colegiobetelbrasileirosp,ef 7o ano,0.8910472972972973
920,pioxi,ef 4o ano,0.8897196261682243
225,colegiobatistaindependente,ef 7o ano,0.8892036512433114
641,integra,ef 4o ano,0.8888888888888888
406,colegiomundial,ef 6o ano,0.8888888888888888
516,contemporaneolagoanova,ef 8o ano,0.8888888888888888
954,portinari,ef 7o ano,0.8886044231397756
993,progressaoig,ef 9o ano,0.8885767790262172
351,colegioglobal,ef 5o ano,0.8881680568427557
283,colegiodasamericas,em 3a serie,0.8881011097410604
387,colegiointegral,em 3a serie,0.8869075011504832
854,physicsalmirantebarroso,ef 7o ano,0.8864036189997487
788,overlimaesilva,ef 4o ano,0.8850574712643678
312,colegioecursoprogressao,em 3a serie,0.8834596602654363
737,novotempo,em 1a serie,0.8828522920203735
855,physicsalmirantebarroso,ef 8o ano,0.8822305451518935
310,colegioecursoprogressao,em 1a serie,0.8820935855497084
739,novotempo,em 3a serie,0.8817204301075269
1013,psantagema,em 1a serie,0.8790931989924433
918,pioxi,ef 2o ano,0.8787878787878788
664,isem,ef 3o ano,0.8781818181818182
232,colegiobetelbrasileirosp,ef 6o ano,0.8781538461538462
538,crescercampinas,ef 9o ano,0.8770415137779697
470,colegiouirapuru,ef 8o ano,0.8769522006625651
1012,psantagema,ef 9o ano,0.8750743604997026
738,novotempo,em 2a serie,0.875
419,colegionovageracao,em 1a serie,0.875
969,portoseguro,ef 4o ano,0.8709761994931103
228,colegiobatistaindependente,em 1a serie,0.8705931148900871
988,progressaodc,em 2a serie,0.8674806674806674
224,colegiobatistaindependente,ef 6o ano,0.8670343137254902
229,colegiobatistaindependente,em 2a serie,0.8668478260869565
64,acessosantafelicidade,em 3a serie,0.865484429065744
1028,saberviver,ef 5o ano,0.8645833333333334
152,ceespacolivre,ef 5o ano,0.8641975308641975
2,acessoalmirantetamandare,ef 4o ano,0.8620689655172413
105,amadeus,em 2a serie,0.8578045391384901
999,provaspoliedro,ef 1o ano,0.8571428571428571
693,maplebearslz,ef 7o ano,0.8561908569905371
227,colegiobatistaindependente,ef 9o ano,0.8556163021868787
226,colegiobatistaindependente,ef 8o ano,0.8551149166291122
571,eccos,ef 7o ano,0.8531038721573448
797,overmarciliofurtado,em 3a serie,0.8527042577675489
183,ceprimeiromundo,em 3a serie,0.8519668737060041
559,domus,em 2a serie,0.8516129032258064
467,colegiouirapuru,ef 5o ano,0.8509211053263916
28,acessocampolargokids,ef 3o ano,0.8507462686567164
306,colegioecursoprogressao,ef 6o ano,0.8498867680362342
282,colegiodasamericas,em 2a serie,0.8470128419877163
665,isem,ef 4o ano,0.8436213991769548
271,colegiocb,ef 9o ano,0.8428475486903962
684,magister,ef 4o ano,0.8421859039836568
685,magister,ef 5o ano,0.8407643312101911
1037,santamariacn,em 3a serie,0.8390804597701149
513,contemporaneocidadeverde,em 3a serie,0.8372771260025187
620,idaam,em 3a serie,0.8363459399332592
777,overabelcabral,em 3a serie,0.8361733203505355
280,colegiodasamericas,ef 9o ano,0.8337606837606838
56,acessosantafelicidade,ef 4o ano,0.8333333333333334
694,maplebearslz,ef 8o ano,0.8330960291093181
170,cem,em 3a serie,0.8305274971941639
987,progressaodc,em 1a serie,0.8296061566319601
1027,saberviver,ef 4o ano,0.8272727272727273
55,acessosantafelicidade,ef 3o ano,0.8228438228438228
768,overabelcabral,ef 3o ano,0.8222222222222222
921,pioxi,ef 5o ano,0.8209150326797385
1108,universitariolondrina,ef 8o ano,0.8206484520745271
260,colegiobrasilia,em 1a serie,0.8205944798301487
281,colegiodasamericas,em 1a serie,0.81976401179941
573,eccos,ef 9o ano,0.8196594427244582
259,colegiobrasilia,ef 9o ano,0.818876998917879
878,physicsbatistacampos,ef 7o ano,0.818562091503268
333,colegioensitec,ef 9o ano,0.8175872093023255
669,isem,ef 8o ano,0.8143343258188005
535,crescercampinas,ef 6o ano,0.8138663335415366
659,invictus,em 1a serie,0.8116661495501086
334,colegioensitec,em 1a serie,0.809433962264151
272,colegiocb,em 1a serie,0.8090519550080343
766,overabelcabral,ef 1o ano,0.8071428571428572
824,overpontanegra,em 3a serie,0.8071046600458365
42,acessofazendariogrande,outro,0.8056516724336793
593,elitecuritibaemilianoperneta,em 3a serie,0.8051819620253164
27,acessocampolargokids,ef 2o ano,0.803921568627451
1001,provaspoliedro,ef 7o ano,0.801805498563808
299,colegioecursodesafio,ef 8o ano,0.8014861995753716
407,colegiomundial,ef 9o ano,0.8
11,acessoalmirantetamandare,outro,0.8
230,colegiobatistaindependente,em 3a serie,0.7995534606797321
912,physicsumarizal,ef 9o ano,0.7950093283582089
613,faculdadeflamingo,outro,0.7933709449929478
879,physicsbatistacampos,ef 8o ano,0.7924528301886793
944,plannetataboao,ef 5o ano,0.7908443681732799
1002,provaspoliedro,ef 8o ano,0.7891091473608789
714,master,ef 6o ano,0.787186543483755
715,master,ef 7o ano,0.7864622288706058
335,colegioensitec,em 2a serie,0.7850283718900044
298,colegioecursodesafio,ef 7o ano,0.7833333333333333
837,overzonanorte,em 3a serie,0.7833333333333333
1040,santoamerico,ef 7o ano,0.779333655239015
899,physicsmacapa,ef 9o ano,0.7762452107279694
537,crescercampinas,ef 8o ano,0.775843414970001
175,ceprimeiromundo,ef 4o ano,0.7758369723435226
337,colegioflamingo,em 1a serie,0.7746478873239436
791,overmarciliofurtado,ef 6o ano,0.7733990147783252
3,acessoalmirantetamandare,ef 5o ano,0.7729648991784914
695,maplebearslz,ef 9o ano,0.7724922440537746
1107,universitariolondrina,ef 7o ano,0.7716779279279279
158,ceespacolivre,em 2a serie,0.7708382249354309
911,physicsumarizal,ef 8o ano,0.770644014223627
655,invictus,ef 6o ano,0.7689545091779728
536,crescercampinas,ef 7o ano,0.7644672572232801
30,acessocampolargokids,ef 5o ano,0.7631578947368421
758,objetivolorena,em 1a serie,0.7623361603700848
690,maplebearslz,ef 4o ano,0.7623215108245048
332,colegioensitec,ef 8o ano,0.7619926199261993
774,overabelcabral,ef 9o ano,0.7605980012894906
48,acessohauer,ef 6o ano,0.760244811069718
964,porto,ef 9o ano,0.7601568627450981
41,acessofazendariogrande,em 3a serie,0.7599148256587703
343,colegiofuturageracao,ef 6o ano,0.7597730138713745
533,crb,outro,0.7588018917498687
966,porto,em 2a serie,0.7587987758224942
1039,santoamerico,ef 6o ano,0.7580645161290323
142,cbpdigital,ef 9o ano,0.7573435504469987
154,ceespacolivre,ef 7o ano,0.7572295608711175
771,overabelcabral,ef 6o ano,0.7568881685575365
1102,universitariolondrina,ef 2o ano,0.7547169811320755
300,colegioecursodesafio,ef 9o ano,0.7545219638242894
670,isem,ef 9o ano,0.751996007984032
139,cbpdigital,ef 6o ano,0.7517915309446254
140,cbpdigital,ef 7o ano,0.751493848857645
865,physicsaugustomontenegro,ef 7o ano,0.7498406222108887
716,master,ef 8o ano,0.7493101508291585
943,plannetataboao,ef 4o ano,0.7472729848420456
933,pioxiicolegio,ef 9o ano,0.7471179162086858
889,physicscidadenova,em 1a serie,0.7454300839402181
423,colegionovopatio,em 1a serie,0.7439024390243902
539,crescercampinas,em 1a serie,0.7419747549176652
429,colegioplanck,em 1a serie,0.7419487460600247
338,colegioflamingo,em 2a serie,0.7415409054805401
965,porto,em 1a serie,0.7400132285305564
667,isem,ef 6o ano,0.739247311827957
410,colegiomundial,em 3a serie,0.7391304347826086
489,colegioup,em 2a serie,0.7383246561504391
880,physicsbatistacampos,ef 9o ano,0.7374860956618465
660,invictus,em 2a serie,0.7357594936708861
569,eccos,ef 5o ano,0.7347242921013413
330,colegioensitec,ef 6o ano,0.7329479768786127
1106,universitariolondrina,ef 6o ano,0.7325338421004816
1130,villalobos,ef 7o ano,0.7310789049919485
963,porto,ef 8o ano,0.7307395001288328
455,colegiosete,ef 4o ano,0.7303473491773309
890,physicscidadenova,em 2a serie,0.7218810384740477
634,institutoeurofarma,outro,0.7205551754471704
967,porto,em 3a serie,0.7201019121393829
833,overzonanorte,ef 8o ano,0.7197501951600312
900,physicsmacapa,em 1a serie,0.7195776064364734
942,plannetataboao,ef 3o ano,0.7180509674374705
17,acessoboqueirao,em 3a serie,0.7164002701485818
297,colegioecursodesafio,ef 6o ano,0.7162790697674418
133,cats,outro,0.7159916354831609
886,physicscidadenova,ef 7o ano,0.7113970588235294
673,jazzvestibular,outro,0.7111111111111111
492,colsantacatarinape,em 2a serie,0.7105263157894737
910,physicsumarizal,ef 7o ano,0.7098497193554227
808,overmossoro,em 3a serie,0.7096774193548387
564,eacorcovado,em 3a serie,0.7094594594594594
339,colegioflamingo,em 3a serie,0.7061166429587482
816,overpontanegra,ef 4o ano,0.7057057057057057
668,isem,ef 7o ano,0.7054820415879017
940,plannetataboao,ef 1o ano,0.7035766780989711
941,plannetataboao,ef 2o ano,0.7028566094100075
585,einsteinassis,ef 7o ano,0.7021943573667712
877,physicsbatistacampos,ef 6o ano,0.7011217948717948
888,physicscidadenova,ef 9o ano,0.7002551020408163
85,aescobjetivo,ef 4o ano,0.6984924623115578
104,amadeus,em 1a serie,0.6975528025995126
773,overabelcabral,ef 8o ano,0.6974862444708168
1096,stellamarisxaxim,em 3a serie,0.696969696969697
164,cem,ef 6o ano,0.6963036963036963
570,eccos,ef 6o ano,0.6958128078817734
887,physicscidadenova,ef 8o ano,0.6949910554561717
683,magister,ef 3o ano,0.6945690084703537
431,colegioplanck,em 3a serie,0.6935501838030522
672,itamarati,ef 8o ano,0.6933333333333334
897,physicsmacapa,ef 7o ano,0.6928783382789317
832,overzonanorte,ef 7o ano,0.6924144310823311
522,coopermundi,ef 7o ano,0.6923076923076923
834,overzonanorte,ef 9o ano,0.6908324128928607
288,colegioeag,ef 4o ano,0.6904761904761905
37,acessofazendariogrande,ef 8o ano,0.6902145473574045
77,acessosjpinhais,em 3a serie,0.6894664842681258
1000,provaspoliedro,ef 6o ano,0.6893922892615988
331,colegioensitec,ef 7o ano,0.6879491431730238
844,physicsalcindocacela,em 1a serie,0.6872019077901431
792,overmarciliofurtado,ef 7o ano,0.6871880199667221
1133,villalobos,em 1a serie,0.6868303268683033
456,colegiosete,ef 5o ano,0.6833628318584071
707,mariliamattoso,em 3a serie,0.6824532399753639
218,colegioarena,em 1a serie,0.6824203365556749
731,mundialfranciscobeltrao,ef 6o ano,0.6818181818181818
709,master,ef 1o ano,0.6818181818181818
584,einsteinassis,ef 6o ano,0.6810506566604128
794,overmarciliofurtado,ef 9o ano,0.679541001959138
430,colegioplanck,em 2a serie,0.679349425964086
909,physicsumarizal,ef 6o ano,0.6749831422791639
821,overpontanegra,ef 9o ano,0.6747313792851399
345,colegiofuturageracao,ef 8o ano,0.6738095238095239
772,overabelcabral,ef 7o ano,0.6736125877099723
13,acessoboqueirao,ef 8o ano,0.6730789669465406
49,acessohauer,ef 7o ano,0.6713843432109686
658,invictus,ef 9o ano,0.6707779886148008
572,eccos,ef 8o ano,0.6707774798927614
59,acessosantafelicidade,ef 7o ano,0.667107135596666
843,physicsalcindocacela,ef 9o ano,0.6671059567738534
979,prismapatrocinio,ef 9o ano,0.6667937476172322
568,eccos,ef 4o ano,0.6666666666666666
686,magister,outro,0.6666666666666666
845,physicsalcindocacela,em 2a serie,0.6662943935671208
141,cbpdigital,ef 8o ano,0.6657929226736566
487,colegioup,ef 9o ano,0.6654841570587761
19,acessocampolargo,ef 6o ano,0.6633569739952718
60,acessosantafelicidade,ef 8o ano,0.6633027522935779
657,invictus,ef 8o ano,0.6632270168855535
779,overjoaopessoa,ef 9o ano,0.6628387689480937
831,overzonanorte,ef 6o ano,0.6617398648648649
576,educandarioterciocorreia,ef 4o ano,0.6615120274914089
981,prismapatrocinio,em 2a serie,0.6613116197183099
350,colegioglobal,ef 4o ano,0.6593406593406593
84,aescobjetivo,ef 3o ano,0.6593103448275862
959,portinari,em 3a serie,0.6589727079102482
973,prismapatrocinio,ef 2o ano,0.658775871890626
793,overmarciliofurtado,ef 8o ano,0.6584362139917695
866,physicsaugustomontenegro,ef 8o ano,0.6554054054054054
1131,villalobos,ef 8o ano,0.6549125979505727
978,prismapatrocinio,ef 8o ano,0.6541758510898849
867,physicsaugustomontenegro,ef 9o ano,0.6537313432835821
1109,universitariolondrina,ef 9o ano,0.6518027104582776
635,institutosaojose,em 1a serie,0.6502487562189054
759,objetivolorena,em 2a serie,0.6494817964390114
853,physicsalmirantebarroso,ef 6o ano,0.6488857278330963
290,colegioeag,ef 6o ano,0.6480938416422287
454,colegiosete,ef 3o ano,0.647633744855967
977,prismapatrocinio,ef 7o ano,0.6461080391322841
408,colegiomundial,em 1a serie,0.6451612903225806
484,colegioup,ef 6o ano,0.6448438168592212
4,acessoalmirantetamandare,ef 6o ano,0.6445887445887446
857,physicsalmirantebarroso,em 1a serie,0.6442789132397603
396,colegiojoaopaulo,em 1a serie,0.6441207324051116
803,overmossoro,ef 6o ano,0.641399416909621
57,acessosantafelicidade,ef 5o ano,0.6407713498622589
958,portinari,em 2a serie,0.6404668927970812
894,physicsconselheirofurtado,em 1a serie,0.6404587536271936
83,aescobjetivo,ef 2o ano,0.640033291718685
957,portinari,em 1a serie,0.639731257189537
701,mariliamattoso,ef 6o ano,0.6396424899153682
1030,sagradafamilia,em 1a serie,0.6387030365414308
47,acessohauer,ef 5o ano,0.637782640408461
1135,villalobos,em 3a serie,0.6375513933302878
428,colegioplanck,ef 9o ano,0.6360160233066279
697,maplebearslz,em 2a serie,0.6355795148247978
452,colegiosete,ef 1o ano,0.6354410616705699
208,colegioalphaunis,em 1a serie,0.6344961240310077
885,physicscidadenova,ef 6o ano,0.6341463414634146
864,physicsaugustomontenegro,ef 6o ano,0.6326841144248326
858,physicsalmirantebarroso,em 2a serie,0.6323422124948842
344,colegiofuturageracao,ef 7o ano,0.6319672131147541
