,namespace,grade,Tempo de correção por aluno por questão
174,magister,ef 4o ano,0 days 02:17:56.859981
175,magister,ef 5o ano,0 days 00:21:36.781124
176,maplebearslz,ef 4o ano,0 days 00:07:14.520914750
177,maplebearslz,ef 5o ano,0 days 02:58:52.116152500
178,pioxi,ef 6o ano,4 days 19:16:37.501589142
179,pioxi,ef 7o ano,0 days 00:41:38.407070500
180,pioxi,ef 8o ano,0 days 01:40:27.974090500
181,pioxiicolegio,em 1a serie,0 days 00:19:59.333028500
182,pioxiicolegio,em 2a serie,0 days 00:42:31.736561750
183,pioxiicolegio,em 3a serie,0 days 00:21:47.300386
184,portinari,ef 4o ano,0 days 00:51:37.311368
185,portinari,ef 5o ano,0 days 00:51:17.944332833
186,portinari,ef 7o ano,-1 days +23:59:09.523782
187,portinari,ef 9o ano,-1 days +23:57:30.591283
188,porto,ef 7o ano,-1 days +22:56:22.150674
189,porto,em 2a serie,0 days 01:13:08.087399
190,progressaodc,em 3a serie,0 days 11:14:43.143501500
191,progressaoig,ef 6o ano,0 days 05:18:36.695122333
192,progressaoig,ef 7o ano,0 days 01:33:08.404853333
193,provaspoliedro,ef 6o ano,0 days 02:40:30.764730142
194,provaspoliedro,ef 7o ano,0 days 05:37:40.987703583
195,provaspoliedro,ef 8o ano,0 days 11:16:31.398596409
196,provaspoliedro,ef 9o ano,0 days 15:21:34.559002037
197,provaspoliedro,em 1a serie,0 days 05:15:50.356269666
198,provaspoliedro,em 2a serie,2 days 03:32:27.285133500
199,provaspoliedro,outro,1 days 08:40:00.632885529
200,psantagema,ef 6o ano,2 days 23:26:41.646599
201,psantagema,ef 7o ano,0 days 02:30:23.906440
202,psantagema,ef 8o ano,0 days 18:02:39.649500400
203,psantagema,em 3a serie,0 days 19:48:09.768284
204,psantagema,outro,0 days 01:14:35.453937
205,santoamerico,ef 6o ano,0 days 00:17:45.065795
206,santoamerico,ef 7o ano,0 days 00:35:24.651009500
207,santoamerico,outro,-1 days +23:49:58.041453
208,spdacruz,ef 6o ano,1 days 01:04:07.724389454
209,spdacruz,ef 7o ano,0 days 22:07:55.409603642
210,spdacruz,ef 8o ano,0 days 04:36:50.946727263
211,spdacruz,ef 9o ano,1 days 00:38:30.745226238
212,spdacruz,em 1a serie,0 days 04:03:59.986294333
213,spdacruz,em 2a serie,0 days 07:51:09.860396300
214,spdacruz,em 3a serie,0 days 05:35:08.337280285
215,stellamarisjuveve,ef 3o ano,0 days 00:00:20.643530
216,stellamarisjuveve,ef 4o ano,0 days 01:19:14.700613500
