,namespace,grade,Número de AAs por turma
635,master,ef 2o ano,1.0454545454545454
636,master,ef 3o ano,0.9565217391304348
637,master,ef 4o ano,1.127659574468085
638,master,ef 5o ano,1.08
639,master,ef 6o ano,1.3461538461538463
640,master,ef 7o ano,1.32
641,master,ef 8o ano,1.4
642,master,ef 9o ano,1.6
643,master,em 1a serie,2.473684210526316
644,master,em 2a serie,2.5555555555555554
645,master,em 3a serie,3.3333333333333335
646,master,outro,2.409090909090909
647,meta,outro,3.0
648,minhalista,outro,6.0
649,moaciralves,ef 8o ano,3.0
650,moaciralves,ef 9o ano,2.0
651,monsenhorgoncalo,outro,1.0
652,montessori,em 1a serie,2.0
653,montessori,em 2a serie,2.0
654,montessori,em 3a serie,4.0
655,mundialfranciscobeltrao,ef 6o ano,1.0
656,navegasas,ef 5o ano,1.0
657,novotempo,ef 7o ano,0.5
658,novotempo,ef 9o ano,0.6666666666666666
659,novotempo,em 1a serie,2.0
660,novotempo,em 2a serie,2.0
661,novotempo,em 3a serie,2.0
662,nucleocriativo,ef 1o ano,7.0
663,nucleocriativo,ef 2o ano,7.0
664,nucleocriativo,ef 3o ano,7.0
665,nucleocriativo,ef 4o ano,10.0
666,nucleocriativo,ef 5o ano,11.0
667,nucleocriativo,ef 6o ano,16.0
668,nucleocriativo,ef 7o ano,14.0
669,nucleocriativo,ef 8o ano,14.0
670,nucleocriativo,ef 9o ano,15.0
671,nucleocriativo,em 1a serie,18.0
672,objetivolorena,ef 4o ano,9.0
673,objetivolorena,ef 5o ano,9.5
674,objetivolorena,ef 6o ano,6.5
675,objetivolorena,ef 7o ano,4.555555555555555
676,objetivolorena,ef 8o ano,7.4
677,objetivolorena,ef 9o ano,4.555555555555555
678,objetivolorena,em 1a serie,3.8
679,objetivolorena,em 2a serie,11.0
680,objetivolorena,em 3a serie,18.0
681,objetivolorena,outro,4.0
682,oficinadoestudante,outro,2.0
683,overabelcabral,ef 1o ano,2.6666666666666665
684,overabelcabral,ef 2o ano,2.0
685,overabelcabral,ef 3o ano,3.0
686,overabelcabral,ef 4o ano,2.2
687,overabelcabral,ef 5o ano,6.666666666666667
688,overabelcabral,ef 6o ano,7.333333333333333
689,overabelcabral,ef 7o ano,7.5
690,overabelcabral,ef 8o ano,9.142857142857142
691,overabelcabral,ef 9o ano,11.25
692,overabelcabral,em 1a serie,24.5
693,overabelcabral,em 2a serie,28.0
694,overabelcabral,em 3a serie,6.0
695,overjoaopessoa,ef 9o ano,24.0
696,overjoaopessoa,em 1a serie,39.0
697,overjoaopessoa,em 2a serie,40.0
698,overjoaopessoa,em 3a serie,4.0
699,overjoaopessoa,outro,0.5
700,overlimaesilva,ef 1o ano,7.0
701,overlimaesilva,ef 2o ano,4.0
702,overlimaesilva,ef 3o ano,12.0
703,overlimaesilva,ef 4o ano,9.75
704,overlimaesilva,ef 5o ano,6.333333333333333
705,overmarciliofurtado,ef 6o ano,3.375
706,overmarciliofurtado,ef 7o ano,7.25
707,overmarciliofurtado,ef 8o ano,13.0
708,overmarciliofurtado,ef 9o ano,32.0
709,overmarciliofurtado,em 1a serie,26.5
710,overmarciliofurtado,em 2a serie,53.0
711,overmarciliofurtado,em 3a serie,6.0
712,overmossoro,ef 1o ano,2.0
713,overmossoro,ef 2o ano,12.0
714,overmossoro,ef 4o ano,12.0
715,overmossoro,ef 5o ano,8.0
716,overmossoro,ef 6o ano,20.0
717,overmossoro,ef 7o ano,23.0
718,overmossoro,ef 8o ano,23.0
719,overmossoro,ef 9o ano,27.0
720,overmossoro,em 1a serie,41.0
721,overmossoro,em 2a serie,1.0
722,overmossoro,em 3a serie,4.0
723,overmossoro,outro,0.3333333333333333
724,overnascimentodecastro,outro,0.7142857142857143
725,overpontanegra,ef 1o ano,4.0
726,overpontanegra,ef 2o ano,4.0
727,overpontanegra,ef 3o ano,2.5
728,overpontanegra,ef 4o ano,4.5
729,overpontanegra,ef 5o ano,3.3333333333333335
730,overpontanegra,ef 6o ano,7.25
731,overpontanegra,ef 7o ano,9.666666666666666
732,overpontanegra,ef 8o ano,25.0
733,overpontanegra,ef 9o ano,8.8
734,overpontanegra,em 1a serie,49.0
735,overpontanegra,em 2a serie,51.0
736,overpontanegra,em 3a serie,6.0
737,overzonanorte,ef 1o ano,9.0
738,overzonanorte,ef 2o ano,11.0
739,overzonanorte,ef 3o ano,2.0
740,overzonanorte,ef 4o ano,17.0
741,overzonanorte,ef 5o ano,9.5
742,overzonanorte,ef 6o ano,25.0
743,overzonanorte,ef 7o ano,24.0
744,overzonanorte,ef 8o ano,23.0
745,overzonanorte,ef 9o ano,34.0
746,overzonanorte,em 1a serie,48.0
747,overzonanorte,em 2a serie,49.0
748,overzonanorte,em 3a serie,7.0
749,overzonanorte,outro,1.25
750,pauloviana,ef 9o ano,0.5
751,pearson,em 3a serie,1.0
752,physicsalcindocacela,ef 9o ano,13.0
753,physicsalcindocacela,em 1a serie,12.0
754,physicsalcindocacela,em 2a serie,14.0
755,physicsalcindocacela,em 3a serie,4.0
756,physicsalcindocacela,outro,1.0
757,physicsalmirantebarroso,ef 2o ano,1.5
758,physicsalmirantebarroso,ef 3o ano,4.0
759,physicsalmirantebarroso,ef 4o ano,4.0
760,physicsalmirantebarroso,ef 5o ano,7.0
761,physicsalmirantebarroso,ef 6o ano,9.0
762,physicsalmirantebarroso,ef 7o ano,8.0
763,physicsalmirantebarroso,ef 8o ano,8.0
764,physicsalmirantebarroso,ef 9o ano,5.0
765,physicsalmirantebarroso,em 1a serie,18.0
766,physicsalmirantebarroso,em 2a serie,18.0
767,physicsalmirantebarroso,em 3a serie,3.8
768,physicsaugustomontenegro,ef 2o ano,7.0
769,physicsaugustomontenegro,ef 3o ano,8.0
770,physicsaugustomontenegro,ef 4o ano,9.0
771,physicsaugustomontenegro,ef 5o ano,8.0
772,physicsaugustomontenegro,ef 6o ano,8.0
773,physicsaugustomontenegro,ef 7o ano,9.0
774,physicsaugustomontenegro,ef 8o ano,9.0
775,physicsaugustomontenegro,ef 9o ano,7.0
776,physicsaugustomontenegro,em 1a serie,18.0
777,physicsaugustomontenegro,em 2a serie,17.0
778,physicsaugustomontenegro,em 3a serie,20.0
779,physicsaugustomontenegro,outro,4.0
780,physicsbatistacampos,ef 2o ano,8.0
781,physicsbatistacampos,ef 3o ano,8.0
782,physicsbatistacampos,ef 4o ano,8.0
783,physicsbatistacampos,ef 5o ano,9.0
784,physicsbatistacampos,ef 6o ano,4.0
785,physicsbatistacampos,ef 7o ano,4.0
786,physicsbatistacampos,ef 8o ano,8.0
787,physicsbatistacampos,ef 9o ano,4.0
788,physicscidadenova,ef 2o ano,8.0
789,physicscidadenova,ef 3o ano,8.0
790,physicscidadenova,ef 4o ano,9.0
791,physicscidadenova,ef 5o ano,7.5
792,physicscidadenova,ef 6o ano,7.0
793,physicscidadenova,ef 7o ano,3.5
794,physicscidadenova,ef 8o ano,7.0
795,physicscidadenova,ef 9o ano,7.0
796,physicscidadenova,em 1a serie,4.5
797,physicscidadenova,em 2a serie,6.0
798,physicscidadenova,em 3a serie,10.0
799,physicscidadenova,outro,4.0
800,physicsconselheirofurtado,em 1a serie,7.666666666666667
801,physicsconselheirofurtado,em 2a serie,8.666666666666666
802,physicsconselheirofurtado,em 3a serie,4.4
803,physicsmacapa,ef 7o ano,6.5
804,physicsmacapa,ef 8o ano,10.0
805,physicsmacapa,ef 9o ano,10.0
806,physicsmacapa,em 1a serie,4.5
807,physicsmacapa,em 2a serie,16.0
808,physicsmacapa,em 3a serie,19.0
809,physicsmacapa,outro,3.0
810,physicsumarizal,ef 2o ano,3.0
811,physicsumarizal,ef 3o ano,5.0
812,physicsumarizal,ef 4o ano,9.0
813,physicsumarizal,ef 5o ano,2.6666666666666665
814,physicsumarizal,ef 6o ano,7.0
815,physicsumarizal,ef 7o ano,10.0
816,physicsumarizal,ef 8o ano,7.5
817,physicsumarizal,ef 9o ano,7.0
818,physicsumarizal,em 1a serie,18.0
819,physicsumarizal,em 2a serie,18.0
820,physicsumarizal,em 3a serie,21.0
821,pioxi,ef 1o ano,0.8571428571428571
822,pioxi,ef 2o ano,1.375
823,pioxi,ef 3o ano,1.4444444444444444
824,pioxi,ef 4o ano,1.0909090909090908
825,pioxi,ef 5o ano,1.3
826,pioxi,ef 6o ano,2.3076923076923075
827,pioxi,ef 7o ano,1.5454545454545454
828,pioxi,ef 8o ano,2.3076923076923075
829,pioxi,ef 9o ano,1.5263157894736843
830,pioxi,em 1a serie,1.5
831,pioxi,em 2a serie,2.0
832,pioxi,em 3a serie,1.125
833,pioxi,outro,1.0
834,pioxiicolegio,ef 6o ano,0.3333333333333333
835,pioxiicolegio,ef 7o ano,0.3333333333333333
836,pioxiicolegio,ef 8o ano,0.3333333333333333
837,pioxiicolegio,ef 9o ano,5.8
838,pioxiicolegio,em 1a serie,7.0
839,pioxiicolegio,em 2a serie,5.0
840,pioxiicolegio,em 3a serie,5.5
841,pioxiicolegio,outro,1.0
842,plannetaosasco,ef 2o ano,0.5
843,plannetaosasco,ef 3o ano,0.5
844,plannetataboao,ef 1o ano,0.4423076923076923
845,plannetataboao,ef 2o ano,0.4528301886792453
846,plannetataboao,ef 3o ano,0.4528301886792453
847,plannetataboao,ef 4o ano,0.46153846153846156
848,plannetataboao,ef 5o ano,0.46601941747572817
849,portinari,ef 2o ano,1.0
850,portinari,ef 3o ano,9.0
851,portinari,ef 4o ano,10.0
852,portinari,ef 5o ano,9.0
853,portinari,ef 6o ano,2.75
854,portinari,ef 7o ano,3.5
855,portinari,ef 8o ano,3.4
856,portinari,ef 9o ano,3.5
857,portinari,em 1a serie,1.1290322580645162
858,portinari,em 2a serie,1.0
859,portinari,em 3a serie,1.6666666666666667
860,porto,ef 6o ano,13.0
861,porto,ef 7o ano,6.333333333333333
862,porto,ef 8o ano,11.666666666666666
863,porto,ef 9o ano,17.666666666666668
864,porto,em 1a serie,6.2
865,porto,em 2a serie,6.9
866,porto,em 3a serie,8.666666666666666
867,portoseguro,ef 4o ano,0.6190476190476191
868,positivoon,em 3a serie,1.0
869,prevest,outro,1.0
870,prismapatrocinio,ef 2o ano,48.0
871,prismapatrocinio,ef 4o ano,17.0
872,prismapatrocinio,ef 5o ano,10.5
873,prismapatrocinio,ef 6o ano,29.0
874,prismapatrocinio,ef 7o ano,27.0
875,prismapatrocinio,ef 8o ano,18.333333333333332
876,prismapatrocinio,ef 9o ano,14.5
877,prismapatrocinio,em 1a serie,23.0
878,prismapatrocinio,em 2a serie,47.0
879,prismapatrocinio,em 3a serie,21.333333333333332
880,prismapatrocinio,outro,6.75
881,profederal,outro,13.11111111111111
882,progressaodc,em 1a serie,20.0
883,progressaodc,em 2a serie,39.0
884,progressaodc,em 3a serie,26.5
885,progressaoig,ef 6o ano,12.5
886,progressaoig,ef 7o ano,9.0
887,progressaoig,ef 9o ano,17.0
888,progressaoig,em 1a serie,9.25
889,progressaoig,em 2a serie,1.0
890,progressaoig,em 3a serie,11.25
891,progressaoig,outro,1.0
892,provaspoliedro,ef 1o ano,1.0
893,provaspoliedro,ef 6o ano,1.5
894,provaspoliedro,ef 7o ano,1.1904761904761905
895,provaspoliedro,ef 8o ano,1.2941176470588236
896,provaspoliedro,ef 9o ano,1.2040816326530612
897,provaspoliedro,em 1a serie,2.1551724137931036
898,provaspoliedro,em 2a serie,2.1875
899,provaspoliedro,em 3a serie,1.9803921568627452
900,provaspoliedro,outro,1.8387096774193548
901,psantagema,ef 2o ano,3.0
902,psantagema,ef 6o ano,2.0
903,psantagema,ef 7o ano,2.6666666666666665
904,psantagema,ef 8o ano,4.0
905,psantagema,ef 9o ano,3.5
906,psantagema,em 1a serie,2.6666666666666665
907,psantagema,em 2a serie,2.0
908,psantagema,em 3a serie,4.0
909,psantagema,outro,1.0
910,qescola,ef 1o ano,1.0
911,qescola,ef 5o ano,1.0
912,qescola,ef 6o ano,3.5
913,qescola,ef 7o ano,0.3333333333333333
914,qescola,em 1a serie,4.0
915,qescola,em 2a serie,5.0
916,qescola,em 3a serie,8.0
917,qescola,outro,1.3333333333333333
918,rede,ef 9o ano,1.0
919,saberviver,ef 4o ano,0.25
920,saberviver,ef 5o ano,0.25
921,sagradafamilia,em 1a serie,3.0
922,sagradafamilia,em 2a serie,4.0
923,sagradafamilia,em 3a serie,2.5
924,santadoroteia,em 1a serie,3.0
925,santadoroteia,em 2a serie,3.0
926,santadoroteia,em 3a serie,3.0
927,santamariacn,em 2a serie,6.0
928,santamariacn,em 3a serie,9.0
929,santoamerico,ef 6o ano,1.5
930,santoamerico,ef 7o ano,1.8
931,santoamerico,ef 8o ano,2.0
932,santoamerico,ef 9o ano,2.4
933,santoamerico,em 1a serie,9.5
934,santoamerico,em 2a serie,5.714285714285714
935,santoamerico,em 3a serie,13.25
936,santoamerico,outro,0.9166666666666666
937,santoantonio,em 3a serie,0.5
938,sas,em 1a serie,2.0
939,sasadapt,ef 1o ano,2.0
940,seletivoeducallis,ef 5o ano,1.0
941,seletivoeducallis,em 1a serie,1.0
942,seletivoeducallis,em 2a serie,2.0
943,simbios,outro,0.6666666666666666
944,simuladoita,outro,1.5
945,sobral,outro,2.0
946,souhabilis,em 3a serie,25.0
947,souhabilis,outro,11.0
948,spdacruz,ef 6o ano,3.6666666666666665
949,spdacruz,ef 7o ano,2.7142857142857144
950,spdacruz,ef 8o ano,2.5714285714285716
951,spdacruz,ef 9o ano,3.5384615384615383
952,spdacruz,em 1a serie,3.3
953,spdacruz,em 2a serie,4.888888888888889
954,spdacruz,em 3a serie,2.9411764705882355
955,stellamarisaguaverde,ef 2o ano,2.0
956,stellamarisaguaverde,ef 3o ano,3.0
957,stellamarisaguaverde,ef 4o ano,3.0
958,stellamarisaguaverde,ef 5o ano,6.5
959,stellamarisaguaverde,ef 6o ano,16.0
960,stellamarisaguaverde,ef 7o ano,17.0
961,stellamarisjuveve,ef 2o ano,1.6666666666666667
962,stellamarisjuveve,ef 3o ano,10.25
963,stellamarisjuveve,ef 4o ano,10.333333333333334
964,stellamarisjuveve,ef 5o ano,12.333333333333334
965,stellamarisjuveve,ef 6o ano,13.0
966,stellamarisjuveve,ef 7o ano,12.333333333333334
967,stellamarisjuveve,ef 8o ano,12.0
968,stellamarisjuveve,ef 9o ano,16.5
969,stellamarisjuveve,em 1a serie,68.5
970,stellamarisjuveve,em 2a serie,67.0
971,stellamarisjuveve,em 3a serie,6.0
972,stellamarisjuveve,outro,6.0
973,stellamarisxaxim,ef 2o ano,6.0
974,stellamarisxaxim,ef 3o ano,6.5
975,stellamarisxaxim,ef 4o ano,7.0
976,stellamarisxaxim,ef 5o ano,7.333333333333333
977,stellamarisxaxim,ef 6o ano,17.5
978,stellamarisxaxim,ef 7o ano,9.0
979,stellamarisxaxim,ef 8o ano,21.0
980,stellamarisxaxim,ef 9o ano,22.0
981,stellamarisxaxim,em 1a serie,59.0
982,stellamarisxaxim,em 2a serie,56.0
983,stellamarisxaxim,em 3a serie,5.0
984,studos,em 1a serie,1.0
985,testevictorhugo,ef 7o ano,2.0
986,testevictorhugo,em 1a serie,3.0
987,universitariolondrina,ef 2o ano,0.5
988,universitariolondrina,ef 3o ano,0.6666666666666666
989,universitariolondrina,ef 4o ano,2.0
990,universitariolondrina,ef 5o ano,1.75
991,universitariolondrina,ef 6o ano,13.666666666666666
992,universitariolondrina,ef 7o ano,15.0
993,universitariolondrina,ef 8o ano,8.5
994,universitariolondrina,ef 9o ano,14.75
995,universitariolondrina,em 1a serie,24.4
996,universitariolondrina,em 2a serie,32.75
997,universitariolondrina,em 3a serie,12.833333333333334
998,universitariolondrina,outro,5.3
999,universobarcarena,ef 1o ano,14.0
1000,universobarcarena,ef 2o ano,12.0
1001,universobarcarena,ef 3o ano,15.0
1002,universobarcarena,ef 4o ano,13.0
1003,universobarcarena,ef 5o ano,19.0
1004,universobarcarena,ef 6o ano,11.5
1005,universobarcarena,ef 7o ano,7.333333333333333
1006,universobarcarena,ef 8o ano,12.5
1007,universobarcarena,ef 9o ano,14.0
1008,universobarcarena,em 1a serie,18.5
1009,universobarcarena,em 2a serie,12.666666666666666
1010,universobarcarena,em 3a serie,10.0
1011,universos,ef 9o ano,1.0
1012,villalobos,ef 4o ano,2.6
1013,villalobos,ef 5o ano,3.75
1014,villalobos,ef 6o ano,11.5
1015,villalobos,ef 7o ano,10.5
1016,villalobos,ef 8o ano,12.5
1017,villalobos,ef 9o ano,10.0
1018,villalobos,em 1a serie,9.4
1019,villalobos,em 2a serie,28.5
1020,villalobos,em 3a serie,25.0
1021,villalobos,outro,0.5
1022,vitae,ef 2o ano,10.0
1023,wilsondeandradebarreto,em 1a serie,1.0
