,namespace,numero_ex
219,sas,694.5
220,sasadapt,8.0
221,seletivoeducallis,25.0
222,simbios,186.0
223,simuladoita,50.5
224,sobral,15.0
225,souhabilis,755.0
226,spdacruz,38.0
227,stellamarisaguaverde,83.15384615384616
228,stellamarisjuveve,202.21428571428572
229,stellamarisxaxim,192.0
230,studos,2.0
231,testevictorhugo,25.6
232,universitariolondrina,405.93220338983053
233,universobarcarena,204.04347826086956
234,universos,2.0
235,villalobos,64.75862068965517
236,vitae,130.0
237,wilsondeandradebarreto,8.0
