,namespace,Semana,creation,Número de visualizações de relatórios de atividade avaliativa,user_id
606,overmarciliofurtado,0,2021-09-26,27,53
607,overmarciliofurtado,0,2021-09-27,4,53
608,overmarciliofurtado,0,2021-09-29,3,53
609,overmarciliofurtado,0,2021-10-01,1,53
610,overmarciliofurtado,0,2021-10-02,1,53
611,overmossoro,0,2021-09-24,16,40
612,overmossoro,0,2021-09-25,41,40
613,overmossoro,0,2021-09-26,36,40
614,overmossoro,0,2021-09-27,17,40
615,overmossoro,0,2021-09-28,7,40
616,overmossoro,0,2021-09-29,2,40
617,overmossoro,0,2021-09-30,6,40
618,overmossoro,0,2021-10-01,1,40
619,overpontanegra,0,2021-09-24,84,68
620,overpontanegra,0,2021-09-25,44,68
621,overpontanegra,0,2021-09-26,58,68
622,overpontanegra,0,2021-09-27,82,68
623,overpontanegra,0,2021-09-28,29,68
624,overpontanegra,0,2021-09-29,5,68
625,overpontanegra,0,2021-09-30,29,68
626,overpontanegra,0,2021-10-01,20,68
627,overpontanegra,0,2021-10-02,2,68
628,overzonanorte,0,2021-09-24,51,45
629,overzonanorte,0,2021-09-25,42,45
630,overzonanorte,0,2021-09-26,57,45
631,overzonanorte,0,2021-09-27,34,45
632,overzonanorte,0,2021-09-28,10,45
633,overzonanorte,0,2021-09-29,48,45
634,overzonanorte,0,2021-09-30,12,45
635,overzonanorte,0,2021-10-01,22,45
636,physicsalmirantebarroso,0,2021-09-28,4,112
637,physicsaugustomontenegro,0,2021-09-24,6,80
638,physicsaugustomontenegro,0,2021-09-25,1,80
639,physicsaugustomontenegro,0,2021-09-26,6,80
640,physicsaugustomontenegro,0,2021-09-27,7,80
641,physicsaugustomontenegro,0,2021-09-28,2,80
642,physicsaugustomontenegro,0,2021-09-29,2,80
643,physicsaugustomontenegro,0,2021-09-30,7,80
644,physicsaugustomontenegro,0,2021-10-01,1,80
645,physicscidadenova,0,2021-09-24,2,93
646,physicscidadenova,0,2021-09-25,4,93
647,physicscidadenova,0,2021-09-26,4,93
648,physicscidadenova,0,2021-09-28,2,93
649,physicsmacapa,0,2021-09-24,2,64
650,physicsumarizal,0,2021-09-27,32,70
651,physicsumarizal,0,2021-09-29,1,70
652,physicsumarizal,0,2021-09-30,7,70
653,physicsumarizal,0,2021-10-01,1,70
654,pioxi,0,2021-09-24,88,64
655,pioxi,0,2021-09-25,27,64
656,pioxi,0,2021-09-26,82,64
657,pioxi,0,2021-09-27,147,64
658,pioxi,0,2021-09-28,120,64
659,pioxi,0,2021-09-29,78,64
660,pioxi,0,2021-09-30,60,64
661,pioxi,0,2021-10-01,60,64
662,pioxi,0,2021-10-02,7,64
663,pioxiicolegio,0,2021-09-24,10,43
664,pioxiicolegio,0,2021-09-25,5,43
665,pioxiicolegio,0,2021-09-26,3,43
666,pioxiicolegio,0,2021-09-27,17,43
667,pioxiicolegio,0,2021-09-28,16,43
668,pioxiicolegio,0,2021-09-29,41,43
669,pioxiicolegio,0,2021-09-30,10,43
670,pioxiicolegio,0,2021-10-01,17,43
671,pioxiicolegio,0,2021-10-02,10,43
672,plenuspetrolina,0,2021-09-30,8,3
673,plenusprevest,0,2021-09-24,4,2
674,portinari,0,2021-09-24,56,75
675,portinari,0,2021-09-26,6,75
676,portinari,0,2021-09-27,137,75
677,portinari,0,2021-09-28,39,75
678,portinari,0,2021-09-29,65,75
679,portinari,0,2021-09-30,142,75
680,portinari,0,2021-10-01,66,75
681,portinari,0,2021-10-02,8,75
682,porto,0,2021-09-24,94,68
683,porto,0,2021-09-25,44,68
684,porto,0,2021-09-26,59,68
685,porto,0,2021-09-27,163,68
686,porto,0,2021-09-28,153,68
687,porto,0,2021-09-29,107,68
688,porto,0,2021-09-30,224,68
689,porto,0,2021-10-01,115,68
690,porto,0,2021-10-02,58,68
691,portoseguro,0,2021-09-24,18,30
692,portoseguro,0,2021-09-25,15,30
693,portoseguro,0,2021-09-26,8,30
694,portoseguro,0,2021-09-27,7,30
695,portoseguro,0,2021-09-28,5,30
696,portoseguro,0,2021-09-29,7,30
697,portoseguro,0,2021-09-30,1,30
698,portoseguro,0,2021-10-01,2,30
699,primeirodemaio,0,2021-09-24,1,40
700,prismapatrocinio,0,2021-09-24,40,48
701,prismapatrocinio,0,2021-09-25,64,48
702,prismapatrocinio,0,2021-09-26,24,48
703,prismapatrocinio,0,2021-09-27,50,48
704,prismapatrocinio,0,2021-09-28,24,48
705,prismapatrocinio,0,2021-09-29,34,48
706,prismapatrocinio,0,2021-09-30,40,48
707,prismapatrocinio,0,2021-10-01,50,48
708,prismapatrocinio,0,2021-10-02,3,48
709,profederal,0,2021-09-24,6,24
710,profederal,0,2021-09-25,1,24
711,profederal,0,2021-09-27,5,24
712,profederal,0,2021-09-28,18,24
713,profederal,0,2021-09-29,37,24
714,profederal,0,2021-09-30,14,24
715,profederal,0,2021-10-01,5,24
716,profederal,0,2021-10-02,1,24
717,progressaodc,0,2021-09-26,8,24
718,progressaodc,0,2021-09-27,9,24
719,progressaodc,0,2021-09-28,1,24
720,progressaodc,0,2021-09-30,17,24
721,progressaodc,0,2021-10-01,1,24
722,progressaoig,0,2021-09-24,27,27
723,progressaoig,0,2021-09-25,5,27
724,progressaoig,0,2021-09-26,13,27
725,progressaoig,0,2021-09-27,3,27
726,progressaoig,0,2021-09-28,17,27
727,progressaoig,0,2021-09-29,18,27
728,progressaoig,0,2021-09-30,6,27
729,progressaoig,0,2021-10-01,12,27
730,progressaoig,0,2021-10-02,32,27
731,provaspoliedro,0,2021-09-24,49,255
732,provaspoliedro,0,2021-09-25,37,255
733,provaspoliedro,0,2021-09-26,16,255
734,provaspoliedro,0,2021-09-27,87,255
735,provaspoliedro,0,2021-09-28,140,255
736,provaspoliedro,0,2021-09-29,139,255
737,provaspoliedro,0,2021-09-30,100,255
738,provaspoliedro,0,2021-10-01,125,255
739,provaspoliedro,0,2021-10-02,375,255
740,psantagema,0,2021-09-29,4,16
741,psantagema,0,2021-09-30,1,16
742,qescola,0,2021-09-24,11,439
743,qescola,0,2021-09-27,3,439
744,qescola,0,2021-09-28,6,439
745,qescola,0,2021-09-29,24,439
746,qescola,0,2021-09-30,1,439
747,qescola,0,2021-10-01,8,439
748,santamariacn,0,2021-09-27,5,21
749,santamariacn,0,2021-09-29,2,21
750,santamariacn,0,2021-09-30,2,21
751,santoamerico,0,2021-09-24,28,109
752,santoamerico,0,2021-09-25,1,109
753,santoamerico,0,2021-09-26,6,109
754,santoamerico,0,2021-09-27,42,109
755,santoamerico,0,2021-09-28,26,109
756,santoamerico,0,2021-09-29,68,109
757,santoamerico,0,2021-09-30,36,109
758,santoamerico,0,2021-10-01,52,109
759,sasadaptem,0,2021-09-24,10,5
760,sasadaptem,0,2021-09-25,2,5
761,spdacruz,0,2021-09-24,9,31
762,spdacruz,0,2021-09-26,1,31
763,spdacruz,0,2021-09-27,9,31
764,spdacruz,0,2021-09-29,23,31
765,spdacruz,0,2021-09-30,2,31
766,spdacruz,0,2021-10-01,8,31
767,stellamarisaguaverde,0,2021-09-24,40,39
768,stellamarisaguaverde,0,2021-09-25,17,39
769,stellamarisaguaverde,0,2021-09-26,9,39
770,stellamarisaguaverde,0,2021-09-27,29,39
771,stellamarisaguaverde,0,2021-09-28,51,39
772,stellamarisaguaverde,0,2021-09-29,6,39
773,stellamarisaguaverde,0,2021-09-30,43,39
774,stellamarisaguaverde,0,2021-10-01,7,39
775,stellamarisaguaverde,0,2021-10-02,1,39
776,stellamarisjuveve,0,2021-09-24,95,114
777,stellamarisjuveve,0,2021-09-25,24,114
778,stellamarisjuveve,0,2021-09-26,49,114
779,stellamarisjuveve,0,2021-09-27,174,114
780,stellamarisjuveve,0,2021-09-28,97,114
781,stellamarisjuveve,0,2021-09-29,112,114
782,stellamarisjuveve,0,2021-09-30,53,114
783,stellamarisjuveve,0,2021-10-01,24,114
784,stellamarisjuveve,0,2021-10-02,14,114
785,stellamarisxaxim,0,2021-09-24,105,49
786,stellamarisxaxim,0,2021-09-25,32,49
787,stellamarisxaxim,0,2021-09-26,10,49
788,stellamarisxaxim,0,2021-09-27,81,49
789,stellamarisxaxim,0,2021-09-28,56,49
790,stellamarisxaxim,0,2021-09-29,31,49
791,stellamarisxaxim,0,2021-09-30,95,49
792,stellamarisxaxim,0,2021-10-01,22,49
793,stellamarisxaxim,0,2021-10-02,16,49
794,testecoc,0,2021-10-01,3,1
795,universitariolondrina,0,2021-09-24,161,119
796,universitariolondrina,0,2021-09-25,17,119
797,universitariolondrina,0,2021-09-26,78,119
798,universitariolondrina,0,2021-09-27,73,119
799,universitariolondrina,0,2021-09-28,68,119
800,universitariolondrina,0,2021-09-29,99,119
801,universitariolondrina,0,2021-09-30,111,119
802,universitariolondrina,0,2021-10-01,111,119
803,universitariolondrina,0,2021-10-02,61,119
804,universobarcarena,0,2021-09-24,139,56
805,universobarcarena,0,2021-09-25,36,56
806,universobarcarena,0,2021-09-26,9,56
807,universobarcarena,0,2021-09-27,64,56
808,universobarcarena,0,2021-09-28,104,56
809,universobarcarena,0,2021-09-29,91,56
810,universobarcarena,0,2021-09-30,72,56
811,universobarcarena,0,2021-10-01,139,56
812,universobarcarena,0,2021-10-02,76,56
813,villalobos,0,2021-09-24,29,65
814,villalobos,0,2021-09-25,43,65
815,villalobos,0,2021-09-26,27,65
816,villalobos,0,2021-09-27,45,65
817,villalobos,0,2021-09-28,66,65
818,villalobos,0,2021-09-29,32,65
819,villalobos,0,2021-09-30,36,65
820,villalobos,0,2021-10-01,90,65
821,villalobos,0,2021-10-02,13,65
