,namespace,Porcentagem de AAs com classificação de habilidades iniciada,Porcentagem de AAs com classificação de habilidades finalizada,Porcentagem de AAs com classificação de habilidades finalizada (ao menos foi iniciada)
142,santoamerico,0.0,0.0,0.0
143,simbios,0.0,0.0,0.0
144,souhabilis,0.14285714285714285,0.14285714285714285,1.0
145,spdacruz,0.0,0.0,0.0
146,stellamarisaguaverde,0.0,0.0,0.0
147,stellamarisjuveve,0.0,0.0,0.0
148,stellamarisxaxim,0.0,0.0,0.0
149,universitariolondrina,0.0,0.0,0.0
150,universobarcarena,0.0,0.0,0.0
151,villalobos,0.02247191011235955,0.0,0.0
