,namespace,grade,Porcentagem de exercícios de AAs em relatórios de AD
184,institutoauxiliadoradf,em 1a serie,0.0
185,insa,em 3a serie,0.0
186,escolamaster,em 2a serie,0.0
187,escolamaster,em 1a serie,0.0
188,escoladofuturo,0,0.0
189,educandarioterciocorreia,ef 8o ano,0.0
190,einsteinassis,ef 8o ano,0.0
191,einsteinassis,ef 7o ano,0.0
192,einsteinassis,ef 6o ano,0.0
193,eduqo,0,0.0
194,educarse,outro,0.0
195,educandarioterciocorreia,ef 9o ano,0.0
196,educandarioterciocorreia,ef 7o ano,0.0
197,escoladinamicaiturama,0,0.0
198,educandarioterciocorreia,ef 6o ano,0.0
199,educandarioterciocorreia,ef 5o ano,0.0
200,educandarioterciocorreia,ef 4o ano,0.0
201,educandarioterciocorreia,ef 3o ano,0.0
202,educamais,ef 6o ano,0.0
203,eccos,ef 9o ano,0.0
204,einsteinassis,ef 9o ano,0.0
205,einsteinassis,em 1a serie,0.0
206,einsteinassis,em 2a serie,0.0
207,einsteinassis,em 3a serie,0.0
208,elitecuritibaemilianoperneta,em 1a serie,0.0
209,elitecuritibaemilianoperneta,em 2a serie,0.0
210,elitecuritibaemilianoperneta,em 3a serie,0.0
211,elitecuritibaemilianoperneta,outro,0.0
212,eluneonline,0,0.0
213,eluneonline,em 1a serie,0.0
214,escola,ef 4o ano,0.0
215,escolaceciliameireles,ef 2o ano,0.0
216,escolaceciliameireles,ef 3o ano,0.0
217,escolaceciliameireles,ef 4o ano,0.0
218,escolaceciliameireles,ef 5o ano,0.0
219,escolaceciliameireles,ef 6o ano,0.0
220,escoladeimpacto,0,0.0
221,integra,ef 2o ano,0.0
222,integra,ef 4o ano,0.0
223,master,ef 1o ano,0.0
224,magister,ef 4o ano,0.0
225,maplebearslz,ef 4o ano,0.0
226,maplebearslz,ef 3o ano,0.0
227,maplebearslz,ef 2o ano,0.0
228,maplebearslz,0,0.0
229,magister,outro,0.0
230,magister,ef 5o ano,0.0
231,magister,ef 3o ano,0.0
232,maplebearslz,ef 6o ano,0.0
233,magister,0,0.0
234,macvest,outro,0.0
235,litteratus,em 3a serie,0.0
236,litteratus,ef 5o ano,0.0
237,liessinbarra,ef 8o ano,0.0
238,lasalleaguasclaras,em 3a serie,0.0
239,maplebearslz,ef 5o ano,0.0
240,maplebearslz,ef 7o ano,0.0
241,integra,ef 5o ano,0.0
242,mariliamattoso,ef 7o ano,0.0
243,master,0,0.0
244,physicsalmirantebarroso,ef 4o ano,0.0
245,mariliamattoso,em 2a serie,0.0
246,mariliamattoso,em 1a serie,0.0
247,mariliamattoso,ef 9o ano,0.0
248,mariliamattoso,ef 8o ano,0.0
249,mariliamattoso,ef 6o ano,0.0
250,maplebearslz,ef 8o ano,0.0
251,mariliamattoso,ef 5o ano,0.0
252,mariliamattoso,0,0.0
253,maplebearslz,outro,0.0
254,maplebearslz,em 2a serie,0.0
255,maplebearslz,em 1a serie,0.0
256,maplebearslz,ef 9o ano,0.0
257,lasalleaguasclaras,em 2a serie,0.0
258,lasalleaguasclaras,em 1a serie,0.0
259,joaobelem,ef 9o ano,0.0
260,integradaeducativa,ef 9o ano,0.0
261,invictus,ef 7o ano,0.0
262,invictus,ef 6o ano,0.0
263,invictus,0,0.0
264,integradaeducativa,em 3a serie,0.0
265,integradaeducativa,em 2a serie,0.0
266,integradaeducativa,em 1a serie,0.0
267,integradaeducativa,ef 8o ano,0.0
268,joaobelem,ef 6o ano,0.0
269,integradaeducativa,ef 7o ano,0.0
270,integradaeducativa,ef 6o ano,0.0
271,integradaeducativa,0,0.0
272,integra,ef 8o ano,0.0
273,integra,ef 7o ano,0.0
274,integra,ef 6o ano,0.0
275,invictus,ef 8o ano,0.0
276,invictus,ef 9o ano,0.0
277,invictus,em 1a serie,0.0
278,invictus,em 2a serie,0.0
279,invictus,em 3a serie,0.0
280,invictus,outro,0.0
281,iracemarufino,infantil iii,0.0
282,isem,ef 3o ano,0.0
283,isem,ef 4o ano,0.0
284,isem,ef 5o ano,0.0
285,isem,ef 6o ano,0.0
286,isem,ef 7o ano,0.0
287,isem,ef 8o ano,0.0
288,isem,ef 9o ano,0.0
289,ismart,0,0.0
290,itamarati,ef 8o ano,0.0
291,jazzvestibular,outro,0.0
292,physicsalmirantebarroso,ef 3o ano,0.0
293,physicsalmirantebarroso,ef 9o ano,0.0
294,physicsalmirantebarroso,ef 5o ano,0.0
295,santoamerico,ef 6o ano,0.0
296,santoantonio,0,0.0
297,santoamerico,outro,0.0
298,santoamerico,em 2a serie,0.0
299,santoamerico,ef 9o ano,0.0
300,santoamerico,ef 8o ano,0.0
301,santoamerico,ef 7o ano,0.0
302,santoamerico,0,0.0
303,sas,em 1a serie,0.0
304,santamariacn,em 3a serie,0.0
305,santamariacn,em 2a serie,0.0
306,santamariacn,0,0.0
307,santadoroteia,em 3a serie,0.0
308,santadoroteia,em 2a serie,0.0
309,santadoroteia,em 1a serie,0.0
310,santoantonio,em 3a serie,0.0
311,sasadapt,ef 1o ano,0.0
312,sagradafamilia,em 2a serie,0.0
313,souhabilis,outro,0.0
314,spdacruz,em 1a serie,0.0
315,spdacruz,ef 9o ano,0.0
316,spdacruz,ef 8o ano,0.0
317,spdacruz,ef 7o ano,0.0
318,spdacruz,ef 6o ano,0.0
319,spdacruz,0,0.0
320,souhabilis,em 3a serie,0.0
321,seletivoeducallis,0,0.0
322,sobral,outro,0.0
323,simuladoita,outro,0.0
324,simbios,outro,0.0
325,seletivoeducallis,em 2a serie,0.0
326,seletivoeducallis,em 1a serie,0.0
327,seletivoeducallis,ef 5o ano,0.0
328,sagradafamilia,em 3a serie,0.0
329,sagradafamilia,em 1a serie,0.0
330,progressaoig,em 2a serie,0.0
331,provaspoliedro,em 1a serie,0.0
332,psantagema,ef 6o ano,0.0
333,psantagema,ef 2o ano,0.0
334,psantagema,0,0.0
335,provaspoliedro,outro,0.0
336,provaspoliedro,em 3a serie,0.0
337,provaspoliedro,em 2a serie,0.0
338,provaspoliedro,ef 9o ano,0.0
339,psantagema,ef 8o ano,0.0
340,provaspoliedro,ef 8o ano,0.0
341,provaspoliedro,ef 7o ano,0.0
342,provaspoliedro,ef 6o ano,0.0
343,provaspoliedro,ef 1o ano,0.0
344,provaspoliedro,0,0.0
345,progressaoig,outro,0.0
346,psantagema,ef 7o ano,0.0
347,psantagema,ef 9o ano,0.0
348,saea,0,0.0
349,qescola,em 1a serie,0.0
350,saberviver,ef 5o ano,0.0
351,saberviver,ef 4o ano,0.0
352,rede,ef 9o ano,0.0
353,qescola.qmagico.com.br,0,0.0
354,qescola,outro,0.0
355,qescola,em 3a serie,0.0
356,qescola,ef 7o ano,0.0
357,psantagema,em 1a serie,0.0
358,qescola,ef 5o ano,0.0
359,qescola,ef 1o ano,0.0
360,qescola,0,0.0
361,psantagema,outro,0.0
362,psantagema,em 3a serie,0.0
363,psantagema,em 2a serie,0.0
364,spdacruz,em 2a serie,0.0
365,spdacruz,em 3a serie,0.0
366,stellamarisaguaverde,ef 2o ano,0.0
367,universitariolondrina,outro,0.0
368,universobarcarena,ef 6o ano,0.0
369,universobarcarena,ef 5o ano,0.0
370,universobarcarena,ef 4o ano,0.0
371,universobarcarena,ef 3o ano,0.0
372,universobarcarena,ef 2o ano,0.0
373,universobarcarena,ef 1o ano,0.0
374,universitariolondrina,em 3a serie,0.0
375,universobarcarena,ef 8o ano,0.0
376,universitariolondrina,em 2a serie,0.0
377,universitariolondrina,em 1a serie,0.0
378,universitariolondrina,ef 9o ano,0.0
379,universitariolondrina,ef 8o ano,0.0
380,universitariolondrina,ef 7o ano,0.0
381,universitariolondrina,ef 6o ano,0.0
382,universobarcarena,ef 7o ano,0.0
383,universobarcarena,ef 9o ano,0.0
384,stellamarisaguaverde,ef 3o ano,0.0
385,villalobos,ef 8o ano,0.0
386,vitae,ef 2o ano,0.0
387,villalobos,outro,0.0
388,villalobos,em 3a serie,0.0
389,villalobos,em 2a serie,0.0
390,villalobos,em 1a serie,0.0
391,villalobos,ef 9o ano,0.0
392,villalobos,ef 7o ano,0.0
393,universobarcarena,em 1a serie,0.0
394,villalobos,ef 6o ano,0.0
395,villalobos,ef 5o ano,0.0
396,villalobos,ef 4o ano,0.0
397,universos,ef 9o ano,0.0
398,universobarcarena,em 3a serie,0.0
399,universobarcarena,em 2a serie,0.0
400,universitariolondrina,ef 5o ano,0.0
401,universitariolondrina,ef 4o ano,0.0
402,universitariolondrina,ef 3o ano,0.0
403,stellamarisjuveve,ef 5o ano,0.0
404,stellamarisjuveve,em 2a serie,0.0
405,stellamarisjuveve,em 1a serie,0.0
406,stellamarisjuveve,ef 9o ano,0.0
407,stellamarisjuveve,ef 8o ano,0.0
408,stellamarisjuveve,ef 7o ano,0.0
409,stellamarisjuveve,ef 6o ano,0.0
410,stellamarisjuveve,ef 4o ano,0.0
411,universitariolondrina,ef 2o ano,0.0
412,stellamarisjuveve,ef 3o ano,0.0
413,stellamarisjuveve,ef 2o ano,0.0
414,stellamarisaguaverde,ef 7o ano,0.0
415,stellamarisaguaverde,ef 6o ano,0.0
416,stellamarisaguaverde,ef 5o ano,0.0
417,stellamarisaguaverde,ef 4o ano,0.0
418,stellamarisjuveve,em 3a serie,0.0
419,stellamarisjuveve,outro,0.0
420,stellamarisxaxim,ef 2o ano,0.0
421,stellamarisxaxim,ef 3o ano,0.0
422,stellamarisxaxim,ef 4o ano,0.0
423,stellamarisxaxim,ef 5o ano,0.0
424,stellamarisxaxim,ef 6o ano,0.0
425,stellamarisxaxim,ef 7o ano,0.0
426,stellamarisxaxim,ef 8o ano,0.0
427,stellamarisxaxim,ef 9o ano,0.0
428,stellamarisxaxim,em 1a serie,0.0
429,stellamarisxaxim,em 2a serie,0.0
430,stellamarisxaxim,em 3a serie,0.0
431,studos,em 1a serie,0.0
432,testevictorhugo,0,0.0
433,testevictorhugo,ef 7o ano,0.0
434,universitariolondrina,0,0.0
435,progressaoig,em 3a serie,0.0
436,progressaoig,em 1a serie,0.0
437,physicsalmirantebarroso,ef 6o ano,0.0
438,physicsmacapa,ef 8o ano,0.0
439,physicsumarizal,0,0.0
440,physicsmacapa,outro,0.0
441,physicsmacapa,em 3a serie,0.0
442,physicsmacapa,em 2a serie,0.0
443,physicsmacapa,em 1a serie,0.0
444,physicsmacapa,ef 9o ano,0.0
445,physicsconselheirofurtado,em 3a serie,0.0
446,physicsumarizal,ef 3o ano,0.0
447,physicsconselheirofurtado,em 2a serie,0.0
448,physicsconselheirofurtado,em 1a serie,0.0
449,physicsconselheirofurtado,0,0.0
450,physicscidadenova,outro,0.0
451,physicscidadenova,em 3a serie,0.0
452,physicscidadenova,em 2a serie,0.0
453,physicsumarizal,ef 2o ano,0.0
454,physicsumarizal,ef 4o ano,0.0
455,physicscidadenova,ef 9o ano,0.0
456,pioxi,0,0.0
457,pioxi,ef 6o ano,0.0
458,pioxi,ef 5o ano,0.0
459,pioxi,ef 4o ano,0.0
460,pioxi,ef 3o ano,0.0
461,pioxi,ef 2o ano,0.0
462,pioxi,ef 1o ano,0.0
463,physicsumarizal,em 3a serie,0.0
464,physicsumarizal,ef 5o ano,0.0
465,physicsumarizal,em 2a serie,0.0
466,physicsumarizal,em 1a serie,0.0
467,physicsumarizal,ef 9o ano,0.0
468,physicsumarizal,ef 8o ano,0.0
469,physicsumarizal,ef 7o ano,0.0
470,physicsumarizal,ef 6o ano,0.0
471,physicscidadenova,em 1a serie,0.0
472,physicscidadenova,ef 8o ano,0.0
473,progressaoig,ef 9o ano,0.0
474,physicsaugustomontenegro,ef 3o ano,0.0
475,physicsaugustomontenegro,ef 9o ano,0.0
476,physicsaugustomontenegro,ef 8o ano,0.0
477,physicsaugustomontenegro,ef 7o ano,0.0
478,physicsaugustomontenegro,ef 6o ano,0.0
479,physicsaugustomontenegro,ef 5o ano,0.0
480,physicsaugustomontenegro,ef 4o ano,0.0
481,physicsaugustomontenegro,ef 2o ano,0.0
482,physicsaugustomontenegro,em 2a serie,0.0
483,physicsalmirantebarroso,em 3a serie,0.0
484,physicsalmirantebarroso,em 2a serie,0.0
485,physicsalmirantebarroso,em 1a serie,0.0
486,eccos,ef 7o ano,0.0
487,physicsalmirantebarroso,ef 8o ano,0.0
488,physicsalmirantebarroso,ef 7o ano,0.0
489,physicsaugustomontenegro,em 1a serie,0.0
490,physicsaugustomontenegro,em 3a serie,0.0
491,physicscidadenova,ef 7o ano,0.0
492,physicsbatistacampos,ef 8o ano,0.0
493,physicscidadenova,ef 6o ano,0.0
494,physicscidadenova,ef 5o ano,0.0
495,physicscidadenova,ef 4o ano,0.0
496,physicscidadenova,ef 3o ano,0.0
497,physicscidadenova,ef 2o ano,0.0
498,physicsbatistacampos,ef 9o ano,0.0
499,physicsbatistacampos,ef 7o ano,0.0
500,physicsaugustomontenegro,outro,0.0
501,physicsbatistacampos,ef 6o ano,0.0
502,physicsbatistacampos,ef 5o ano,0.0
503,physicsbatistacampos,ef 4o ano,0.0
504,physicsbatistacampos,ef 3o ano,0.0
505,physicsbatistacampos,ef 2o ano,0.0
506,physicsbatistacampos,0,0.0
507,pioxi,ef 7o ano,0.0
508,pioxi,ef 8o ano,0.0
509,pioxi,ef 9o ano,0.0
510,portoseguro,ef 4o ano,0.0
511,prismapatrocinio,ef 4o ano,0.0
512,prismapatrocinio,ef 2o ano,0.0
513,primeirodemaio,0,0.0
514,prevest,outro,0.0
515,prevest,0,0.0
516,positivoon,em 3a serie,0.0
517,portoseguro,0,0.0
518,prismapatrocinio,ef 6o ano,0.0
519,porto,em 3a serie,0.0
520,porto,em 2a serie,0.0
521,porto,em 1a serie,0.0
522,porto,ef 9o ano,0.0
523,porto,ef 8o ano,0.0
524,porto,ef 7o ano,0.0
525,prismapatrocinio,ef 5o ano,0.0
526,prismapatrocinio,ef 7o ano,0.0
527,pioxi,em 1a serie,0.0
528,progressaodc,0,0.0
529,progressaoig,ef 7o ano,0.0
530,progressaoig,ef 6o ano,0.0
531,progressaoig,0,0.0
532,progressaodc,em 3a serie,0.0
533,progressaodc,em 2a serie,0.0
534,progressaodc,em 1a serie,0.0
535,profederal,outro,0.0
536,prismapatrocinio,ef 8o ano,0.0
537,profederal,0,0.0
538,prismapatrocinio,outro,0.0
539,prismapatrocinio,em 3a serie,0.0
540,prismapatrocinio,em 2a serie,0.0
541,prismapatrocinio,em 1a serie,0.0
542,prismapatrocinio,ef 9o ano,0.0
543,porto,ef 6o ano,0.0
544,porto,0,0.0
545,portinari,em 3a serie,0.0
546,pioxiicolegio,em 1a serie,0.0
547,plannetataboao,ef 1o ano,0.0
548,plannetaosasco,ef 3o ano,0.0
549,plannetaosasco,ef 2o ano,0.0
550,pioxiicolegio,outro,0.0
551,pioxiicolegio,em 3a serie,0.0
552,pioxiicolegio,em 2a serie,0.0
553,pioxiicolegio,ef 9o ano,0.0
554,portinari,em 2a serie,0.0
555,pioxiicolegio,ef 8o ano,0.0
556,pioxiicolegio,ef 7o ano,0.0
557,pioxiicolegio,ef 6o ano,0.0
558,pioxi,outro,0.0
559,pioxi,em 3a serie,0.0
560,pioxi,em 2a serie,0.0
561,plannetataboao,ef 2o ano,0.0
562,plannetataboao,ef 3o ano,0.0
563,plannetataboao,ef 4o ano,0.0
564,plannetataboao,ef 5o ano,0.0
565,poliedro,0,0.0
566,poliedropv,0,0.0
567,poliedrotreinamento,0,0.0
568,portinari,0,0.0
569,portinari,ef 2o ano,0.0
570,portinari,ef 3o ano,0.0
571,portinari,ef 4o ano,0.0
572,portinari,ef 5o ano,0.0
573,portinari,ef 6o ano,0.0
574,portinari,ef 7o ano,0.0
575,portinari,ef 8o ano,0.0
576,portinari,ef 9o ano,0.0
577,portinari,em 1a serie,0.0
578,eccos,ef 8o ano,0.0
579,eccos,ef 6o ano,0.0
580,acessoalmirantetamandare,ef 3o ano,0.0
581,eccos,ef 5o ano,0.0
582,cmdpii,em 2a serie,0.0
583,ciadosaber,ef 9o ano,0.0
584,ciadosaber,ef 8o ano,0.0
585,ciadosaber,ef 7o ano,0.0
586,ciadosaber,ef 6o ano,0.0
587,ciadosaber,ef 5o ano,0.0
588,ciadosaber,ef 4o ano,0.0
589,ciadosaber,ef 3o ano,0.0
590,ciadosaber,ef 2o ano,0.0
591,charlesdarwin,0,0.0
592,ceprimeiromundo,outro,0.0
593,ceprimeiromundo,em 3a serie,0.0
594,ceprimeiromundo,em 2a serie,0.0
595,ceprimeiromundo,em 1a serie,0.0
596,ceprimeiromundo,ef 9o ano,0.0
597,cnslpb,ef 6o ano,0.0
598,cnslpb,ef 7o ano,0.0
599,cnslpb,ef 8o ano,0.0
600,colegioalphaunis,ef 8o ano,0.0
601,colegioanchietai,em 2a serie,0.0
602,colegioanchietai,em 1a serie,0.0
603,colegioalphaunis,em 3a serie,0.0
604,colegioalphaunis,em 2a serie,0.0
605,colegioalphaunis,em 1a serie,0.0
606,colegioalphaunis,ef 9o ano,0.0
607,colegioalphaunis,ef 7o ano,0.0
608,cnslpb,ef 9o ano,0.0
609,colegioalphaunis,ef 6o ano,0.0
610,colegioalphaunis,0,0.0
611,cognitivo,0,0.0
612,cnslpb,em 3a serie,0.0
613,cnslpb,em 2a serie,0.0
614,cnslpb,em 1a serie,0.0
615,ceprimeiromundo,ef 8o ano,0.0
616,ceprimeiromundo,ef 7o ano,0.0
617,ceprimeiromundo,ef 6o ano,0.0
618,ceespacolivre,0,0.0
619,ceespacolivre,em 1a serie,0.0
620,ceespacolivre,ef 9o ano,0.0
621,ceespacolivre,ef 8o ano,0.0
622,ceespacolivre,ef 7o ano,0.0
623,ceespacolivre,ef 6o ano,0.0
624,ceespacolivre,ef 5o ano,0.0
625,cecbdf,em 3a serie,0.0
626,cem,0,0.0
627,cecbdf,em 2a serie,0.0
628,cecbdf,em 1a serie,0.0
629,ceabb,ef 9o ano,0.0
630,ceabb,ef 8o ano,0.0
631,ceabb,ef 7o ano,0.0
632,ceabb,ef 6o ano,0.0
633,ceespacolivre,em 2a serie,0.0
634,cem,ef 2o ano,0.0
635,ceprimeiromundo,ef 5o ano,0.0
636,cem,em 2a serie,0.0
637,ceprimeiromundo,ef 4o ano,0.0
638,ceprimeiromundo,ef 3o ano,0.0
639,ceprimeiromundo,ef 2o ano,0.0
640,ceprimeiromundo,ef 1o ano,0.0
641,ceprimeiromundo,0,0.0
642,cem,em 3a serie,0.0
643,cem,em 1a serie,0.0
644,cem,ef 3o ano,0.0
645,cem,ef 9o ano,0.0
646,cem,ef 8o ano,0.0
647,cem,ef 7o ano,0.0
648,cem,ef 6o ano,0.0
649,cem,ef 5o ano,0.0
650,cem,ef 4o ano,0.0
651,colegioanchietai,em 3a serie,0.0
652,colegioanchietaii,em 1a serie,0.0
653,colegioanchietaii,em 2a serie,0.0
654,colegiobrasilia,em 1a serie,0.0
655,colegiocb,ef 4o ano,0.0
656,colegiocb,ef 3o ano,0.0
657,colegiocb,0,0.0
658,colegiobrasilia,outro,0.0
659,colegiobrasilia,em 3a serie,0.0
660,colegiobrasilia,em 2a serie,0.0
661,colegiobrasilia,ef 9o ano,0.0
662,colegiocb,ef 6o ano,0.0
663,colegiobrasilia,ef 8o ano,0.0
664,colegiobrasilia,ef 7o ano,0.0
665,colegiobrasilia,ef 6o ano,0.0
666,colegiobrasilia,ef 5o ano,0.0
667,colegiobrasilia,ef 4o ano,0.0
668,colegiobrasilia,ef 3o ano,0.0
669,colegiocb,ef 5o ano,0.0
670,colegiocb,ef 7o ano,0.0
671,colegiobrasilia,0,0.0
672,colegiodasamericas,ef 7o ano,0.0
673,colegiodasamericas,outro,0.0
674,colegiodasamericas,em 3a serie,0.0
675,colegiodasamericas,em 2a serie,0.0
676,colegiodasamericas,em 1a serie,0.0
677,colegiodasamericas,ef 9o ano,0.0
678,colegiodasamericas,ef 8o ano,0.0
679,colegiodasamericas,ef 6o ano,0.0
680,colegiocb,ef 8o ano,0.0
681,colegiodasamericas,0,0.0
682,colegiocognos,0,0.0
683,colegiocb,em 3a serie,0.0
684,colegiocb,em 2a serie,0.0
685,colegiocb,em 1a serie,0.0
686,colegiocb,ef 9o ano,0.0
687,colegiobrasilia,ef 2o ano,0.0
688,colegiobilac,ef 9o ano,0.0
689,colegioanchietaii,em 3a serie,0.0
690,colegiobatistaindependente,ef 6o ano,0.0
691,colegiobatistaindependente,em 3a serie,0.0
692,colegiobatistaindependente,em 2a serie,0.0
693,colegiobatistaindependente,em 1a serie,0.0
694,colegiobatistaindependente,ef 9o ano,0.0
695,colegiobatistaindependente,ef 8o ano,0.0
696,colegiobatistaindependente,ef 7o ano,0.0
697,colegiobatistaindependente,ef 5o ano,0.0
698,colegiobetelbrasileirosp,ef 6o ano,0.0
