,namespace,grade,gerados
659,integradaeducativa,ef 8o ano,0.0
684,joaobelem,ef 6o ano,0.0
658,integradaeducativa,ef 7o ano,0.0
657,integradaeducativa,ef 6o ano,0.0
656,integradaeducativa,0,0.0
655,integra,ef 8o ano,0.0
654,integra,ef 7o ano,0.0
653,integra,ef 6o ano,0.0
667,invictus,ef 8o ano,0.0
668,invictus,ef 9o ano,0.0
669,invictus,em 1a serie,0.0
670,invictus,em 2a serie,0.0
671,invictus,em 3a serie,0.0
672,invictus,outro,0.0
673,iracemarufino,infantil iii,0.0
674,isem,ef 3o ano,0.0
675,isem,ef 4o ano,0.0
676,isem,ef 5o ano,0.0
677,isem,ef 6o ano,0.0
678,isem,ef 7o ano,0.0
679,isem,ef 8o ano,0.0
680,isem,ef 9o ano,0.0
681,ismart,0,0.0
682,itamarati,ef 8o ano,0.0
683,jazzvestibular,outro,0.0
863,physicsalmirantebarroso,ef 3o ano,0.0
869,physicsalmirantebarroso,ef 9o ano,0.0
865,physicsalmirantebarroso,ef 5o ano,0.0
1055,santoamerico,ef 6o ano,0.0
1063,santoantonio,0,0.0
1062,santoamerico,outro,0.0
1060,santoamerico,em 2a serie,0.0
1058,santoamerico,ef 9o ano,0.0
1057,santoamerico,ef 8o ano,0.0
1056,santoamerico,ef 7o ano,0.0
1054,santoamerico,0,0.0
1066,sas,em 1a serie,0.0
1053,santamariacn,em 3a serie,0.0
1052,santamariacn,em 2a serie,0.0
1051,santamariacn,0,0.0
1050,santadoroteia,em 3a serie,0.0
1049,santadoroteia,em 2a serie,0.0
1048,santadoroteia,em 1a serie,0.0
1064,santoantonio,em 3a serie,0.0
1067,sasadapt,ef 1o ano,0.0
1046,sagradafamilia,em 2a serie,0.0
1076,souhabilis,outro,0.0
1082,spdacruz,em 1a serie,0.0
1081,spdacruz,ef 9o ano,0.0
1080,spdacruz,ef 8o ano,0.0
1079,spdacruz,ef 7o ano,0.0
1078,spdacruz,ef 6o ano,0.0
1077,spdacruz,0,0.0
1075,souhabilis,em 3a serie,0.0
1068,seletivoeducallis,0,0.0
1074,sobral,outro,0.0
1073,simuladoita,outro,0.0
1072,simbios,outro,0.0
1071,seletivoeducallis,em 2a serie,0.0
1070,seletivoeducallis,em 1a serie,0.0
1069,seletivoeducallis,ef 5o ano,0.0
1047,sagradafamilia,em 3a serie,0.0
1045,sagradafamilia,em 1a serie,0.0
1009,progressaoig,em 2a serie,0.0
1018,provaspoliedro,em 1a serie,0.0
1024,psantagema,ef 6o ano,0.0
1023,psantagema,ef 2o ano,0.0
1022,psantagema,0,0.0
1021,provaspoliedro,outro,0.0
1020,provaspoliedro,em 3a serie,0.0
1019,provaspoliedro,em 2a serie,0.0
1017,provaspoliedro,ef 9o ano,0.0
1026,psantagema,ef 8o ano,0.0
1016,provaspoliedro,ef 8o ano,0.0
1015,provaspoliedro,ef 7o ano,0.0
1014,provaspoliedro,ef 6o ano,0.0
1013,provaspoliedro,ef 1o ano,0.0
1012,provaspoliedro,0,0.0
1011,progressaoig,outro,0.0
1025,psantagema,ef 7o ano,0.0
1027,psantagema,ef 9o ano,0.0
1044,saea,0,0.0
1037,qescola,em 1a serie,0.0
1043,saberviver,ef 5o ano,0.0
1042,saberviver,ef 4o ano,0.0
1041,rede,ef 9o ano,0.0
1040,qescola.qmagico.com.br,0,0.0
1039,qescola,outro,0.0
1038,qescola,em 3a serie,0.0
1036,qescola,ef 7o ano,0.0
1028,psantagema,em 1a serie,0.0
1034,qescola,ef 5o ano,0.0
1033,qescola,ef 1o ano,0.0
1032,qescola,0,0.0
1031,psantagema,outro,0.0
1030,psantagema,em 3a serie,0.0
1029,psantagema,em 2a serie,0.0
1083,spdacruz,em 2a serie,0.0
1084,spdacruz,em 3a serie,0.0
1085,stellamarisaguaverde,ef 2o ano,0.0
1130,universitariolondrina,outro,0.0
1136,universobarcarena,ef 6o ano,0.0
1135,universobarcarena,ef 5o ano,0.0
1134,universobarcarena,ef 4o ano,0.0
1133,universobarcarena,ef 3o ano,0.0
1132,universobarcarena,ef 2o ano,0.0
1131,universobarcarena,ef 1o ano,0.0
1129,universitariolondrina,em 3a serie,0.0
1138,universobarcarena,ef 8o ano,0.0
1128,universitariolondrina,em 2a serie,0.0
1127,universitariolondrina,em 1a serie,0.0
1126,universitariolondrina,ef 9o ano,0.0
1125,universitariolondrina,ef 8o ano,0.0
1124,universitariolondrina,ef 7o ano,0.0
1123,universitariolondrina,ef 6o ano,0.0
1137,universobarcarena,ef 7o ano,0.0
1139,universobarcarena,ef 9o ano,0.0
1086,stellamarisaguaverde,ef 3o ano,0.0
1148,villalobos,ef 8o ano,0.0
1154,vitae,ef 2o ano,0.0
1153,villalobos,outro,0.0
1152,villalobos,em 3a serie,0.0
1151,villalobos,em 2a serie,0.0
1150,villalobos,em 1a serie,0.0
1149,villalobos,ef 9o ano,0.0
1147,villalobos,ef 7o ano,0.0
1140,universobarcarena,em 1a serie,0.0
1146,villalobos,ef 6o ano,0.0
1145,villalobos,ef 5o ano,0.0
1144,villalobos,ef 4o ano,0.0
1143,universos,ef 9o ano,0.0
1142,universobarcarena,em 3a serie,0.0
1141,universobarcarena,em 2a serie,0.0
1122,universitariolondrina,ef 5o ano,0.0
1121,universitariolondrina,ef 4o ano,0.0
1120,universitariolondrina,ef 3o ano,0.0
1094,stellamarisjuveve,ef 5o ano,0.0
1100,stellamarisjuveve,em 2a serie,0.0
1099,stellamarisjuveve,em 1a serie,0.0
1098,stellamarisjuveve,ef 9o ano,0.0
1097,stellamarisjuveve,ef 8o ano,0.0
1096,stellamarisjuveve,ef 7o ano,0.0
1095,stellamarisjuveve,ef 6o ano,0.0
1093,stellamarisjuveve,ef 4o ano,0.0
1119,universitariolondrina,ef 2o ano,0.0
1092,stellamarisjuveve,ef 3o ano,0.0
1091,stellamarisjuveve,ef 2o ano,0.0
1090,stellamarisaguaverde,ef 7o ano,0.0
1089,stellamarisaguaverde,ef 6o ano,0.0
1088,stellamarisaguaverde,ef 5o ano,0.0
1087,stellamarisaguaverde,ef 4o ano,0.0
1101,stellamarisjuveve,em 3a serie,0.0
1102,stellamarisjuveve,outro,0.0
1103,stellamarisxaxim,ef 2o ano,0.0
1104,stellamarisxaxim,ef 3o ano,0.0
1105,stellamarisxaxim,ef 4o ano,0.0
1106,stellamarisxaxim,ef 5o ano,0.0
1107,stellamarisxaxim,ef 6o ano,0.0
1108,stellamarisxaxim,ef 7o ano,0.0
1109,stellamarisxaxim,ef 8o ano,0.0
1110,stellamarisxaxim,ef 9o ano,0.0
1111,stellamarisxaxim,em 1a serie,0.0
1112,stellamarisxaxim,em 2a serie,0.0
1113,stellamarisxaxim,em 3a serie,0.0
1114,studos,em 1a serie,0.0
1115,testevictorhugo,0,0.0
1116,testevictorhugo,ef 7o ano,0.0
1118,universitariolondrina,0,0.0
1010,progressaoig,em 3a serie,0.0
1008,progressaoig,em 1a serie,0.0
866,physicsalmirantebarroso,ef 6o ano,0.0
911,physicsmacapa,ef 8o ano,0.0
917,physicsumarizal,0,0.0
916,physicsmacapa,outro,0.0
915,physicsmacapa,em 3a serie,0.0
914,physicsmacapa,em 2a serie,0.0
913,physicsmacapa,em 1a serie,0.0
912,physicsmacapa,ef 9o ano,0.0
909,physicsconselheirofurtado,em 3a serie,0.0
919,physicsumarizal,ef 3o ano,0.0
908,physicsconselheirofurtado,em 2a serie,0.0
907,physicsconselheirofurtado,em 1a serie,0.0
906,physicsconselheirofurtado,0,0.0
905,physicscidadenova,outro,0.0
904,physicscidadenova,em 3a serie,0.0
903,physicscidadenova,em 2a serie,0.0
918,physicsumarizal,ef 2o ano,0.0
920,physicsumarizal,ef 4o ano,0.0
901,physicscidadenova,ef 9o ano,0.0
929,pioxi,0,0.0
935,pioxi,ef 6o ano,0.0
934,pioxi,ef 5o ano,0.0
933,pioxi,ef 4o ano,0.0
932,pioxi,ef 3o ano,0.0
931,pioxi,ef 2o ano,0.0
930,pioxi,ef 1o ano,0.0
928,physicsumarizal,em 3a serie,0.0
921,physicsumarizal,ef 5o ano,0.0
927,physicsumarizal,em 2a serie,0.0
926,physicsumarizal,em 1a serie,0.0
925,physicsumarizal,ef 9o ano,0.0
924,physicsumarizal,ef 8o ano,0.0
923,physicsumarizal,ef 7o ano,0.0
922,physicsumarizal,ef 6o ano,0.0
902,physicscidadenova,em 1a serie,0.0
900,physicscidadenova,ef 8o ano,0.0
1007,progressaoig,ef 9o ano,0.0
874,physicsaugustomontenegro,ef 3o ano,0.0
880,physicsaugustomontenegro,ef 9o ano,0.0
879,physicsaugustomontenegro,ef 8o ano,0.0
878,physicsaugustomontenegro,ef 7o ano,0.0
877,physicsaugustomontenegro,ef 6o ano,0.0
876,physicsaugustomontenegro,ef 5o ano,0.0
875,physicsaugustomontenegro,ef 4o ano,0.0
873,physicsaugustomontenegro,ef 2o ano,0.0
882,physicsaugustomontenegro,em 2a serie,0.0
872,physicsalmirantebarroso,em 3a serie,0.0
871,physicsalmirantebarroso,em 2a serie,0.0
870,physicsalmirantebarroso,em 1a serie,0.0
579,eccos,ef 7o ano,0.0
868,physicsalmirantebarroso,ef 8o ano,0.0
867,physicsalmirantebarroso,ef 7o ano,0.0
881,physicsaugustomontenegro,em 1a serie,0.0
883,physicsaugustomontenegro,em 3a serie,0.0
899,physicscidadenova,ef 7o ano,0.0
892,physicsbatistacampos,ef 8o ano,0.0
898,physicscidadenova,ef 6o ano,0.0
897,physicscidadenova,ef 5o ano,0.0
896,physicscidadenova,ef 4o ano,0.0
895,physicscidadenova,ef 3o ano,0.0
894,physicscidadenova,ef 2o ano,0.0
893,physicsbatistacampos,ef 9o ano,0.0
891,physicsbatistacampos,ef 7o ano,0.0
884,physicsaugustomontenegro,outro,0.0
890,physicsbatistacampos,ef 6o ano,0.0
889,physicsbatistacampos,ef 5o ano,0.0
888,physicsbatistacampos,ef 4o ano,0.0
887,physicsbatistacampos,ef 3o ano,0.0
886,physicsbatistacampos,ef 2o ano,0.0
885,physicsbatistacampos,0,0.0
936,pioxi,ef 7o ano,0.0
937,pioxi,ef 8o ano,0.0
938,pioxi,ef 9o ano,0.0
982,portoseguro,ef 4o ano,0.0
988,prismapatrocinio,ef 4o ano,0.0
987,prismapatrocinio,ef 2o ano,0.0
986,primeirodemaio,0,0.0
985,prevest,outro,0.0
984,prevest,0,0.0
983,positivoon,em 3a serie,0.0
981,portoseguro,0,0.0
990,prismapatrocinio,ef 6o ano,0.0
980,porto,em 3a serie,0.0
979,porto,em 2a serie,0.0
978,porto,em 1a serie,0.0
977,porto,ef 9o ano,0.0
976,porto,ef 8o ano,0.0
975,porto,ef 7o ano,0.0
989,prismapatrocinio,ef 5o ano,0.0
991,prismapatrocinio,ef 7o ano,0.0
939,pioxi,em 1a serie,0.0
1000,progressaodc,0,0.0
1006,progressaoig,ef 7o ano,0.0
1005,progressaoig,ef 6o ano,0.0
1004,progressaoig,0,0.0
1003,progressaodc,em 3a serie,0.0
1002,progressaodc,em 2a serie,0.0
1001,progressaodc,em 1a serie,0.0
999,profederal,outro,0.0
992,prismapatrocinio,ef 8o ano,0.0
998,profederal,0,0.0
997,prismapatrocinio,outro,0.0
996,prismapatrocinio,em 3a serie,0.0
995,prismapatrocinio,em 2a serie,0.0
994,prismapatrocinio,em 1a serie,0.0
993,prismapatrocinio,ef 9o ano,0.0
974,porto,ef 6o ano,0.0
973,porto,0,0.0
972,portinari,em 3a serie,0.0
947,pioxiicolegio,em 1a serie,0.0
953,plannetataboao,ef 1o ano,0.0
952,plannetaosasco,ef 3o ano,0.0
951,plannetaosasco,ef 2o ano,0.0
950,pioxiicolegio,outro,0.0
949,pioxiicolegio,em 3a serie,0.0
948,pioxiicolegio,em 2a serie,0.0
946,pioxiicolegio,ef 9o ano,0.0
971,portinari,em 2a serie,0.0
945,pioxiicolegio,ef 8o ano,0.0
944,pioxiicolegio,ef 7o ano,0.0
943,pioxiicolegio,ef 6o ano,0.0
942,pioxi,outro,0.0
941,pioxi,em 3a serie,0.0
940,pioxi,em 2a serie,0.0
954,plannetataboao,ef 2o ano,0.0
955,plannetataboao,ef 3o ano,0.0
956,plannetataboao,ef 4o ano,0.0
957,plannetataboao,ef 5o ano,0.0
958,poliedro,0,0.0
959,poliedropv,0,0.0
960,poliedrotreinamento,0,0.0
961,portinari,0,0.0
962,portinari,ef 2o ano,0.0
963,portinari,ef 3o ano,0.0
964,portinari,ef 4o ano,0.0
965,portinari,ef 5o ano,0.0
966,portinari,ef 6o ano,0.0
967,portinari,ef 7o ano,0.0
968,portinari,ef 8o ano,0.0
969,portinari,ef 9o ano,0.0
970,portinari,em 1a serie,0.0
580,eccos,ef 8o ano,0.0
578,eccos,ef 6o ano,0.0
1,acessoalmirantetamandare,ef 3o ano,0.0
577,eccos,ef 5o ano,0.0
198,cmdpii,em 2a serie,0.0
197,ciadosaber,ef 9o ano,0.0
196,ciadosaber,ef 8o ano,0.0
195,ciadosaber,ef 7o ano,0.0
194,ciadosaber,ef 6o ano,0.0
193,ciadosaber,ef 5o ano,0.0
192,ciadosaber,ef 4o ano,0.0
191,ciadosaber,ef 3o ano,0.0
190,ciadosaber,ef 2o ano,0.0
189,charlesdarwin,0,0.0
188,ceprimeiromundo,outro,0.0
187,ceprimeiromundo,em 3a serie,0.0
186,ceprimeiromundo,em 2a serie,0.0
185,ceprimeiromundo,em 1a serie,0.0
184,ceprimeiromundo,ef 9o ano,0.0
199,cnslpb,ef 6o ano,0.0
200,cnslpb,ef 7o ano,0.0
201,cnslpb,ef 8o ano,0.0
210,colegioalphaunis,ef 8o ano,0.0
216,colegioanchietai,em 2a serie,0.0
215,colegioanchietai,em 1a serie,0.0
214,colegioalphaunis,em 3a serie,0.0
213,colegioalphaunis,em 2a serie,0.0
212,colegioalphaunis,em 1a serie,0.0
211,colegioalphaunis,ef 9o ano,0.0
209,colegioalphaunis,ef 7o ano,0.0
202,cnslpb,ef 9o ano,0.0
208,colegioalphaunis,ef 6o ano,0.0
207,colegioalphaunis,0,0.0
206,cognitivo,0,0.0
205,cnslpb,em 3a serie,0.0
204,cnslpb,em 2a serie,0.0
203,cnslpb,em 1a serie,0.0
183,ceprimeiromundo,ef 8o ano,0.0
182,ceprimeiromundo,ef 7o ano,0.0
181,ceprimeiromundo,ef 6o ano,0.0
155,ceespacolivre,0,0.0
161,ceespacolivre,em 1a serie,0.0
160,ceespacolivre,ef 9o ano,0.0
159,ceespacolivre,ef 8o ano,0.0
158,ceespacolivre,ef 7o ano,0.0
157,ceespacolivre,ef 6o ano,0.0
156,ceespacolivre,ef 5o ano,0.0
154,cecbdf,em 3a serie,0.0
163,cem,0,0.0
153,cecbdf,em 2a serie,0.0
152,cecbdf,em 1a serie,0.0
151,ceabb,ef 9o ano,0.0
150,ceabb,ef 8o ano,0.0
149,ceabb,ef 7o ano,0.0
148,ceabb,ef 6o ano,0.0
162,ceespacolivre,em 2a serie,0.0
164,cem,ef 2o ano,0.0
180,ceprimeiromundo,ef 5o ano,0.0
173,cem,em 2a serie,0.0
179,ceprimeiromundo,ef 4o ano,0.0
178,ceprimeiromundo,ef 3o ano,0.0
177,ceprimeiromundo,ef 2o ano,0.0
176,ceprimeiromundo,ef 1o ano,0.0
175,ceprimeiromundo,0,0.0
174,cem,em 3a serie,0.0
172,cem,em 1a serie,0.0
165,cem,ef 3o ano,0.0
171,cem,ef 9o ano,0.0
170,cem,ef 8o ano,0.0
169,cem,ef 7o ano,0.0
168,cem,ef 6o ano,0.0
167,cem,ef 5o ano,0.0
166,cem,ef 4o ano,0.0
217,colegioanchietai,em 3a serie,0.0
218,colegioanchietaii,em 1a serie,0.0
219,colegioanchietaii,em 2a serie,0.0
264,colegiobrasilia,em 1a serie,0.0
270,colegiocb,ef 4o ano,0.0
269,colegiocb,ef 3o ano,0.0
268,colegiocb,0,0.0
267,colegiobrasilia,outro,0.0
266,colegiobrasilia,em 3a serie,0.0
265,colegiobrasilia,em 2a serie,0.0
263,colegiobrasilia,ef 9o ano,0.0
272,colegiocb,ef 6o ano,0.0
262,colegiobrasilia,ef 8o ano,0.0
261,colegiobrasilia,ef 7o ano,0.0
260,colegiobrasilia,ef 6o ano,0.0
259,colegiobrasilia,ef 5o ano,0.0
258,colegiobrasilia,ef 4o ano,0.0
257,colegiobrasilia,ef 3o ano,0.0
271,colegiocb,ef 5o ano,0.0
273,colegiocb,ef 7o ano,0.0
255,colegiobrasilia,0,0.0
282,colegiodasamericas,ef 7o ano,0.0
288,colegiodasamericas,outro,0.0
287,colegiodasamericas,em 3a serie,0.0
286,colegiodasamericas,em 2a serie,0.0
285,colegiodasamericas,em 1a serie,0.0
284,colegiodasamericas,ef 9o ano,0.0
283,colegiodasamericas,ef 8o ano,0.0
281,colegiodasamericas,ef 6o ano,0.0
274,colegiocb,ef 8o ano,0.0
280,colegiodasamericas,0,0.0
279,colegiocognos,0,0.0
278,colegiocb,em 3a serie,0.0
277,colegiocb,em 2a serie,0.0
276,colegiocb,em 1a serie,0.0
275,colegiocb,ef 9o ano,0.0
256,colegiobrasilia,ef 2o ano,0.0
254,colegiobilac,ef 9o ano,0.0
220,colegioanchietaii,em 3a serie,0.0
228,colegiobatistaindependente,ef 6o ano,0.0
234,colegiobatistaindependente,em 3a serie,0.0
233,colegiobatistaindependente,em 2a serie,0.0
232,colegiobatistaindependente,em 1a serie,0.0
231,colegiobatistaindependente,ef 9o ano,0.0
