grade,cor
ef 1o ano,#FF1493
ef 2o ano,#FA8072
ef 3o ano,#F0E68C
ef 4o ano,#FFFF00
ef 5o ano,#FFA500
ef 6o ano,#FF0000
ef 7o ano,#8B008B
ef 8o ano,#A0522D
ef 9o ano,#808000
em 1a serie,#006400
em 2a serie,#191970
em 3a serie,#000000
infantil i,#DCDCDC
infantil ii,#ADD8E6
infantil iii,#778899
infantil iv,#5F9EA0
outro,#00FF7F
