,namespace,Semana,Média de séries de exercícios por turma
858,physicsbatistacampos,25,2.473684210526316
859,physicsbatistacampos,26,3.6
860,physicsbatistacampos,31,3.388888888888889
861,physicsbatistacampos,32,5.157894736842105
862,physicsbatistacampos,33,6.3125
863,physicsbatistacampos,34,4.40625
864,physicsbatistacampos,35,5.052631578947368
865,physicsbatistacampos,36,6.15625
866,physicsbatistacampos,37,1.75
867,physicscidadenova,24,2.25
868,physicscidadenova,25,3.2857142857142856
869,physicscidadenova,26,2.0
870,physicscidadenova,31,2.7777777777777777
871,physicscidadenova,32,4.476190476190476
872,physicscidadenova,33,5.565217391304348
873,physicscidadenova,34,3.608695652173913
874,physicscidadenova,35,4.454545454545454
875,physicscidadenova,36,4.4
876,physicscidadenova,37,1.9230769230769231
877,physicsconselheirofurtado,32,3.0
878,physicsconselheirofurtado,33,1.0
879,physicsconselheirofurtado,34,1.0
880,physicsconselheirofurtado,35,1.0
881,physicsconselheirofurtado,36,1.0
882,physicsmacapa,24,1.6
883,physicsmacapa,25,2.4444444444444446
884,physicsmacapa,31,2.888888888888889
885,physicsmacapa,32,4.222222222222222
886,physicsmacapa,33,3.3333333333333335
887,physicsmacapa,34,1.2857142857142858
888,physicsmacapa,35,5.166666666666667
889,physicsmacapa,36,2.5714285714285716
890,physicsumarizal,24,2.0
891,physicsumarizal,25,2.9
892,physicsumarizal,26,4.0
893,physicsumarizal,31,3.7
894,physicsumarizal,32,3.875
895,physicsumarizal,33,5.117647058823529
896,physicsumarizal,34,4.625
897,physicsumarizal,35,4.8125
898,physicsumarizal,36,2.5
899,physicsumarizal,37,2.6666666666666665
900,pioxi,26,2.0
901,pioxi,31,1.0
902,pioxi,32,1.5
903,pioxi,33,1.0
904,pioxi,34,2.0
905,pioxi,36,1.25
906,portinari,24,1.0
907,portinari,27,1.3076923076923077
908,portinari,28,1.3076923076923077
909,portinari,29,1.3333333333333333
910,portinari,30,1.5555555555555556
911,portinari,31,1.4545454545454546
912,portinari,32,1.0952380952380953
913,portinari,33,1.2
914,portinari,34,1.0909090909090908
915,portinari,35,1.3571428571428572
916,portinari,36,1.5
917,portinari,37,2.1666666666666665
918,porto,24,2.0
919,porto,25,8.052631578947368
920,porto,26,4.0476190476190474
921,porto,27,1.9090909090909092
922,porto,30,1.6153846153846154
923,porto,31,3.5
924,porto,32,3.0
925,porto,33,2.727272727272727
926,porto,34,1.9166666666666667
927,porto,35,3.1
928,porto,36,43.2
929,porto,37,1.0
930,positivoon,27,1.0
931,positivoon,28,1.0
932,positivoon,29,3.0
933,primeirodemaio,24,1.5
934,primeirodemaio,25,1.5
935,primeirodemaio,26,1.0
936,primeirodemaio,31,3.0
937,primeirodemaio,32,3.0
938,primeirodemaio,33,1.0
939,primeirodemaio,34,1.0
940,primeirodemaio,35,2.0
941,primeirodemaio,36,1.5
942,profederal,24,13.0
943,profederal,25,5.0
944,profederal,26,15.4
945,profederal,27,1.25
946,profederal,28,2.0
947,profederal,30,29.8
948,profederal,31,5.333333333333333
949,profederal,32,3.2
950,profederal,33,3.8
951,profederal,34,1.0
952,profederal,35,1.0
953,profederal,36,9.0
954,professoratalitha,24,1.0
955,professoratalitha,34,1.0
956,progressaodc,25,5.0
957,progressaodc,26,1.0
958,progressaodc,27,2.6666666666666665
959,progressaodc,28,1.0
960,progressaodc,30,2.5
961,progressaodc,31,2.3333333333333335
962,progressaodc,32,1.3333333333333333
963,progressaodc,33,3.6666666666666665
964,progressaodc,34,1.0
965,progressaodc,36,2.0
966,progressaoig,24,1.5
967,progressaoig,25,1.0
968,progressaoig,26,1.0
969,progressaoig,27,1.0
970,progressaoig,28,1.5
971,progressaoig,31,1.0
972,progressaoig,33,4.0
973,progressaoig,34,1.5
974,psantagema,24,2.388888888888889
975,psantagema,25,3.0
976,psantagema,26,1.125
977,psantagema,30,1.0
978,psantagema,31,2.4
979,psantagema,32,1.5625
980,psantagema,33,1.9411764705882353
981,psantagema,34,1.3333333333333333
982,psantagema,35,3.2857142857142856
983,psantagema,36,1.5
984,psantagema,37,1.0
985,qescola,24,7.571428571428571
986,qescola,25,1.0
987,qescola,26,2.0
988,qescola,27,1.3333333333333333
989,qescola,28,1.0
990,qescola,30,1.5714285714285714
991,qescola,31,2.8461538461538463
992,qescola,32,2.25
993,qescola,33,1.0
994,qescola,35,20.75
995,qescola,36,1.0
996,rede,35,2.5
997,redefilhasdejesus,35,220.0
998,redeinspira,36,1.0
999,saea,33,221.0
1000,sagradafamilia,35,602.0
1001,santadoroteia,35,602.0
1002,santamariacn,31,1.0
1003,santamariacn,33,1.0
1004,santamariacn,34,1.0
1005,santamariacn,35,1.0
1006,santoagostinholeblon,35,88.0
1007,santoamerico,24,3.4
1008,santoamerico,25,2.0
1009,santoamerico,27,1.0
1010,santoamerico,29,1.5
1011,santoamerico,30,6.1
1012,santoamerico,31,7.147058823529412
1013,santoamerico,32,4.71875
1014,santoamerico,33,3.5161290322580645
1015,santoamerico,34,4.863636363636363
1016,santoamerico,35,2.259259259259259
1017,santoamerico,36,13.735294117647058
1018,santoamerico,37,1.9444444444444444
1019,sas,25,3.0
1020,sas,28,1.0
1021,sas,30,4.0
1022,sas,31,55.0
1023,sas,32,4.0
1024,sas,34,19.0
1025,sasadapt,25,1.0
1026,sasadapt,26,1.0
1027,sasadapt,27,1.0
1028,sasadapt,33,1.0
1029,sasadaptem,32,5.0
1030,sasadaptem,33,50.0
1031,sasadaptfund,33,9.0
1032,saseducacao,24,6.0
1033,saseducacao,26,164.0
1034,senhorbonfim,31,1.0
1035,senhorbonfim,32,1.0
1036,senhorbonfim,33,1.0
1037,senhorbonfim,34,1.0
1038,senhorbonfim,35,1.0
1039,serios,24,1.0
1040,sistemadeensinogpi,34,7.0
1041,sobral,29,1.0
1042,spdacruz,24,1.0
1043,spdacruz,25,2.0
1044,spdacruz,31,1.0
1045,spdacruz,32,2.5
1046,spdacruz,33,1.6666666666666667
1047,spdacruz,34,1.5
1048,spdacruz,35,1.2857142857142858
1049,spdacruz,36,1.8
1050,spdacruz,37,3.0
1051,stellamarisaguaverde,24,4.25
1052,stellamarisaguaverde,25,3.0
1053,stellamarisaguaverde,26,6.0
1054,stellamarisaguaverde,29,2.0
1055,stellamarisaguaverde,30,2.5
1056,stellamarisaguaverde,31,2.0
1057,stellamarisaguaverde,32,2.25
1058,stellamarisaguaverde,33,2.0
1059,stellamarisaguaverde,34,2.25
1060,stellamarisaguaverde,35,1.0
1061,stellamarisaguaverde,36,1.5
1062,stellamarisjuveve,24,2.5
1063,stellamarisjuveve,25,2.611111111111111
1064,stellamarisjuveve,26,1.4
1065,stellamarisjuveve,29,5.0
1066,stellamarisjuveve,30,1.8333333333333333
1067,stellamarisjuveve,31,2.5
1068,stellamarisjuveve,32,1.7894736842105263
1069,stellamarisjuveve,33,2.4166666666666665
1070,stellamarisjuveve,34,3.1818181818181817
1071,stellamarisjuveve,35,1.9166666666666667
1072,stellamarisjuveve,36,2.4545454545454546
1073,stellamarisjuveve,37,1.3636363636363635
1074,stellamarisxaxim,24,2.4705882352941178
1075,stellamarisxaxim,25,3.1875
1076,stellamarisxaxim,26,3.75
1077,stellamarisxaxim,27,3.0
1078,stellamarisxaxim,28,1.0
1079,stellamarisxaxim,29,1.7142857142857142
1080,stellamarisxaxim,30,5.888888888888889
1081,stellamarisxaxim,31,4.095238095238095
1082,stellamarisxaxim,32,4.277777777777778
1083,stellamarisxaxim,33,4.111111111111111
1084,stellamarisxaxim,34,4.761904761904762
1085,stellamarisxaxim,35,3.6875
1086,stellamarisxaxim,36,2.764705882352941
1087,stellamarisxaxim,37,1.5714285714285714
1088,universitariolondrina,24,3.4193548387096775
1089,universitariolondrina,25,3.911111111111111
1090,universitariolondrina,26,3.4878048780487805
1091,universitariolondrina,27,3.3636363636363638
1092,universitariolondrina,28,1.0
1093,universitariolondrina,29,2.676470588235294
1094,universitariolondrina,30,4.8125
1095,universitariolondrina,31,2.875
1096,universitariolondrina,32,4.416666666666667
1097,universitariolondrina,33,4.666666666666667
1098,universitariolondrina,34,4.186046511627907
1099,universitariolondrina,35,3.2
1100,universitariolondrina,36,4.2727272727272725
1101,universitariolondrina,37,2.0
1102,universobarcarena,25,1.0
1103,universobarcarena,31,1.5
1104,universobarcarena,32,1.0
1105,universobarcarena,33,2.625
1106,universobarcarena,34,1.0
1107,universobarcarena,35,1.0
1108,universobarcarena,36,4.1
1109,valdemiracoelho,31,1.6666666666666667
1110,valdemiracoelho,32,1.6666666666666667
1111,valdemiracoelho,33,1.0
1112,valdemiracoelho,36,1.3333333333333333
1113,valdemiracoelho,37,1.0
1114,venceslauchaves,24,1.0
1115,villalobos,24,2.875
1116,villalobos,25,2.9
1117,villalobos,26,1.7647058823529411
1118,villalobos,27,1.0
1119,villalobos,28,11.0
1120,villalobos,29,1.0
1121,villalobos,30,2.0
1122,villalobos,31,4.828571428571428
1123,villalobos,32,3.676470588235294
1124,villalobos,33,3.658536585365854
1125,villalobos,34,4.529411764705882
1126,villalobos,35,2.9393939393939394
1127,villalobos,36,2.2580645161290325
1128,villalobos,37,1.8888888888888888
1129,zecarioca,26,1.0
