,namespace,Semana,Porcentagem de engajamento em série de exercícios
471,einsteinassis,25,0.4153846153846154
75,acessopinhais,35,0.4115606936416185
911,stellamarisxaxim,37,0.41127922971114167
18,acessoalmirantetamandare,36,0.4090909090909091
565,invictus,32,0.4090909090909091
752,physicsumarizal,32,0.40908480043004974
509,gamt,32,0.4081967213114754
629,objetivolorena,33,0.40271772699197034
707,physicsaugustomontenegro,26,0.4005305039787798
496,faculdadeflamingo,31,0.4
905,stellamarisxaxim,31,0.39828130480533147
488,elitecuritibaemilianoperneta,33,0.39481481481481484
334,colegioglobal,24,0.39285714285714285
907,stellamarisxaxim,33,0.39096267190569745
481,elitecuritibaemilianoperneta,24,0.39088263821532493
623,nucleocriativo,34,0.39040207522697795
207,cem,32,0.39011406844106467
572,jazzvestibular,34,0.38257575757575757
318,colegioensitec,34,0.38218125960061444
893,stellamarisjuveve,33,0.3818057689025431
199,ceespacolivre,35,0.38
388,colegiosete,24,0.37922077922077924
384,colegiopremium,32,0.3779527559055118
534,insa,32,0.37627934978928357
490,elitecuritibaemilianoperneta,35,0.3761201897733263
186,ceabb,26,0.3757062146892655
387,colegiopremium,35,0.3744292237442922
43,acessocampolargo,36,0.37398373983739835
85,acessosantafelicidade,33,0.3719193427931292
94,acessosjpinhais,30,0.3713054187192118
339,colegioguilhermedealmeida,26,0.3702324736650926
455,eccos,32,0.36844732900649024
372,colegiojoaopaulo,25,0.3683883011823273
729,physicscidadenova,32,0.3682353724289423
909,stellamarisxaxim,35,0.36772888214466365
753,physicsumarizal,33,0.36767615279257343
521,hamiltondarocha,36,0.3671875
201,cem,24,0.3661865049279757
908,stellamarisxaxim,34,0.3652073732718894
894,stellamarisjuveve,34,0.3651363680481413
701,physicsalmirantebarroso,34,0.3629647869982763
313,colegioensitec,29,0.3626248864668483
310,colegioensitec,25,0.3613589258358115
12,acessoalmirantetamandare,30,0.3611111111111111
202,cem,25,0.3609355246523388
121,alpha,30,0.3592964824120603
535,insa,33,0.35835777126099705
537,insa,35,0.35625
700,physicsalmirantebarroso,33,0.3561868486483627
245,colegiobrasilia,32,0.35344393193534634
898,stellamarisxaxim,24,0.35328410415856976
754,physicsumarizal,34,0.3526178498229924
205,cem,30,0.3508771929824561
593,macvest,30,0.3508771929824561
332,colegiofuturageracao,25,0.350104821802935
353,colegioiguatemy,33,0.3496019763930826
696,physicsalmirantebarroso,26,0.34835837506956036
533,insa,31,0.34552102376599636
655,overmarciliofurtado,32,0.345
244,colegiobrasilia,31,0.3446343725746304
348,colegioiguatemy,24,0.3443076149786378
309,colegioensitec,24,0.34347826086956523
210,cem,35,0.34290843806104127
883,stellamarisaguaverde,34,0.3425925925925926
904,stellamarisxaxim,30,0.3425087751708849
903,stellamarisxaxim,29,0.3421774931381519
240,colegiobrasilia,26,0.34131031777167514
822,psantagema,25,0.3411871318531944
522,hamiltondarocha,37,0.34054054054054056
314,colegioensitec,30,0.33907004830917875
246,colegiobrasilia,33,0.3384686580978399
671,overpontanegra,31,0.33653846153846156
17,acessoalmirantetamandare,35,0.3351063829787234
899,stellamarisxaxim,25,0.3343293492695883
321,colegioensitec,37,0.3338744588744589
274,colegioeag,24,0.3338228095937347
536,insa,34,0.33245614035087717
662,overmossoro,35,0.3312883435582822
220,ceprimeiromundo,34,0.32937365010799136
861,senhorbonfim,31,0.32873563218390806
713,physicsaugustomontenegro,36,0.32834055971620024
129,amadeus,24,0.3276305954654929
489,elitecuritibaemilianoperneta,34,0.3274413720686034
342,colegioguilhermedealmeida,32,0.32732276051850245
890,stellamarisjuveve,30,0.32730275504841977
77,acessosantafelicidade,24,0.3272444617178391
397,colegiosete,35,0.32712422983235423
233,colegiobilac,32,0.3264647085960326
262,colegiocb,37,0.3261410788381743
349,colegioiguatemy,25,0.32608695652173914
441,eacorcovado,29,0.32516493873704055
929,universobarcarena,33,0.32205822058220585
350,colegioiguatemy,30,0.3216128156394244
877,stellamarisaguaverde,26,0.3212058212058212
888,stellamarisjuveve,26,0.32074468085106383
699,physicsalmirantebarroso,32,0.3205121939299154
338,colegioguilhermedealmeida,25,0.3185053380782918
501,faculdadeflamingo,36,0.31836607421265983
317,colegioensitec,33,0.3172845450168512
225,colegiobetelbrasileirosp,25,0.31703229737964655
354,colegioiguatemy,34,0.3164763458401305
216,ceprimeiromundo,27,0.3140581717451524
247,colegiobrasilia,34,0.3127657898881714
445,eacorcovado,33,0.31181434599156116
702,physicsalmirantebarroso,35,0.3111092998614394
256,colegiocb,31,0.310546596260882
328,colegioflamingo,34,0.31043506705920837
319,colegioensitec,35,0.31029095879710994
95,acessosjpinhais,31,0.3098066854611357
251,colegiocb,24,0.30969807868252514
683,overzonanorte,34,0.30798479087452474
895,stellamarisjuveve,35,0.3077660594439118
97,acessosjpinhais,33,0.30654281098546043
320,colegioensitec,36,0.3055739880557399
624,nucleocriativo,35,0.30513176144244103
322,colegioflamingo,24,0.3048654244306418
98,acessosjpinhais,34,0.3043809040765866
316,colegioensitec,32,0.3018575851393189
255,colegiocb,30,0.3016949152542373
117,alpha,24,0.3016462557719333
78,acessosantafelicidade,25,0.3004186663943633
223,ciadosaber,34,0.30022075055187636
391,colegiosete,29,0.29996478873239435
340,colegioguilhermedealmeida,30,0.2982532751091703
620,nucleocriativo,31,0.296
573,jazzvestibular,35,0.2948717948717949
755,physicsumarizal,35,0.29484029484029484
538,insa,36,0.29375
311,colegioensitec,26,0.29336043360433606
706,physicsaugustomontenegro,25,0.29313315284272706
258,colegiocb,33,0.2928489042675894
283,colegioeag,35,0.2900355871886121
242,colegiobrasilia,29,0.29
394,colegiosete,32,0.28969924812030073
694,physicsalmirantebarroso,24,0.2894736842105263
312,colegioensitec,28,0.2891975308641975
485,elitecuritibaemilianoperneta,30,0.2880886426592798
876,stellamarisaguaverde,25,0.2876712328767123
267,colegiodasamericas,31,0.2876412686839227
26,acessoboqueirao,31,0.2873858921161826
326,colegioflamingo,32,0.2862086010874938
580,liessin,26,0.2852272727272727
288,colegioecursodesafio,31,0.285124559240891
248,colegiobrasilia,35,0.2848908407584139
96,acessosjpinhais,32,0.28447778418926717
632,objetivolorena,36,0.2835864628607706
756,physicsumarizal,36,0.282950423216445
243,colegiobrasilia,30,0.28256208977868663
897,stellamarisjuveve,37,0.282059186189889
196,ceespacolivre,25,0.282
32,acessoboqueirao,37,0.2798507462686567
238,colegiobrasilia,24,0.27902756614489543
259,colegiocb,34,0.2781018445530506
122,alpha,31,0.27718123464616845
392,colegiosete,30,0.2766458603226946
823,psantagema,26,0.2760416666666667
935,valdemiracoelho,33,0.27586206896551724
767,portinari,29,0.2735633082001797
315,colegioensitec,31,0.27325959661678595
84,acessosantafelicidade,32,0.27125506072874495
31,acessoboqueirao,36,0.27032584625118633
732,physicscidadenova,35,0.26801936571832674
176,cats,29,0.2674825174825175
817,progressaoig,28,0.266025641025641
939,villalobos,25,0.26594332442430574
504,francobrasileiro,27,0.26484375
927,universobarcarena,31,0.264026402640264
289,colegioecursodesafio,32,0.2637677789404333
263,colegiodasamericas,24,0.2626662499565927
88,acessosantafelicidade,36,0.2612359550561798
833,qescola,25,0.2605042016806723
770,portinari,32,0.25941084753313287
390,colegiosete,28,0.2593591905564924
457,eccos,34,0.25922107674684997
748,physicsumarizal,24,0.2591687041564792
719,physicsbatistacampos,32,0.25837108091304734
76,acessopinhais,36,0.2573099415204678
634,overabelcabral,25,0.25593008739076156
941,villalobos,27,0.2558139534883721
252,colegiocb,25,0.2548721842571501
764,portinari,24,0.25427305338679046
892,stellamarisjuveve,32,0.25160433724275283
836,qescola,31,0.25120772946859904
657,overmarciliofurtado,34,0.2505263157894737
277,colegioeag,27,0.25
567,invictus,36,0.25
337,colegioguilhermedealmeida,24,0.24836411225825214
395,colegiosete,33,0.24796844181459565
451,eccos,25,0.24730247128437174
266,colegiodasamericas,30,0.24608150470219436
290,colegioecursodesafio,33,0.24506486181613085
393,colegiosete,31,0.24395300621976504
344,colegioguilhermedealmeida,34,0.24353970390309557
341,colegioguilhermedealmeida,31,0.2430025445292621
187,ceabb,27,0.24242424242424243
482,elitecuritibaemilianoperneta,25,0.24166666666666667
179,cats,33,0.2409090909090909
