,name,grupo,namespace
0,A+ Digital,Physics,physicsconselheirofurtado
1,A+ Digital,Physics,physicsalmirantebarroso
2,A+ Digital,Physics,physicsumarizal
3,A+ Digital,Physics,physicsmacapa
4,A+ Digital,Physics,physicsbatistacampos
5,A+ Digital,Magnum,colegiomagnum
6,A+ Digital,Domus e Montessori,domus
7,A+ Digital,Domus e Montessori,montessori
8,A+ Digital,Acesso,acessosjpinhais
9,A+ Digital,Simbios,simbios
10,A+ Digital,Acesso,acessoalmirantetamandare
11,A+ Digital,Ênfase,cursoenfase
12,A+ Digital,Physics,physicsalcindocacela
13,A+ Digital,Acesso,acessoboqueirao
14,A+ Digital,Over,overmarciliofurtado
15,A+ Digital,Over,overabelcabral
16,A+ Digital,Physics,physicsaugustomontenegro
17,A+ Digital,Over,overmossoro
18,A+ Digital,Acesso,acessocampolargo
19,A+ Digital,Universitário,universitariolondrina
20,A+ Digital,Over,overzonanorte
21,A+ Digital,Marília Mattoso,mariliamattoso
22,A+ Digital,Itamarati,itamarati
23,A+ Digital,Acesso,acessocampolargokids
24,A+ Digital,Contemporaneo,contemporaneocidadeverde
25,A+ Digital,João Paulo,colegiojoaopaulo
26,A+ Digital,Contemporaneo,contemporaneolagoanova
27,A+ Digital,Physics,physicstrescoracoes
28,A+ Digital,Stella Maris,stellamarisxaxim
29,A+ Digital,Idaam,idaam
30,A+ Digital,Acesso,acessoemilianoperneta
31,A+ Digital,Acesso,acessofazendariogrande
32,A+ Digital,Acesso,acessohauer
33,A+ Digital,Acesso,acessopinhais
34,A+ Digital,Acesso,acessosantafelicidade
35,A+ Digital,Stella Maris,stellamarisjuveve
36,A+ Digital,Stella Maris,stellamarisaguaverde
37,A+ Digital,Novo Tempo,novotempo
38,A+ Digital,Elite,eliteemilianoperneta
39,A+ Digital,Portinari,portinari
40,A+ Digital,Elite,elitecuritiba
41,A+ Digital,Elite,elitecuritibaemilianoperneta
42,A+ Digital,Primeiro Mundo,ceprimeiromundo
43,A+ Digital,Over,overnascimentodecastro
44,A+ Digital,Over,overlimaesilva
45,A+ Digital,Over,overpontanegra
46,A+ Digital,Over,overjoaopessoa
47,SAS - Programa de Avaliação Seriada,Prospecção PAS,lasalleaguasclaras
48,SAS - Programa de Avaliação Seriada,Prospecção PAS,institutoauxiliadoradf
49,SAS - Programa de Avaliação Seriada,Prospecção PAS,cecbdf
50,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioeccos
51,SAS - Programa de Avaliação Seriada,Prospecção Adapt,imaculada
52,SAS - Programa de Avaliação Seriada,Pilotos 2021,plataformaamais
53,SAS - Programa de Avaliação Seriada,Adapt,porto
54,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santoagostinho
55,SAS - Programa de Avaliação Seriada,PAS,podion
56,SAS - Programa de Avaliação Seriada,Prospecção Adapt,saojosecaxiasdosul
57,SAS - Programa de Avaliação Seriada,Prospecção SSA,colsantacatarinape
58,SAS - Programa de Avaliação Seriada,Prospecção SSA,colevolucao
59,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegioecursoover
60,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegiodourado
61,SAS - Programa de Avaliação Seriada,Prospecção SSA,geracaoatual
62,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosantadoroteia
63,SAS - Programa de Avaliação Seriada,Interno,sasadaptem
64,SAS - Programa de Avaliação Seriada,Interno,sasadaptfund
65,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegionobre
66,SAS - Programa de Avaliação Seriada,Prospecção Adapt,anchietaba
67,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cparaiso
68,SAS - Programa de Avaliação Seriada,Prospecção Adapt,bosquemananciais
69,SAS - Programa de Avaliação Seriada,Prospecção Adapt,saea
70,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioexatus
71,SAS - Programa de Avaliação Seriada,Prospecção SSA,plenuspetrolina
72,SAS - Programa de Avaliação Seriada,Prospecção Adapt,serios
73,SAS - Programa de Avaliação Seriada,Prospecção Adapt,escolajardimdasnacoes
74,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosaojudas
75,SAS - Programa de Avaliação Seriada,Prospecção Adapt,alfacembilingue
76,SAS - Programa de Avaliação Seriada,Prospecção Adapt,dommga
77,SAS - Programa de Avaliação Seriada,Pilotos 2021,idb
78,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegioecursoviver
79,SAS - Programa de Avaliação Seriada,Prospecção SSA,cicserratalhada
80,SAS - Programa de Avaliação Seriada,Adapt,liessin
81,SAS - Programa de Avaliação Seriada,PAS,colegiobiangulo
82,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santoantonio
83,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santoagostinhomg
84,SAS - Programa de Avaliação Seriada,Prospecção Adapt,augustolaranja
85,SAS - Programa de Avaliação Seriada,Interno,santoamericoteste
86,SAS - Programa de Avaliação Seriada,Prospecção Adapt,motiva
87,SAS - Programa de Avaliação Seriada,Prospecção Adapt,albertsabin
88,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiomartinus
89,SAS - Programa de Avaliação Seriada,Prospecção Adapt,arena
90,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cfc
91,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosaoluis
92,SAS - Programa de Avaliação Seriada,Prospecção Adapt,veracruz
93,SAS - Programa de Avaliação Seriada,Adapt,santoamerico
94,SAS - Programa de Avaliação Seriada,Prospecção Adapt,escolainternacional
95,SAS - Programa de Avaliação Seriada,Pilotos 2021,ismart
96,SAS - Programa de Avaliação Seriada,Prospecção Adapt,oswalddeandrade
97,SAS - Programa de Avaliação Seriada,Prospecção PAS,cmdpii
98,SAS - Programa de Avaliação Seriada,Prospecção Adapt,navegasas
99,SAS - Programa de Avaliação Seriada,Prospecção Adapt,jardimsaopaulo
100,SAS - Programa de Avaliação Seriada,Prospecção Adapt,classea
101,SAS - Programa de Avaliação Seriada,Prospecção Adapt,saobento
102,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cruzeiro
103,SAS - Programa de Avaliação Seriada,Prospecção Adapt,notredame
104,SAS - Programa de Avaliação Seriada,Prospecção Adapt,escoladofuturo
105,SAS - Programa de Avaliação Seriada,Prospecção Adapt,lerote
106,SAS - Programa de Avaliação Seriada,Prospecção Adapt,equipe
107,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegioeximius
108,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegiocfi
109,SAS - Programa de Avaliação Seriada,Prospecção SSA,colveracruz
110,SAS - Programa de Avaliação Seriada,Prospecção Adapt,franciscanopioxii
111,SAS - Programa de Avaliação Seriada,Prospecção Adapt,saoluiz
112,SAS - Programa de Avaliação Seriada,Prospecção SSA,czcnet
113,SAS - Programa de Avaliação Seriada,Prospecção SSA,colcognicao
114,SAS - Programa de Avaliação Seriada,Prospecção SSA,salesianorecife
115,SAS - Programa de Avaliação Seriada,Prospecção SSA,colshalom
116,SAS - Programa de Avaliação Seriada,Prospecção SSA,colsorriso
117,SAS - Programa de Avaliação Seriada,Prospecção Adapt,benjaminconstant
118,SAS - Programa de Avaliação Seriada,Prospecção Adapt,gaylussac
119,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santamaria
120,SAS - Programa de Avaliação Seriada,Prospecção Adapt,magnum
121,SAS - Programa de Avaliação Seriada,Prospecção Adapt,tomasdeaquino
122,SAS - Programa de Avaliação Seriada,Prospecção Adapt,darwin
123,SAS - Programa de Avaliação Seriada,Prospecção Adapt,redeapogeu
124,SAS - Programa de Avaliação Seriada,Interno,liderasas
125,SAS - Programa de Avaliação Seriada,Prospecção Adapt,riobrancocampinas
126,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosuperacao
127,SAS - Programa de Avaliação Seriada,Prospecção SSA,escprogressiva
128,SAS - Programa de Avaliação Seriada,Prospecção SSA,plenusprevest
129,SAS - Programa de Avaliação Seriada,Prospecção SSA,domboscopetrolina
130,SAS - Programa de Avaliação Seriada,Prospecção SSA,novageracaope
131,SAS - Programa de Avaliação Seriada,Prospecção SSA,diocesanocaruaru
132,SAS - Programa de Avaliação Seriada,Prospecção PAS,colegioreacao
133,SAS - Programa de Avaliação Seriada,Prospecção Adapt,escolaidaam
134,SAS - Programa de Avaliação Seriada,Prospecção Adapt,charlesdarwin
135,SAS - Programa de Avaliação Seriada,Prospecção Adapt,playpen
136,SAS - Programa de Avaliação Seriada,Prospecção Adapt,atmo
137,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosalesianorn
138,SAS - Programa de Avaliação Seriada,Prospecção PAS,portalsas
139,SAS - Programa de Avaliação Seriada,Adapt,francobrasileiro
140,SAS - Programa de Avaliação Seriada,PAS,santadoroteia
141,SAS - Programa de Avaliação Seriada,PAS,escolamaster
142,SAS - Programa de Avaliação Seriada,Prospecção PAS,institutosaojose
143,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santoagostinholeblon
144,SAS - Programa de Avaliação Seriada,Prospecção Adapt,redefilhasdejesus
145,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioradar
146,SAS - Programa de Avaliação Seriada,Prospecção SSA,colterceiromilenio
147,SAS - Programa de Avaliação Seriada,Prospecção SSA,colprimeiraclasse
148,SAS - Programa de Avaliação Seriada,Prospecção PAS,colegiosoma
149,SAS - Programa de Avaliação Seriada,Prospecção SSA,anitagoncalves
150,SAS - Programa de Avaliação Seriada,Prospecção Adapt,catarinense
151,SAS - Programa de Avaliação Seriada,Prospecção Adapt,grandepasso
152,SAS - Programa de Avaliação Seriada,Prospecção SSA,colmariatereza
153,SAS - Programa de Avaliação Seriada,Prospecção SSA,colcardealarcoverde
154,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegio15
155,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegioagnes
156,SAS - Programa de Avaliação Seriada,Interno,sasadapt
157,SAS - Programa de Avaliação Seriada,PAS,colegioliceu
158,SAS - Programa de Avaliação Seriada,PAS,colegioanchietai
159,SAS - Programa de Avaliação Seriada,PAS,blueschooleducacional
160,SAS - Programa de Avaliação Seriada,PAS,colegioanchietaii
161,SAS - Programa de Avaliação Seriada,Prospecção Adapt,mobile
162,SAS - Programa de Avaliação Seriada,Prospecção Adapt,vertice
163,SAS - Programa de Avaliação Seriada,Prospecção Adapt,dantealighieri
164,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioriobranco
165,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosaberviver
166,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosantamaria
167,SAS - Programa de Avaliação Seriada,Prospecção Adapt,coreeschool
168,SAS - Programa de Avaliação Seriada,Prospecção Adapt,forumcultural
169,SAS - Programa de Avaliação Seriada,Adapt,portoseguro
170,SAS - Programa de Avaliação Seriada,PAS,colegiobianguloiv
171,SAS - Programa de Avaliação Seriada,Prospecção Adapt,jeanpiaget
172,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cav
173,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santamarcelina
174,SAS - Programa de Avaliação Seriada,Prospecção Adapt,vitalbrazil
175,SAS - Programa de Avaliação Seriada,Prospecção Adapt,nossasenhoradesion
176,SAS - Programa de Avaliação Seriada,Prospecção Adapt,nucleo
177,SAS - Programa de Avaliação Seriada,Prospecção Adapt,objetivoteresina
178,SAS - Programa de Avaliação Seriada,Prospecção Adapt,visaorecife
179,SAS - Programa de Avaliação Seriada,Prospecção Adapt,beityaacov
180,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cognitivo
181,SAS - Programa de Avaliação Seriada,PAS,sagradafamilia
182,SAS - Programa de Avaliação Seriada,Prospecção Adapt,magno
183,SAS - Programa de Avaliação Seriada,Prospecção PAS,galois
184,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiodosjesuitas
185,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegiopontualrecife
186,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegiodompe
187,SAS - Programa de Avaliação Seriada,Prospecção SSA,colegiofera
188,SAS - Programa de Avaliação Seriada,Prospecção Adapt,dante
189,SAS - Programa de Avaliação Seriada,Interno,saseducacao
190,SAS - Programa de Avaliação Seriada,Adapt,liessinbarra
191,SAS - Programa de Avaliação Seriada,Prospecção SSA,evolucaojpa
192,SAS - Programa de Avaliação Seriada,Prospecção SSA,colhemerlindacorreia
193,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioatrio
194,SAS - Programa de Avaliação Seriada,Pilotos 2021,redeinspira
195,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santacruz
196,SAS - Programa de Avaliação Seriada,Prospecção Adapt,esmg
197,SAS - Programa de Avaliação Seriada,Prospecção Adapt,elvirabrandao
198,SAS - Programa de Avaliação Seriada,Prospecção Adapt,bahema
199,SAS - Programa de Avaliação Seriada,Prospecção Adapt,fundacaobradesco
200,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cognita
201,SAS - Programa de Avaliação Seriada,Prospecção Adapt,palmares
202,SAS - Programa de Avaliação Seriada,Prospecção Adapt,magnumagostiniano
203,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioprogresso
204,APOGEU,Militar,apogeustoantonio2
205,APOGEU,Integra,integra
206,Teste,xxx,meta
207,Positivo,,colegioeag
208,Positivo,,cotemig
209,Master Soluções,EF,colegiocanarinho
210,Master Soluções,INFANTIL,colegioevoluir
211,Master Soluções,INFANTIL,escolasantaclara
212,Master Soluções,INFANTIL,colegiotelescastelao
213,Master Soluções,INFANTIL,colegiotelesmourabrasil
214,Master Soluções,-,contratos2021
215,Master Soluções,EF,sosmamaecoruja
216,Master Soluções,INFANTIL,viladainfanciaeusebio
217,Master Soluções,INFANTIL,viladainfanciafortaleza
218,Master Soluções,INFANTIL,marqueslima
219,Master Soluções,INFANTIL,escolacristaboaviagem
220,Master Soluções,EF,duquecastilho
221,Master Soluções,INFANTIL,rosadesaron
222,Master Soluções,EF,espacoeducar
223,Master Soluções,INFANTIL,senninha
224,Master Soluções,EF,tiathais
225,Master Soluções,EF,master
226,Master Soluções,EF,paulovi
227,Master Soluções,EF,recriar
228,Master Soluções,INFANTIL,vitaldidonet
229,Master Soluções,EF,sistemaeducacionalmaster
230,Master Soluções,EF,escolabedelandia
231,Master Soluções,EF,rosanaponte
232,Master Soluções,EF,educacaoinfantilsemear
233,Master Soluções,EF,educaprime
234,Master Soluções,INFANTIL,kidsbaby
235,Master Soluções,EF,escolavida
236,Master Soluções,EF,escolinhacaca
237,Master Soluções,EF,sonhodecrianca
238,Master Soluções,INFANTIL,centroarcadenoe
239,Master Soluções,INFANTIL,colegiovitoria
240,Master Soluções,INFANTIL,materdei
241,Master Soluções,INFANTIL,pluricrecheescola
242,Master Soluções,-,msetemporario
243,Master Soluções,INFANTIL,escolacristacandeias
244,Master Soluções,INFANTIL,escolacristaemaldeia
245,Master Soluções,iNFANTIL,escolacristaempiedade
246,Master Soluções,INFANTIL,escolacristanavarzea
247,Master Soluções,EF,habilisescolaecurso
248,Master Soluções,EF,institutokairos
249,Master Soluções,INFANTIL,babycamp
250,Master Soluções,INFANTIL,babyhouse
251,Master Soluções,INFANTIL,colsaberviver
252,Master Soluções,EF,tiquinhodegente
253,Master Soluções,EF,primeiromundo
254,Master Soluções,INFANTIL,eia
255,Educa +,IPU,antoniolima
256,Educa +,IPU,senhorbonfim
257,Educa +,IPU,monsenhorgoncalo
258,Educa +,BONITO,albertocabral
259,Educa +,BONITO,cicerofranklin
260,Educa +,BONITO,herciliovilanova
261,Educa +,BONITO,josesoares
262,Educa +,BONITO,antoniocesar
263,Educa +,BONITO,antonioportela
264,Educa +,BONITO,pauloviana
265,Educa +,BONITO,pedromurilo
266,Educa +,BONITO,tialo
267,Educa +,IPU,joaoferreira
268,Educa +,IPU,moaciralves
269,Educa +,IPU,antoniomelo
270,Educa +,IPU,valdemiracoelho
271,Educa +,IPU,monsenhorfrancisco
272,Educa +,IPU,joaobelem
273,Educa +,IPU,franciscoperes
274,Educa +,BONITO,nsconceicao
275,Educa +,BONITO,saosebastiao
276,Educa +,UMIRIM,vicentecravo
277,Educa +,BONITO,marialeao
278,Educa +,BONITO,engenhomoscou
279,Educa +,BONITO,domhelder
280,Educa +,BONITO,manoelbernardino
281,Educa +,BONITO,manoelmarcelino
282,Educa +,BONITO,mariamerces
283,Educa +,BONITO,manoelbatista
284,Educa +,BONITO,bernardosayao
285,Educa +,BONITO,joaoxxiii
286,Educa +,BONITO,mariacarmo
287,Educa +,BONITO,arturtavares
288,Educa +,BONITO,manoelqueiroz
289,Educa +,BONITO,zecarioca
290,Educa +,BONITO,benjamitacardona
